lead,muestra,n,var,coef,t,p
1,DEV,286,zD_R3_lead1,0.21376934291117278,1.2099445033615461,0.22630018879023528
1,DEV,286,zD_F6_lead1,0.4873011790998255,1.471114901118226,0.141260045852308
1,TOTAL,347,zD_R3_lead1,0.21155105196370416,1.2431790931935187,0.21380184505495958
1,TOTAL,347,zD_F6_lead1,0.39443148077880846,1.291259782394464,0.19661361132904298
3,DEV,286,zD_R3_lead3,0.2484533158831979,0.7176313557288632,0.4729846187274972
3,DEV,286,zD_F6_lead3,-0.26322616547206745,-1.0595569326195051,0.2893462154105476
3,TOTAL,345,zD_R3_lead3,0.16265050115849553,0.7177208088457605,0.47292945013459853
3,TOTAL,345,zD_F6_lead3,-0.28055648604941147,-1.2017534746531513,0.22945905610919204
