zvar,muestra,n,var,coef,t,p
zD_R3,DEV,292,ley_sn_conc_batch_pct,0.03710222333330922,0.9208832079235711,0.3571114064873334
zD_R3,DEV,292,feed_sn_total_t,0.0076038530711945995,0.40913751327252934,0.6824387479763714
zD_R3,DEV,292,F_lnirf_F0,-0.1497488355549476,-0.44738597589227097,0.6545963997910365
zD_R3,DEV,292,KPI_prev,0.011032286782401032,1.0306733591858641,0.3026940218521287
zD_R3,DEV,292,F_conjunto,,,0.6899887755979259
zD_R3,TOTAL,355,ley_sn_conc_batch_pct,-0.003720012061224527,-0.11164179670686643,0.9111074301814853
zD_R3,TOTAL,355,feed_sn_total_t,-0.010956232398508844,-0.5750577590662589,0.5652522346138468
zD_R3,TOTAL,355,F_lnirf_F0,-0.17902063879235766,-0.583788685641865,0.5593624913786395
zD_R3,TOTAL,355,KPI_prev,0.006726652052674081,0.7967621819098899,0.4255891626592021
zD_R3,TOTAL,355,F_conjunto,,,0.5939321919642634
zD_F6,DEV,291,ley_sn_conc_batch_pct,-0.036481325473716804,-0.8508511683286031,0.39485203358650234
zD_F6,DEV,291,feed_sn_total_t,0.14542775536852495,5.940262065471862,2.845667999530482e-09
zD_F6,DEV,291,F_lnirf_F0,0.01586332090984493,0.05849779363011552,0.9533521199151473
zD_F6,DEV,291,KPI_prev,0.025124677638322376,1.9880627336098131,0.0468047522636703
zD_F6,DEV,291,F_conjunto,,,6.479381117325168e-08
zD_F6,TOTAL,353,ley_sn_conc_batch_pct,-0.069401189543656,-1.7780177385964062,0.07540094156677524
zD_F6,TOTAL,353,feed_sn_total_t,0.11000641549688413,5.034450890446688,4.792205075382912e-07
zD_F6,TOTAL,353,F_lnirf_F0,0.10151089257679766,0.39088632212472335,0.6958812646215458
zD_F6,TOTAL,353,KPI_prev,0.01598958622531838,1.3265288188508157,0.18466459585583517
zD_F6,TOTAL,353,F_conjunto,,,1.0367710281315318e-05
