spec,n,obs_t,p_perm_t,obs_spearman,p_perm_spearman
P0_xG_xC,361,2.3247133433749663,0.005994005994005994,0.15362814775818198,0.007992007992007992
P1_+zD_R3,356,1.979313284281239,0.012987012987012988,0.15353270199130237,0.007992007992007992
P2_+zD_R3+zD_F6,348,1.4682491712048324,0.04795204795204795,0.09903529489513493,0.04495504495504495
