escalon,n_total,n_filtrado,media_raw,media_winsor,media_filtrado,sd_raw,sd_winsor,sd_filtrado
R3,362,358,13.62707182320442,13.389668508287292,13.022346368715084,8.084158219425868,5.677382487728787,4.536136026770155
F6,362,330,73.30662983425414,73.13209944751381,70.08484848484848,15.15999291841591,13.642622736735673,9.920293934147885
