esquema,muestra,t_clasico_obs,p_perm_bloques20_t,spearman_obs,p_perm_bloques20_rho
A_directo,total,2.3247133433749663,0.004663557628247834,0.15362814775818198,0.005329780146568954
A_directo,dev,2.200553215404398,0.009993337774816789,0.1938341144269262,0.004663557628247834
A_directo,lockbox,0.7788200937167338,0.15389740173217856,0.022801459293394777,0.346435709526982
B_canales_W100,total,2.3839225578160645,0.003997335109926716,0.15705617537678607,0.004663557628247834
B_canales_W100,dev,2.243719645317946,0.009993337774816789,0.19580675257536723,0.0033311125916055963
B_canales_W100,lockbox,0.8308861584341413,0.14656895403064624,0.019297235023041474,0.3637574950033311
C_60,total,1.9292019429805722,0.015323117921385743,0.10490277468429614,0.04730179880079947
C_60,dev,1.9591442514162254,0.018654230512991338,0.14598681764459895,0.01798800799467022
C_60,lockbox,0.40734639511808196,0.290473017988008,-0.11141513056835638,0.7688207861425717
C_100,total,2.1119933412557845,0.006662225183211193,0.12828409635464125,0.015989340439706862
C_100,dev,2.0455077727923427,0.013324450366422385,0.1788228946609683,0.009327115256495669
C_100,lockbox,0.7812276939814831,0.1518987341772152,-0.007920506912442397,0.42771485676215854
D_estables,total,0.9713838417491274,0.1105929380413058,0.0980683175734505,0.04330446369087275
D_estables,dev,2.0625553827755168,0.015989340439706862,0.1600179021549835,0.013990672884743505
D_estables,lockbox,-0.8039691281503039,0.7728181212524984,-0.07142857142857142,0.5882744836775483
E_eb,total,1.8219326583675228,0.015323117921385743,0.12535890011541498,0.018654230512991338
E_eb,dev,2.295877459337319,0.007994670219853431,0.18110163183244324,0.0073284477015323115
E_eb,lockbox,-0.51616428061193,0.631578947368421,-0.02486559139784946,0.43770819453697535
F_signo,total,2.3839225578160645,0.004663557628247834,0.15705617537678607,0.0073284477015323115
F_signo,dev,2.243719645317946,0.010659560293137908,0.19580675257536723,0.006662225183211193
F_signo,lockbox,0.8308861584341413,0.13724183877415055,0.019297235023041474,0.35376415722851434
