grupo,candidata,muestra,n,coef,se,t,p,q_bh
R,lanza,DEV,298,0.5219992906083883,0.5710470127728597,0.9141091345066178,0.36065950320967266,0.6311541306169272
R,lanza,LOCKBOX,63,-1.3814790383641073,1.217417482739517,-1.1347619513853273,0.2564750722770889,0.6311541306169272
R,lanza,TOTAL,361,0.13115796039768707,0.5165013597864561,0.25393536321359045,0.7995454941178501,0.6311541306169272
R,o2,DEV,298,-0.8165204279170319,0.58767130289669,-1.3894168796269648,0.16470602039209625,0.6311541306169272
R,o2,LOCKBOX,63,-0.6473747797606348,1.1830767471005603,-0.547195929044499,0.5842441326995964,0.6311541306169272
R,o2,TOTAL,361,-0.5483880355844698,0.5307782877884744,-1.0331772195682074,0.30152097154455837,0.6311541306169272
R,enriq,DEV,298,-0.26284064115867356,0.38430952694734993,-0.6839295482640546,0.49401965437970896,0.7684750179239918
R,enriq,LOCKBOX,63,1.2965183825755335,1.397780740894694,0.9275549051746526,0.3536384986633698,0.7684750179239918
R,enriq,TOTAL,361,-0.07327892053821504,0.3701365364973079,-0.19797807920199204,0.8430622145281509,0.7684750179239918
R,aire,DEV,298,-0.07050871772972858,0.512633920516793,-0.13754204493266425,0.8906023614681156,0.9533067965425764
R,aire,LOCKBOX,63,-0.777950297070968,1.3476479677462594,-0.5772652173935112,0.563760306593361,0.9533067965425764
R,aire,TOTAL,361,-0.1872580049312796,0.5064828585590477,-0.3697222951711175,0.7115894179615998,0.9533067965425764
R,esteq,DEV,298,-0.6137934422890143,0.5405491435874182,-1.135499796032423,0.25616596731547214,0.6311541306169272
R,esteq,LOCKBOX,63,-0.32565695483676116,1.0329686681733325,-0.31526314869999117,0.7525618624372181,0.6311541306169272
R,esteq,TOTAL,361,-0.39263565624547314,0.5031771285606025,-0.7803130030346446,0.4352066609277704,0.6311541306169272
R,caudal,DEV,298,-0.05900092664372286,0.6819167172879286,-0.08652218833756888,0.9310513184660977,0.9533067965425764
R,caudal,LOCKBOX,63,-0.728041451623378,1.561598522012099,-0.4662155101717862,0.6410612484141748,0.9533067965425764
R,caudal,TOTAL,361,-0.1296339922467355,0.6761256449746089,-0.19173062464093305,0.847953216008151,0.9533067965425764
R,ppunta,DEV,255,0.3734850941027281,0.38413640380427283,0.9722720637876023,0.33091521791934186,0.6311541306169272
R,ppunta,LOCKBOX,63,-0.11842604777908874,0.7863240177854162,-0.15060718622409752,0.8802855922726557,0.6311541306169272
R,ppunta,TOTAL,318,0.2181569549994295,0.3631082407756464,0.6008041969342747,0.5479704084333107,0.6311541306169272
F,lanza,DEV,298,0.7327948644020598,0.7458797931843824,0.9824570542037891,0.32587473032656655,0.6311541306169272
F,lanza,LOCKBOX,63,0.05609300862155564,1.2038385014992243,0.04659512762858065,0.9628359154035239,0.6311541306169272
F,lanza,TOTAL,361,0.5455303408302262,0.6554586141033206,0.8322880027696664,0.4052464008016997,0.6311541306169272
F,o2,DEV,298,-0.7275115391087907,0.4403528271132341,-1.652110522096672,0.09851202235558384,0.6311541306169272
F,o2,LOCKBOX,63,-0.2942364798979411,0.9164917028651747,-0.3210465288208139,0.7481751307834267,0.6311541306169272
F,o2,TOTAL,361,-0.47651180433346324,0.32731833254475906,-1.455805425344768,0.1454464155616417,0.6311541306169272
F,enriq,DEV,298,-0.325971433389796,0.5848867156661914,-0.5573240503821522,0.5773060464882578,0.8082284650835609
F,enriq,LOCKBOX,63,-0.23200510339719993,0.7170408777841677,-0.32355910323293235,0.7462718545230898,0.8082284650835609
F,enriq,TOTAL,361,-0.15316439528146444,0.31175515071333304,-0.49129708019580753,0.6232163446700122,0.8082284650835609
F,aire,DEV,298,-0.07376694411649368,0.4692843153926209,-0.15719030382419127,0.8750948697333822,0.9533067965425764
F,aire,LOCKBOX,63,0.6015294996611642,1.3311339877796955,0.4518925256085627,0.6513464092840657,0.9533067965425764
F,aire,TOTAL,361,-0.042236542468299026,0.4331721723230435,-0.09750520732158344,0.9223251990926752,0.9533067965425764
F,esteq,DEV,298,-0.9882727784655725,0.5211924349654934,-1.8961763681988268,0.05793672695270098,0.6311541306169272
F,esteq,LOCKBOX,63,-1.9947564163282065,1.189683291243298,-1.6767121392816686,0.0935987856598065,0.6311541306169272
F,esteq,TOTAL,361,-1.3179177332986314,0.4360536240199279,-3.022375370141177,0.002507993337441276,0.6311541306169272
F,caudal,DEV,298,-0.4279572828836144,0.42293332441648845,-1.0118788427799048,0.31159598641427044,0.6311541306169272
F,caudal,LOCKBOX,63,-0.04788762189818607,1.7314127407960933,-0.0276581203140319,0.977934826061772,0.6311541306169272
F,caudal,TOTAL,361,-0.34786614916685293,0.41246301407931574,-0.8433874972846875,0.3990117620548417,0.6311541306169272
F,ppunta,DEV,258,0.01765593906762633,0.3015290053145327,0.058554695423775116,0.9533067965425764,0.9533067965425764
F,ppunta,LOCKBOX,63,-1.4319459939535972,1.39618499847662,-1.0256133646443675,0.30507386534557523,0.9533067965425764
F,ppunta,TOTAL,321,-0.0828724002880506,0.2963872462875409,-0.2796085233966232,0.7797778671188755,0.9533067965425764
