q_G,q_C,R,loglik_burnin
0.0,0.0,15.808214733861968,-175.33391746513246
0.0,0.0005,15.808214733861968,-175.33400612969268
0.0,0.001,15.808214733861968,-175.3340948811004
0.0,0.002,15.808214733861968,-175.33427265399695
0.0005,0.0,15.808214733861968,-175.33432072916713
0.0005,0.0005,15.808214733861968,-175.33441063143536
0.0005,0.001,15.808214733861968,-175.33450061774903
0.0005,0.002,15.808214733861968,-175.3346808520775
0.001,0.0,15.808214733861968,-175.33472514687458
0.0,0.005,15.808214733861968,-175.33480829950946
0.001,0.0005,15.808214733861968,-175.33481628410067
0.001,0.001,15.808214733861968,-175.33490750257792
0.001,0.002,15.808214733861968,-175.33509019287135
0.0005,0.005,15.808214733861968,-175.33522381526438
0.002,0.0,15.808214733861968,-175.33553742770567
0.002,0.0005,15.808214733861968,-175.33563102651925
0.001,0.005,15.808214733861968,-175.335640457488
0.0,0.01,15.808214733861968,-175.33570983910147
0.002,0.001,15.808214733861968,-175.3357247010133
0.002,0.002,15.808214733861968,-175.3359122866754
0.0005,0.01,15.808214733861968,-175.33613733177881
0.002,0.005,15.808214733861968,-175.3364771049369
0.001,0.01,15.808214733861968,-175.3365659243624
0.002,0.01,15.808214733861968,-175.33742639207617
0.0,0.02,15.808214733861968,-175.3375527975523
0.005,0.0,15.808214733861968,-175.33800156184435
0.0005,0.02,15.808214733861968,-175.338003443726
0.005,0.0005,15.808214733861968,-175.3381024774545
0.005,0.001,15.808214733861968,-175.33820345219564
0.005,0.002,15.808214733861968,-175.33840558884367
0.001,0.02,15.808214733861968,-175.33845513861343
0.005,0.005,15.808214733861968,-175.33901366656028
0.002,0.02,15.808214733861968,-175.33936165590256
0.005,0.01,15.808214733861968,-175.34003375830628
0.005,0.02,15.808214733861968,-175.34210590681894
0.01,0.0,15.808214733861968,-175.34219770741208
0.01,0.0005,15.808214733861968,-175.34231058383017
0.01,0.001,15.808214733861968,-175.3424234923657
0.01,0.002,15.808214733861968,-175.3426494157963
0.01,0.005,15.808214733861968,-175.34332821167686
0.0,0.05,15.808214733861968,-175.3435010792784
0.0005,0.05,15.808214733861968,-175.3440152159676
0.01,0.01,15.808214733861968,-175.3444640549182
0.001,0.05,15.808214733861968,-175.3445302629517
0.002,0.05,15.808214733861968,-175.34556306531024
0.01,0.02,15.808214733861968,-175.34676000070536
0.005,0.05,15.808214733861968,-175.34868275524184
0.02,0.0,15.808214733861968,-175.35091277867534
0.02,0.0005,15.808214733861968,-175.351048664331
0.02,0.001,15.808214733861968,-175.3511845303699
0.02,0.002,15.808214733861968,-175.35145621406656
0.02,0.005,15.808214733861968,-175.3522710611432
0.02,0.01,15.808214733861968,-175.35362961336722
0.01,0.05,15.808214733861968,-175.35395084614743
0.0,0.1,15.808214733861968,-175.35515295470393
0.0005,0.1,15.808214733861968,-175.35575573131862
0.02,0.02,15.808214733861968,-175.35635623369404
0.001,0.1,15.808214733861968,-175.35635923381545
0.002,0.1,15.808214733861968,-175.35756838851438
0.005,0.1,15.808214733861968,-175.36121257674628
0.02,0.05,15.808214733861968,-175.36472938168268
0.01,0.1,15.808214733861968,-175.36733914059963
0.05,0.0,15.808214733861968,-175.37941960949126
0.05,0.0005,15.808214733861968,-175.3796171352169
0.02,0.1,15.808214733861968,-175.3797733119426
0.05,0.001,15.808214733861968,-175.37981450525132
0.05,0.002,15.808214733861968,-175.38020878994948
0.05,0.005,15.808214733861968,-175.3813882062826
0.05,0.01,15.808214733861968,-175.38334374272125
0.0,0.2,15.808214733861968,-175.38519379027795
0.0005,0.2,15.808214733861968,-175.38592603055142
0.001,0.2,15.808214733861968,-175.38665876240245
0.05,0.02,15.808214733861968,-175.38722557207328
0.002,0.2,15.808214733861968,-175.3881256635888
0.005,0.2,15.808214733861968,-175.39253723915513
0.05,0.05,15.808214733861968,-175.3987759625418
0.01,0.2,15.808214733861968,-175.39992239716878
0.02,0.2,15.808214733861968,-175.41479263208228
0.05,0.1,15.808214733861968,-175.4182873885314
0.1,0.0,15.808214733861968,-175.43338075513634
0.1,0.0005,15.808214733861968,-175.43365914788782
0.1,0.001,15.808214733861968,-175.43393721475113
0.1,0.002,15.808214733861968,-175.43449238396988
0.1,0.005,15.808214733861968,-175.43615040702215
0.1,0.01,15.808214733861968,-175.43889030734903
0.1,0.02,15.808214733861968,-175.4442922553046
0.05,0.2,15.808214733861968,-175.45993519021076
0.1,0.05,15.808214733861968,-175.46004012868087
0.1,0.1,15.808214733861968,-175.4854993622898
0.1,0.2,15.808214733861968,-175.536093603631
0.2,0.0,15.808214733861968,-175.55628386493677
0.2,0.0005,15.808214733861968,-175.5566680947646
0.2,0.001,15.808214733861968,-175.5570517961618
0.2,0.002,15.808214733861968,-175.55781762819487
0.2,0.005,15.808214733861968,-175.56010281462383
0.2,0.01,15.808214733861968,-175.56387207258982
0.2,0.02,15.808214733861968,-175.5712743529877
0.2,0.05,15.808214733861968,-175.5925828410325
0.2,0.1,15.808214733861968,-175.6260166353457
0.2,0.2,15.808214733861968,-175.6888337813236
