target,n,lineal,p_lin,cuadratico,p_cuad
res__sn_dep,1326,-0.019724702810872356,0.0684088054818675,-0.002510789543122377,0.33549538250927957
res__feo_ret,1326,-0.003097993386591845,0.168395166144087,0.0008896749086045346,0.1058311746672195
res__dT,1446,0.033386802345647684,0.043220152498530125,-0.006003735913402019,0.34954700585745535
