theta,lambda,muestra,n,sd_score_pp,pendiente,t,p_uni,spearman,p_spearman
ident,0.0,DEV,297,0.4317708076060299,-0.8160887857171337,-1.4200353763260272,0.9222013088682351,-0.06453341688241018,0.2675963606760754
ident,0.0,LB,63,0.37375787691842105,2.1683799576967497,1.4813637741908465,0.06925483129099115,0.16426651305683568,0.1982772799476435
ident,0.0,TOTAL,360,0.4260820156724565,-0.08552659741837942,-0.15763266450992505,0.5626268686017428,0.007786582715401611,0.8829517103724386
ident,0.3,DEV,297,0.36497333362713236,-0.8172526702437106,-1.1666297440780151,0.8783200369506048,-0.07374442777127342,0.20506400182586887
ident,0.3,LB,63,0.310145296186643,1.9193714784074514,0.9293944310566,0.17634235640791185,0.06153993855606759,0.6318452073946482
ident,0.3,TOTAL,360,0.3585473225543872,-0.07439711418692774,-0.11344628862216823,0.5451616282296591,-0.021918121796207272,0.6785294776194175
ident,0.6,DEV,297,0.31973752091026236,-0.6411675660600195,-0.7836379718528108,0.783373715826842,-0.06898890959293644,0.23588603198838845
ident,0.6,LB,63,0.27833437867974126,0.8998017477772393,0.319268673756452,0.3747613926605713,-0.10431067588325653,0.4158834702467772
ident,0.6,TOTAL,360,0.3141014457958241,-0.03804433918721628,-0.050196346889886174,0.5200170386771764,-0.04244245711772467,0.42206131535398433
ident,1.0,DEV,297,0.3127618030632472,-0.08090888258023765,-0.09869107256089615,0.5393082213377487,-0.006828671258201461,0.9067108428960865
ident,1.0,LB,63,0.30056206641958305,-0.8397892920638732,-0.30036087160084407,0.6180490467676184,-0.1732430875576037,0.17451732350079152
ident,1.0,TOTAL,360,0.3105231814142755,0.03460591577146843,0.045671896312571944,0.48178588196009003,-0.02116631558371078,0.6889718311586551
ident,2.0,DEV,297,0.48873166486409664,0.5252226311981395,1.0676867791440872,0.14283091205590565,0.06545547988501009,0.2608057422937156
ident,2.0,LB,63,0.5692092082325361,-1.3843773411692242,-1.3383309171605353,0.9096057061714402,-0.2319028417818741,0.0674248906696655
ident,2.0,TOTAL,360,0.5038051108857474,0.053628803461838626,0.12003582535378969,0.4522273842962036,0.0110556408614264,0.8344147450145206
ident,3.0,DEV,297,0.7657646660501087,0.42870151869104023,1.3752924772159918,0.08452039391130312,0.08348357509431335,0.1512388671573846
ident,3.0,LB,63,0.8910184511185828,-1.0451017028931289,-1.8487075517182285,0.9677499736681685,-0.2474558371735791,0.0505458479062114
ident,3.0,TOTAL,360,0.7913307569362867,0.03481091713423923,0.12276297430625659,0.4511473973242342,0.017137220709007528,0.7459010290901038
ident,5.0,DEV,297,1.3416825543091997,0.28103204177285296,1.6112906211474767,0.053558197001259536,0.08653192545809997,0.13681220480523154
ident,5.0,LB,63,1.579498702119944,-0.6320366621085016,-2.1566817984971247,0.9844847669284134,-0.2571524577572965,0.041894575765814325
ident,5.0,TOTAL,360,1.3938810836284317,0.021493769772095384,0.13461633276810156,0.44645761373688425,0.012427050620246554,0.8142275421853501
ident,soloFeO,DEV,297,0.31258370165914257,1.4495237626810658,1.9674950826764237,0.02456308113199815,0.09090634258419494,0.11798591739304808
ident,soloFeO,LB,63,0.3614660952780511,-2.945991662544488,-2.4428929958792005,0.9927149717332546,-0.26300883256528423,0.037289172837351205
ident,soloFeO,TOTAL,360,0.324659726070814,0.17822924121882977,0.2598843744950784,0.39747648230276855,0.006800978402611131,0.8976803320364002
all,0.0,DEV,297,0.4476606881703854,-0.7298043973120408,-1.3432742154832562,0.9104084009836295,-0.058619021706270036,0.3140174761967575
all,0.0,LB,63,0.39710177173775035,2.066984709564179,1.638828161298525,0.05062452621935783,0.1827956989247312,0.15158502174750074
all,0.0,TOTAL,360,0.4438487012296855,-0.02338837974863761,-0.04585530212179425,0.5182872097932042,0.014336015967201392,0.7863335572314211
all,0.3,DEV,297,0.36796793828889857,-0.6622275675121536,-0.9564278805769686,0.8305719477721628,-0.06053506221291456,0.2984342404514936
all,0.3,LB,63,0.3443848344136224,1.6977940072936342,1.0433059555888404,0.14840330683724123,0.07978110599078342,0.5342350284757296
all,0.3,TOTAL,360,0.3685111171559969,0.12200742298524148,0.19188679768808717,0.4239154395962604,-0.0010560781075985668,0.9840689060684186
all,0.6,DEV,297,0.3322011358813247,-0.3092960003292255,-0.38777715166766724,0.6509095223094946,-0.04540965614791119,0.435580394757708
all,0.6,LB,63,0.33173225660001354,0.7212480030484585,0.34324558053750365,0.3657068584576423,-0.055491551459293395,0.6657678399715122
all,0.6,TOTAL,360,0.33620763847853463,0.32588092683063197,0.4558793490114488,0.32423837016851287,-0.004290413763480685,0.935344816630171
all,1.0,DEV,297,0.3613177225445648,0.30556112852384254,0.4230117207028041,0.3361433548145497,0.012679854961734158,0.8277346079911353
all,1.0,LB,63,0.3843102646751972,-0.46026314404111446,-0.2487666756417411,0.5982293650697018,-0.11381528417818741,0.3744431062473998
all,1.0,TOTAL,360,0.36812817815231064,0.4728944365798835,0.7345914872271171,0.23129416199857483,0.027384470559186413,0.6045462322647089
all,2.0,DEV,297,0.6228747083075423,0.5469194338812537,1.4299509914950994,0.0763655427266524,0.062218411211699805,0.28517473360690276
all,2.0,LB,63,0.7004730703956885,-0.9049039321166967,-1.2760657223982645,0.8990338563115121,-0.1497215821812596,0.24151977665382965
all,2.0,TOTAL,360,0.63706624238185,0.3027573536047008,0.8456249178170331,0.19888101018708143,0.046903654091981155,0.3749024894152245
all,3.0,DEV,297,0.9892904142312507,0.3911005578914994,1.6669574895937098,0.04776142905072456,0.07140010663500597,0.21987345447558762
all,3.0,LB,63,1.068559898336021,-0.7275472133542382,-1.819160475399713,0.9655565245493641,-0.1655625960061444,0.19471115841506959
