Batch,orden_escalon_fase,T_prev,hist__gn,hab__gn,rec__gn,delta__gn,z_hist__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,hist__carbon,hab__carbon,rec__carbon,delta__carbon,z_hist__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon,efecto_ln_sn_dep,efecto_ln_feo_ret,inicio_bloque
AP0101,0,1066.7800829681821,28.369608504683878,26.06093290367538,26.06093290367538,0.0,0.6303787891566862,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.31564839968862257,-0.0,65.07613335065943,58.56556918988399,58.56556918988399,0.0,0.643866629320106,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.09461183015241348,-0.0,0.0,0.0,100
AP0101,1,1093.1201740483552,25.05501230197483,22.5245565675451,22.5245565675451,0.0,1.0269743108374965,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.5142349382834458,-0.0,29.245845481676934,35.44788951650845,35.44788951650845,0.0,-0.8576580471825168,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.1260270276385778,-0.0,0.0,0.0,100
AP0101,2,1102.391639074316,18.502281765407986,18.060990640257195,18.060990640257195,0.0,0.15774539925237763,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.07898756063614884,-0.0,5.0050017341734865,11.249848134725799,11.249848134725799,0.0,-0.8873779938615397,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.13039417204285245,-0.0,0.0,0.0,100
AP0101,3,1104.22409088649,16.783672417534724,16.83685100881158,16.83685100881158,0.0,-0.029384215358458452,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.01471350355301668,-0.0,4.90337388009736,6.499632640397511,6.499632640397511,0.0,-0.321494237091452,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.04724139560827271,-0.0,0.0,0.0,100
AP0102,0,1111.5749710243092,28.375203540943282,26.762430661429185,26.762430661429185,0.0,0.4403640834289286,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.22050268918572172,-0.0,56.215215593528725,63.35926106589468,63.35926106589468,0.0,-0.7065151904522459,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.10381761090763925,-0.0,0.0,0.0,100
AP0102,1,1084.1451333558998,24.256729939778648,21.146270267174366,21.146270267174366,0.0,1.2623663536957694,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.6321023584849547,-0.0,18.41134170277077,27.570549648247784,27.570549648247784,0.0,-1.2665934579211373,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.18611731010121269,-0.0,0.0,0.0,100
AP0102,2,1097.0008908698062,18.742656055026583,17.982023217478673,17.982023217478673,0.0,0.27189835418163943,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.13614715763234922,-0.0,15.293655443948413,11.0105629381725,11.0105629381725,0.0,0.6086173768761836,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.08943219180286034,-0.0,0.0,0.0,100
AP0102,3,1081.7095365417713,15.04294263109749,16.773983451669707,16.773983451669707,0.0,-0.9564991295306403,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.4789460317086635,-0.0,7.0936333773428935,4.704571202564299,4.704571202564299,0.0,0.4811686803836652,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.0707044710659905,-0.0,0.0,0.0,100
AP0103,0,1120.985332163721,28.74289814136646,27.2559854531453,27.2559854531453,0.0,0.4059982353402615,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.20329474193286165,-0.0,65.48532334194388,55.95365028019851,55.95365028019851,0.0,0.942641229622147,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.13851472937159068,-0.0,0.0,0.0,100
AP0103,1,1125.8032060694861,22.507472504077317,24.718763657123592,24.718763657123592,0.0,-0.8974427716960387,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.4493748513920344,-0.0,26.273926563752003,30.67574405493638,30.67574405493638,0.0,-0.6087112849152158,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.08944599095168135,-0.0,0.0,0.0,100
AP0103,2,1094.8283745325057,18.489791680628958,19.0522074907539,19.0522074907539,0.0,-0.20104303362931464,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.10066790463957985,-0.0,5.390095476782511,9.907934183306827,9.907934183306827,0.0,-0.6419742601885277,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.09433375935528021,-0.0,0.0,0.0,100
AP0103,3,1069.4802401963439,20.089273432978878,18.341278680399316,18.341278680399316,0.0,0.9658671473234193,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.48363686184985694,-0.0,5.151125653584798,6.880208187233179,6.880208187233179,0.0,-0.3482455876507857,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.05117232496570807,-0.0,0.0,0.0,100
AP0104,0,1073.7015809604152,28.221503375018084,26.430627391752704,26.430627391752704,0.0,0.4889947437255669,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.24485342934779195,-0.0,66.31520103536626,58.5240983918419,58.5240983918419,0.0,0.7705063453633959,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.11322067670420584,-0.0,0.0,0.0,100
AP0104,1,1074.5120427086924,23.735449110243056,24.45490693881607,24.45490693881607,0.0,-0.29198878985406335,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.1462070041534091,-0.0,29.56759933080429,34.07110837867179,34.07110837867179,0.0,-0.6227738393617782,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.09151238786094835,-0.0,0.0,0.0,100
AP0104,2,1096.5420050365124,18.327414211697047,17.823411618689093,17.823411618689093,0.0,0.18016244997246755,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.0902124087865778,-0.0,4.738939836290148,10.438661563582507,10.438661563582507,0.0,-0.8099170592068359,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.11901181355544826,-0.0,0.0,0.0,100
AP0104,3,1088.9602232252032,16.657448272705075,17.067909233595906,17.067909233595906,0.0,-0.22680317363550623,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.11356673167591938,-0.0,3.3052661317767518,6.869724002390375,6.869724002390375,0.0,-0.7178990601386392,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.10549039327622321,-0.0,0.0,0.0,100
AP0105,0,1115.606152020244,28.317114189995657,27.488076938038066,27.488076938038066,0.0,0.22636679610878277,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.11334822516786473,-0.0,63.14218224966397,57.52106096034129,57.52106096034129,0.0,0.5559045772654836,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.0816864037521703,-0.0,0.0,0.0,100
AP0105,1,1104.192795424521,23.809689133065927,24.658551987225806,24.658551987225806,0.0,-0.34450724934054405,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.172504474779279,-0.0,19.181326059194713,30.827103094896543,30.827103094896543,0.0,-1.6104520274716771,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.23664499253929927,-0.0,0.0,0.0,100
AP0105,2,1080.7794290339457,15.937447607287362,18.6310442624704,18.6310442624704,0.0,-0.962862055409627,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.48213212776009684,-0.0,16.201424880254837,11.846491992344971,11.846491992344971,0.0,0.6188257263034226,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.09093223944963201,-0.0,0.0,0.0,100
AP0105,3,1058.116823300257,14.20730368404065,16.655305388701233,16.655305388701233,0.0,-1.3526610532635257,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.6773154556087587,-0.0,5.205123415860262,11.323334276831364,11.323334276831364,0.0,-1.2322372675609825,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.18106890116212643,-0.0,0.0,0.0,100
AP0106,0,1152.421270383363,27.56511615894459,28.03203874839996,28.03203874839996,0.0,-0.12749218488825537,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.06383892482584962,-0.0,62.98666895384429,62.95602614828949,62.95602614828949,0.0,0.003030440901626785,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.0004453027176985377,-0.0,0.0,0.0,100
AP0106,1,1148.5507472672564,25.685184665256074,23.59740140438392,23.59740140438392,0.0,0.8473176378228335,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.42427578625308593,-0.0,28.10189201159355,33.92100681725467,33.92100681725467,0.0,-0.8047041608419944,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.1182458135296091,-0.0,0.0,0.0,100
AP0106,2,1130.6909694321805,20.22785608079698,17.246255935510806,17.246255935510806,0.0,1.0658127447462258,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.5336824351227717,-0.0,10.163032434857081,12.608164190800565,12.608164190800565,0.0,-0.34744747478887117,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.051055047698809405,-0.0,0.0,0.0,100
AP0106,3,1099.067381109748,16.97702690407082,16.652450457880942,16.652450457880942,0.0,0.17934706366089062,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.0898041219139792,-0.0,4.549661137507512,10.806161318627256,10.806161318627256,0.0,-1.2600894056884644,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,0.18516158377976957,-0.0,0.0,0.0,100
AP0107,0,1137.2213253812786,27.591419044777194,27.8910309712845,27.8910309712845,0.0,-0.08180837678800544,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.040963756488068194,-0.0,58.030505239835335,55.759288199672454,55.759288199672454,0.0,0.22461353947088458,-0.14694321128634869,-0.13314730366131142,mantener: beta no distinguible de 0,-0.03300543478824481,-0.0,0.0,0.0,100
