grupo,candidata,muestra,n,coef,se,t,p
R,lanza,DEV,255,1.0685710316397625,0.8018196031500111,1.3326825977337016,0.18263598645360846
R,o2,DEV,255,-1.6756489698033872,1.5412899374083162,-1.0871731068464614,0.27696031364654594
R,enriq,DEV,255,0.0867270027597733,0.9041883061056866,0.09591697014231919,0.9235865164983228
R,aire,DEV,255,-1.6532272051190349,2.6834264717223544,-0.6160881330420478,0.5378363537931442
R,esteq,DEV,255,-0.473892177276108,1.4740982238293794,-0.3214793760791879,0.7478471389822059
R,caudal,DEV,255,2.4999279615625785,3.0101312400944225,0.8305046398854556,0.40625352559065775
R,ppunta,DEV,255,0.5896638003847068,0.4255312435814556,1.3857121169807423,0.16583482674737793
R,lanza,LOCKBOX,63,-3.1693553423465186,1.5420886768125646,-2.055235467325685,0.03985626696612223
R,o2,LOCKBOX,63,-7.301126270449739,3.695820904949147,-1.9755086781052231,0.0482104507753246
R,enriq,LOCKBOX,63,8.510930761509755,2.873713843092593,2.96164866309395,0.003059967318913513
R,aire,LOCKBOX,63,-7.204420309072816,7.249230956062859,-0.9938185654089878,0.3203112059507832
R,esteq,LOCKBOX,63,-2.002678383720213,2.3090728187327514,-0.8673084570885505,0.3857730241541094
R,caudal,LOCKBOX,63,10.908020275539247,8.499830492594649,1.2833220950750368,0.19937925487543606
R,ppunta,LOCKBOX,63,-0.21848483132428953,1.1883196777002951,-0.18386031589337476,0.8541230373450361
R,lanza,TOTAL,318,0.16591454950436546,0.6951597272805246,0.23867111829597165,0.8113606138552248
R,o2,TOTAL,318,-1.3083724322564043,1.3448489414904148,-0.9728768725552286,0.33061450067972764
R,enriq,TOTAL,318,0.5231640698345043,0.8845340711838987,0.5914572280231996,0.5542141055756171
R,aire,TOTAL,318,-1.5148881281328332,2.412445822660185,-0.6279470046139225,0.5300386572883964
R,esteq,TOTAL,318,-0.46779608420768537,1.221847277472835,-0.3828597017257631,0.7018237922439734
R,caudal,TOTAL,318,2.2674786483055254,2.709556119812803,0.8368450580245521,0.4026796665404446
R,ppunta,TOTAL,318,0.452665756913844,0.38132404118537033,1.1870894777751315,0.2351923283307793
F,lanza,DEV,258,1.2390022922078174,0.7771388773638629,1.594312584657512,0.11086604039282842
F,o2,DEV,258,-1.7833246915498198,2.394970795581607,-0.7446122912395464,0.4565061353384734
F,enriq,DEV,258,1.7474465830179153,2.916695546239061,0.5991186105355302,0.5490937920788257
F,aire,DEV,258,1.9078821202354752,3.115912871754661,0.6123027821253203,0.5403374493048017
F,esteq,DEV,258,-0.5872498823968524,0.6331809422162444,-0.9274598195286401,0.3536878444169973
F,caudal,DEV,258,-0.6840827589936299,2.6100292107418137,-0.2620977405839846,0.7932460886637743
F,ppunta,DEV,258,-0.031987489565910424,0.3133709834962941,-0.10207546725936323,0.9186967735751198
F,lanza,LOCKBOX,63,1.1391735727928292,1.5809891428818406,0.7205448423993184,0.47118960052610015
F,o2,LOCKBOX,63,5.044036350502385,6.116228725976703,0.824697142060674,0.4095435546531384
F,enriq,LOCKBOX,63,-2.1378081023304087,5.819402354982391,-0.36735870316650027,0.7133514714685187
F,aire,LOCKBOX,63,1.3214718552240896,8.830837802216662,0.14964286343164201,0.8810463887898874
F,esteq,LOCKBOX,63,-3.2756999038375825,2.36913848189453,-1.3826544665376006,0.16677083976355478
F,caudal,LOCKBOX,63,-3.900504461766631,8.810316504703422,-0.44272012925805004,0.6579681808685519
F,ppunta,LOCKBOX,63,-1.4880435887795405,1.4619008231495454,-1.017882721738724,0.30873369372079396
F,lanza,TOTAL,321,1.002441022061746,0.663382921019454,1.5111046581079361,0.130761788108102
F,o2,TOTAL,321,-1.1343297604716558,1.7961813480861886,-0.6315229593494397,0.5276986420266747
F,enriq,TOTAL,321,1.4172654602568653,2.633050600261595,0.5382598648563985,0.5903976556787783
F,aire,TOTAL,321,1.4928446853045627,3.2400737441533245,0.4607440457175963,0.6449822503655036
F,esteq,TOTAL,321,-1.1299405831248606,0.5307025331608901,-2.129141114881965,0.03324258700790577
F,caudal,TOTAL,321,-0.6596587215986772,2.2793619495941453,-0.28940498972360823,0.7722714770515449
F,ppunta,TOTAL,321,-0.08860793401756849,0.29862386990850676,-0.29672086844469747,0.7666796234658287
