grupo,muestra,n,lineal,p_lin,cuadratico,p_cuad,forma,vertice_z
R,DEV,298,0.4506676126942687,0.551716187513011,0.0378053260268206,0.8409074264713572,convexa(min interior),-5.960371990636282
R,LOCKBOX,63,-2.7128783035100366,0.1879280744893883,0.4784586514969821,0.4242894396836133,convexa(min interior),2.8350185486479265
R,TOTAL,361,-0.009860641378501548,0.9882819173567021,0.0692106416690321,0.7167581345297744,convexa(min interior),0.07123645396654106
F,DEV,298,0.7050401592406368,0.3488884339945958,0.03056126488054206,0.9091109548148543,convexa(min interior),-11.53486549062186
F,LOCKBOX,63,0.0694136485179987,0.955768725607331,0.24051190887135054,0.4839569885888608,convexa(min interior),-0.14430397406044446
F,TOTAL,361,0.5255878463853533,0.4185060568254594,0.026395165401222494,0.9158277551722879,convexa(min interior),-9.956138527569344
