target,r2_oof_dev,r2_lockbox
m6_ln_sn_dep,-0.3141843042734562,-0.24945167634189236
m8_ln_feo_ret_dross50,-0.12031017269629496,-0.3029407253715759
d_temperatura_horno_celsius,0.13824689514752142,-0.3716071836278887
d_sn_kg,-0.18457644246328408,-0.12283414817791605
d_feo_kg,-0.10204981505366528,-0.21688458748995565
