Batch,orden_escalon_fase,T_prev_S1,hist__gn_S1,hab__gn_S1,rec__gn_S1,delta__gn_S1,z_hist__gn_S1,beta__gn_S1,t__gn_S1,motivo__gn_S1,valor_hist_pp__gn_S1,valor_rec_pp__gn_S1,hist__carbon_S1,hab__carbon_S1,rec__carbon_S1,delta__carbon_S1,z_hist__carbon_S1,beta__carbon_S1,t__carbon_S1,motivo__carbon_S1,valor_hist_pp__carbon_S1,valor_rec_pp__carbon_S1,efecto_ln_sn_dep_S1,efecto_ln_feo_ret_S1,inicio_bloque_S1,T_prev_S3p,hist__gn_S3p,hab__gn_S3p,rec__gn_S3p,delta__gn_S3p,z_hist__gn_S3p,beta__gn_S3p,t__gn_S3p,motivo__gn_S3p,valor_hist_pp__gn_S3p,valor_rec_pp__gn_S3p,hist__carbon_S3p,hab__carbon_S3p,rec__carbon_S3p,delta__carbon_S3p,z_hist__carbon_S3p,beta__carbon_S3p,t__carbon_S3p,motivo__carbon_S3p,valor_hist_pp__carbon_S3p,valor_rec_pp__carbon_S3p,efecto_ln_sn_dep_S3p,efecto_ln_feo_ret_S3p,inicio_bloque_S3p,sd_gn,diff_gn,diff_gn_sd,dir_S1__gn,dir_S3p__gn,cambia_accion__gn,revierte__gn,sd_carbon,diff_carbon,diff_carbon_sd,dir_S1__carbon,dir_S3p__carbon,cambia_accion__carbon,revierte__carbon
AP0101,0,1066.780082968182,28.36960850468388,26.06093290367538,26.06093290367538,0.0,0.6303787891566862,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.3156483996886225,-0.0,65.07613335065943,58.56556918988399,58.56556918988399,0.0,0.643866629320106,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,-0.0946118301524134,-0.0,0.0,0.0,100,1066.780082968182,28.36960850468388,26.14062206071236,26.14062206071236,0.0,0.60316575547766,-0.6878586637053374,-1.0552044037049813,"mantener: horno frio (T_prev < P10), no recortar GN",-0.4148927905556835,-0.0,65.07613335065943,57.80815552245508,57.80815552245508,0.0,0.7203172936208441,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,0.5756515113868453,0.0,0.0,0.0,100,2.122363483623381,0.07968915703698087,0.037547365308477916,0,0,False,False,6.720399091145465,-0.7574136674289065,-0.11270367386764948,0,0,False,False
AP0101,1,1093.1201740483552,25.05501230197483,22.5245565675451,22.5245565675451,0.0,1.0269743108374965,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.5142349382834458,-0.0,29.24584548167693,35.44788951650845,35.44788951650845,0.0,-0.8576580471825168,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,0.1260270276385778,-0.0,0.0,0.0,100,1093.1201740483552,25.05501230197483,24.053891941820005,22.69967122626821,-1.35422071555179,0.3900348741318927,-0.6878586637053374,-1.0552044037049813,recomendar,-0.2682888673188432,0.3629157455342478,29.24584548167693,37.83547546197451,37.83547546197451,0.0,-1.3085597763070538,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,-1.0457536139173849,0.0,-0.0221322349744654,0.0041547624090713,100,2.8308825168256773,0.1751146587231105,0.0618586810587498,0,-1,True,False,5.7711178432488435,2.387585945466064,0.41371290802164173,0,0,False,False
AP0101,2,1102.391639074316,18.502281765407982,18.060990640257195,18.060990640257195,0.0,0.1577453992523776,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.0789875606361488,-0.0,5.005001734173487,11.2498481347258,11.2498481347258,0.0,-0.8873779938615397,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,0.1303941720428524,-0.0,0.0,0.0,100,1102.391639074316,18.502281765407982,19.740966829023787,18.142828351831582,-1.598138477192201,-0.4089338791928052,-0.6878586637053374,-1.0552044037049813,recomendar,0.2812887116854028,0.362915745534248,5.005001734173487,9.46326591326451,9.46326591326451,0.0,-0.6119684667219782,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,-0.4890630502827109,0.0,-0.0261186200246096,0.0049031044890073,100,2.8027788200374375,0.08183771157438713,0.02919877622498018,0,-1,True,False,5.397532728317554,-1.7865822214612912,-0.33099979405186125,0,0,False,False
AP0101,3,1104.22409088649,16.783672417534724,16.83685100881158,16.83685100881158,0.0,-0.0293842153584584,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.0147135035530166,-0.0,4.90337388009736,6.499632640397511,6.499632640397511,0.0,-0.321494237091452,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,0.0472413956082727,-0.0,0.0,0.0,100,1104.22409088649,16.783672417534724,18.120846316478733,17.147757922387996,-0.9730883940907376,-0.7250069958975929,-0.6878586637053374,-1.0552044037049813,recomendar,0.4987023433751393,0.3629157455342477,4.90337388009736,6.583032012826454,6.583032012826454,0.0,-0.316924626025536,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,-0.2532746910049075,0.0,-0.0159033315187223,0.0029854447166867,100,2.2436315336498733,0.3109069135764173,0.13857307178716782,0,-1,True,False,3.3546102368058524,0.0833993724289428,0.02486112142445284,0,0,False,False
AP0102,0,1111.5749710243092,28.37520354094328,26.762430661429185,26.762430661429185,0.0,0.4403640834289286,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.2205026891857217,-0.0,56.215215593528725,63.35926106589468,63.35926106589468,0.0,-0.7065151904522459,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,0.1038176109076392,-0.0,0.0,0.0,100,1111.5749710243092,28.37520354094328,26.95373340636524,25.003990495633488,-1.94974291073175,0.384651108996449,-0.6878586637053374,-1.0552044037049813,recomendar,-0.2645855978270735,0.3629157455342478,56.215215593528725,61.18934061474496,61.18934061474496,0.0,-0.4929773257576679,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,-0.3939696369433866,0.0,-0.0318649447202782,0.0059818303322593,100,2.122363483623381,-1.7584401657956974,-0.8285292219566558,0,-1,True,False,6.720399091145465,-2.1699204511497214,-0.3228856533250717,0,0,False,False
AP0102,1,1084.1451333558998,24.256729939778648,21.14627026717437,21.14627026717437,0.0,1.2623663536957694,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.6321023584849547,-0.0,18.41134170277077,27.570549648247784,27.570549648247784,0.0,-1.266593457921137,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,0.1861173101012126,-0.0,0.0,0.0,100,1084.1451333558998,24.256729939778648,22.699476321263187,21.3452556057114,-1.35422071555179,0.6067034926701311,-0.6878586637053374,-1.0552044037049813,recomendar,-0.4173262537334374,0.3629157455342478,18.41134170277077,32.282761928686334,32.282761928686334,0.0,-2.113197261060176,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,-1.6887907703464735,0.0,-0.0221322349744654,0.0041547624090713,100,2.8308825168256773,0.1989853385370317,0.07029092071265387,0,-1,True,False,5.7711178432488435,4.71221228043855,0.8165163852876406,0,0,False,False
AP0102,2,1097.0008908698062,18.742656055026583,17.982023217478673,17.982023217478673,0.0,0.2718983541816394,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.1361471576323492,-0.0,15.293655443948412,11.0105629381725,11.0105629381725,0.0,0.6086173768761836,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,-0.0894321918028603,-0.0,0.0,0.0,100,1097.0008908698062,18.742656055026583,19.367463430492123,17.769324953299922,-1.598138477192201,-0.2062710783413854,-0.6878586637053374,-1.0552044037049813,recomendar,0.1418853483089643,0.362915745534248,15.293655443948412,10.350466553811971,10.350466553811971,0.0,0.6785321829965416,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,0.5422583632598098,0.0,-0.0261186200246096,0.0049031044890073,100,2.8027788200374375,-0.21269826417875137,-0.07588835146681688,0,-1,True,False,5.397532728317554,-0.6600963843605285,-0.12229594846130463,0,0,False,False
AP0102,3,1081.7095365417713,15.04294263109749,16.773983451669707,16.773983451669707,0.0,-0.9564991295306404,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.4789460317086635,-0.0,7.0936333773428935,4.704571202564299,4.704571202564299,0.0,0.4811686803836652,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,-0.0707044710659905,-0.0,0.0,0.0,100,1081.7095365417713,15.04294263109749,17.77210260721376,16.799014213123023,-0.9730883940907376,-1.47973279853173,-0.6878586637053374,-1.0552044037049813,recomendar,1.017847025438995,0.3629157455342477,7.0936333773428935,6.742918345333797,6.742918345333797,0.0,0.0661743173775612,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,0.0528841194717132,0.0,-0.0159033315187223,0.0029854447166867,100,2.2436315336498733,0.02503076145331562,0.011156360158923385,0,-1,True,False,3.3546102368058524,2.0383471427694975,0.6076256252977823,0,0,False,False
AP0103,0,1120.985332163721,28.74289814136646,27.2559854531453,27.2559854531453,0.0,0.4059982353402615,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,-0.2032947419328616,-0.0,65.48532334194388,55.95365028019851,55.95365028019851,0.0,0.942641229622147,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,-0.1385147293715906,-0.0,0.0,0.0,100,1120.985332163721,28.74289814136646,26.80670803144689,24.85696512071514,-1.94974291073175,0.5239348016478699,-0.6878586637053374,-1.0552044037049813,recomendar,-0.3603930925302248,0.3629157455342478,65.48532334194388,59.71435072113674,59.71435072113674,0.0,0.571951576908816,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,0.4570830002326103,0.0,-0.0318649447202782,0.0059818303322593,100,2.122363483623381,-2.399020332430158,-1.1303531892352663,0,-1,True,False,6.720399091145465,3.76070044093823,0.5595948082745832,0,0,False,False
AP0103,1,1125.803206069486,22.50747250407732,24.718763657123592,24.718763657123592,0.0,-0.8974427716960387,-0.5007281417429884,-0.7616828913895438,mantener: beta no distinguible de 0,0.4493748513920344,-0.0,26.273926563752003,30.67574405493638,30.67574405493638,0.0,-0.6087112849152158,-0.1469432112863486,-0.1331473036613114,mantener: beta no distinguible de 0,0.0894459909516813,-0.0,0.0,0.0,100,1125.803206069486,22.50747250407732,22.167613193934127,20.813392478382337,-1.35422071555179,0.1324086378922018,-0.6878586637053374,-1.0552044037049813,recomendar,-0.0910784287235738,0.3629157455342478,26.273926563752003,30.718117134665142,30.718117134665142,0.0,-0.6770360344600718,0.7991638080674113,0.7244816237055102,mantener: beta no distinguible de 0,-0.54106269549797,0.0,-0.0221322349744654,0.0041547624090713,100,2.8308825168256773,-3.9053711787412553,-1.3795596092487874,0,-1,True,False,5.7711178432488435,0.04237307972876181,0.007342265550569305,0,0,False,False
