estado,muestra,n,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,p_perm_bloques,kpi_res_tercio_bajo,kpi_res_tercio_medio,kpi_res_tercio_alto,valor_rec_medio_pp
S1_v9,todo,262,0.44060573579806217,0.22150333130755578,1.989160764296968,0.023341730546648648,0.16467511462392045,0.0075622547799841545,0.04299140171965607,-1.261972921279367,0.38398364992669576,0.8924947072302322,1.0770542859216714
S1_v9,DEV,199,0.479336599369348,0.23233163003805862,2.0631568731766188,0.019548863055330015,0.20185168265570275,0.004249537459089503,0.02559488102379524,-1.702814069983038,0.7247565909987935,1.0038576921660565,1.1187903158375405
S1_v9,lockbox,63,-0.26017847126275817,0.9765187795720314,-0.2664346827787417,0.6050477713824415,-0.01636904761904762,0.8986776135689314,0.6552689462107578,0.19098783073202763,-0.335061632717862,0.1440738019859859,0.9452214295207518
S2_t2,todo,262,0.45613865210796567,0.2602029827917937,1.7530108502751236,0.03980007232271321,0.14969618781008012,0.015302519986622931,0.09238152369526095,-1.1569179073176015,0.7340463685932835,0.43616944570576643,1.092935933778391
S2_t2,DEV,199,0.5271924063308432,0.285414306312,1.847112757391159,0.03236539996102081,0.1943688137657987,0.005942783647964099,0.04479104179164167,-1.4673697329763067,0.4932181506586385,0.9963844570599841,1.1765793776450035
S2_t2,lockbox,63,-0.38082537716590825,0.957346694415556,-0.397792544109003,0.6546084431687567,-0.09595814132104455,0.4543871081904876,0.7330533893221356,-0.027475510480209936,0.8762975620188995,-0.8488220515385381,0.8287288650568686
S3p_plan,todo,262,0.4384154119548229,0.254413014807691,1.723242862737262,0.04242230775451186,0.18134483392501066,0.00322172595443258,0.09818036392721456,-1.234663779025007,0.5633309197436469,0.6855243969720894,1.3351494116636882
S3p_plan,DEV,199,0.4717414687311039,0.2970817038753141,1.5879182816626598,0.05615240947738735,0.21348408710217756,0.002465265802529211,0.07238552289542091,-1.511117615543816,0.30517664191652655,1.2288366950751735,1.1266657610165622
S3p_plan,lockbox,63,0.17357677129106525,0.6736298454473275,0.2576738136888823,0.39832932872570714,0.012576804915514593,0.9220671829072071,0.4411117776444711,-0.46039868546475776,0.9962107899514918,-0.5358121044865825,1.9936930065649274
S4_online,todo,262,0.5640935522537894,0.23276394098824235,2.423457644937725,0.00768677293571093,0.21079825222500354,0.0005938125561292239,0.013797240551889621,-1.2106437373800574,0.26459223359987677,0.9599669490382093,1.6528984650221763
S4_online,DEV,199,0.672884465668764,0.271383233090636,2.4794621908127814,0.006579033971363349,0.2572559768539668,0.0002443491061451921,0.0033993201359728054,-1.726001720064674,0.49752722172923397,1.2546260395487918,1.4422742643598963
S4_online,lockbox,63,0.09999211702191851,0.6626241418849045,0.15090322054593477,0.44002602997692103,0.010800691244239633,0.9330456584433455,0.49750049990002,-0.010441941580647754,-0.4250561068037895,0.43549804838458883,2.318203479812554
