estado,n_cols,n_filas,n_completas,pct_completas,peor_columna,peor_columna_pct_nan,orden,n_filas_orden,n_completas_orden,pct_completas_orden
S1_v9,17.0,1448.0,1434.0,0.9903314917127072,m6_feo_inv_kg_prev,0.008977900552486187,,,,
S1_v9,,,,,,,0.0,362.0,360.0,0.994475138121547
S1_v9,,,,,,,1.0,362.0,359.0,0.9917127071823204
S1_v9,,,,,,,2.0,362.0,358.0,0.988950276243094
S1_v9,,,,,,,3.0,362.0,357.0,0.9861878453038674
S2_t2,22.0,1448.0,1231.0,0.8501381215469613,presion_punta_lanza_kpa_prev,0.13812154696132597,,,,
S2_t2,,,,,,,0.0,362.0,304.0,0.8397790055248618
S2_t2,,,,,,,1.0,362.0,312.0,0.861878453038674
S2_t2,,,,,,,2.0,362.0,310.0,0.856353591160221
S2_t2,,,,,,,3.0,362.0,305.0,0.8425414364640884
S3p_plan,20.0,1448.0,1432.0,0.988950276243094,ley_feo_escoria_pct_F6p,0.009668508287292817,,,,
S3p_plan,,,,,,,0.0,362.0,354.0,0.9779005524861878
S3p_plan,,,,,,,1.0,362.0,360.0,0.994475138121547
S3p_plan,,,,,,,2.0,362.0,359.0,0.9917127071823204
S3p_plan,,,,,,,3.0,362.0,359.0,0.9917127071823204
S4_online,14.0,1448.0,1248.0,0.861878453038674,presion_punta_lanza_kpa_prev,0.13812154696132597,,,,
S4_online,,,,,,,0.0,362.0,312.0,0.861878453038674
S4_online,,,,,,,1.0,362.0,314.0,0.8674033149171271
S4_online,,,,,,,2.0,362.0,313.0,0.8646408839779005
S4_online,,,,,,,3.0,362.0,309.0,0.8535911602209945
