estado,palanca,n_ok,n_total,r2_global,r2_orden_0,r2_orden_1,r2_orden_2,r2_orden_3
S1_v9,gn,1433,1448,0.765356146689221,0.3117946834595414,0.05740000723558747,0.05313096431448949,0.1355187246436932
S1_v9,carbon,1434,1448,0.9384051922206095,-0.054539104131497984,0.27162974133437656,0.03772877475757408,0.15201622685737604
S2_t2,gn,1231,1448,0.7604610406205226,0.22081093444606503,0.06002172510424719,-0.05755474423018225,0.16857526513974863
S2_t2,carbon,1231,1448,0.9449042183746351,-0.03931766701908623,0.24105296970852075,-0.04175435086267676,0.0002014988798777484
S3p_plan,gn,1432,1448,0.7568507734534533,0.32482256428743206,0.03720051314178874,0.02952901246552675,0.11035836638874774
S3p_plan,carbon,1432,1448,0.9396107996549575,-0.037656020482680574,0.28854308877861423,0.07725745487809277,0.09811713572404601
S4_online,gn,1248,1448,0.7629642917639677,0.22490916302161756,0.04880245194889854,-0.01858651453833704,0.12960924488312475
S4_online,carbon,1248,1448,0.9451483478807265,-0.07104211540760641,0.2818673428846008,-0.055650979219421304,-0.04482814765100973
