escenario,estrategia,ganancia_pp_batch,P5,P95,P(ganancia<0),ganancia_tras_piloto_pp,se_beta_final
constante -1.1,S0,-0.000874239294036985,-0.0590812531819727,0.05681673329650302,0.4925,-0.001800723351959994,0.636653589999745
constante -1.1,S1,0.5605149942775904,0.09640425757457173,0.9260707029713034,0.0125,0.5238670719455135,0.9945219917569283
constante -1.1,S2,0.49146617173195944,0.2916291488965943,0.6399155526119599,0.0025,0.6130243415988531,0.5415379458982441
constante -0.5,S0,0.00010137136477459008,-0.02635960807963506,0.027525462639330492,0.5325,0.0011422976592314104,0.6346404736685911
constante -0.5,S1,0.10408456124454435,-0.038198248617136235,0.2829816696946738,0.13,0.09859463721809793,1.0027302709709516
constante -0.5,S2,0.09825097187466868,-0.008595958522520574,0.21045216804440006,0.075,0.12398130394847037,0.5858573282303053
nulo,S0,0.0,0.0,0.0,0.0,0.0,0.6397187499474942
nulo,S1,0.0,0.0,0.0,0.0,0.0,1.0427230390717062
nulo,S2,0.0,0.0,0.0,0.0,0.0,0.609582502885953
deriva estimada,S0,0.005578380767087849,-0.06296537279741525,0.07476821847079425,0.48,0.00035333662685728835,0.629132591726079
deriva estimada,S1,0.6996060482616714,0.2820511719084589,0.8801436951742825,0.0025,0.3790767062478959,0.9465537282485725
deriva estimada,S2,0.29186523454567365,0.17891041541975747,0.40694197632083967,0.0,0.36433540824071314,0.5937304172068798
cambio de signo,S0,-0.0005427981663684839,-0.07626409519372136,0.07576337694151541,0.5125,-0.0010145813167190974,0.6335498609200353
cambio de signo,S1,0.6809776717635804,0.3118658703921193,1.014089634396496,0.0025,0.5634604196115653,0.9681042012438763
cambio de signo,S2,0.49178603364207807,0.3076765391825816,0.6503789223592086,0.0,0.6192643495653516,0.5374735893774445
