s,beta_expansivo,beta_ventana1,beta_ventana2,estable,canal,palanca
260,0.9442947686347691,0.7155882095395751,1.2353058683345057,True,f_dross,xG
270,1.0512847372503114,0.26447257981676425,1.5549035839860057,True,f_dross,xG
280,1.0436879470264486,-0.022784066595663652,1.5951995516652118,False,f_dross,xG
290,1.004675777802995,0.7631827069898496,1.4403063209738165,True,f_dross,xG
300,0.9564934412759208,1.0734657228105091,1.2044931163590509,True,f_dross,xG
310,0.8727737889651921,0.8651793318378703,1.0150757268599113,True,f_dross,xG
320,0.8765982659589668,1.3579662617977928,1.1667312420112717,True,f_dross,xG
330,0.8092806957515121,1.484146777053067,0.6759177129526149,True,f_dross,xG
340,0.8756668413956522,1.2353058683345057,0.8837371278156921,True,f_dross,xG
350,0.8297227990089975,1.5549035839860057,0.3201298841236019,True,f_dross,xG
360,0.8062416094091364,1.5951995516652118,0.3164956571149812,True,f_dross,xG
