muestra,mejor_esquema,t_obs,p_sin_corregir,p_corregido_max_7_esquemas,n_perm
total,B_canales_W100,2.3839225578160645,0.003997335109926716,0.009993337774816789,1500
dev,E_eb,2.295877459337319,0.007994670219853431,0.017321785476349102,1500
lockbox,B_canales_W100,0.8308861584341413,0.14656895403064624,0.3384410393071286,1500
