grupo,candidata,spec,muestra,n,pendiente,se,t,p_uni,spearman,sd_score,p_perm_bilateral
F,esteq,PERM_bloques20(n=1200),DEV,198,0.4555801476790084,,2.060796365326267,0.01966123569609525,0.19541717200059674,1.5042608294442863,0.4379683597002498
F,caudal,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
F,caudal,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
F,caudal,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
F,caudal,cand(xG+xC+F_caudal),DEV,198,0.5798077591146207,0.2734228775718,2.1205532041201085,0.016979709857929362,0.18776469642474794,1.2205312163678865,
F,caudal,cand(xG+xC+F_caudal),LOCKBOX,63,0.321827015121556,0.42483445957086324,0.7575351007228607,0.22436467252828113,0.001392089093701997,1.3180392202934312,
F,caudal,cand(xG+xC+F_caudal),TOTAL,261,0.5045161546986986,0.22524969410658144,2.23980838997267,0.012551682483256969,0.15301935057133795,1.3344096638345728,
F,caudal,PERM_bloques20(n=1200),DEV,198,0.5798077591146207,,2.1205532041201085,0.016979709857929362,0.18776469642474794,1.2205312163678865,0.414654454621149
F,ppunta,base(xG+xC),DEV,158,0.632365377667417,0.29422217963613795,2.149278407390829,0.015806168555827248,0.2282481870636897,1.2964049136321452,
F,ppunta,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
F,ppunta,base(xG+xC),TOTAL,221,0.48509225192828703,0.2420249459737018,2.0043068286894554,0.022518601415809778,0.13845486786663258,1.3937666477548667,
F,ppunta,cand(xG+xC+F_ppunta),DEV,158,0.5713554718338858,0.27511786084182355,2.076766190626865,0.01891157205064062,0.1987087725276447,1.3922298273583256,
F,ppunta,cand(xG+xC+F_ppunta),LOCKBOX,63,0.35770089570044117,0.48213833798748024,0.7419051079686794,0.22907241539944212,0.008544546850998464,1.2344797598187438,
F,ppunta,cand(xG+xC+F_ppunta),TOTAL,221,0.43956767423746207,0.22977942239505733,1.9129984297798348,0.027874126735156567,0.12524597818715466,1.4738564544827384,
F,ppunta,PERM_bloques20(n=1200),DEV,158,0.5713554718338858,,2.076766190626865,0.01891157205064062,0.1987087725276447,1.3922298273583256,0.37052456286427976
