umbral,muestra,n,pendiente,t,p_uni,spearman,pct_recom_G,pct_recom_C
1.0,todo,261,0.4208787009789694,1.2934197346426228,0.09793296414446667,0.10406112269760598,0.9616858237547893,0.31800766283524906
1.0,DEV,198,0.7082117099092801,1.9546649900381188,0.025311312472632554,0.171057564394809,0.9494949494949495,0.13636363636363635
1.0,lockbox,63,-1.2897454773798733,-1.6084247705876635,0.9461289099059529,-0.16109831029185867,1.0,0.8888888888888888
1.0,tercio1,21,,,,,0.5238095238095238,0.0
1.0,tercio2,120,,,,,1.0,0.0
1.0,tercio3,120,,,,,1.0,0.6916666666666667
1.5,todo,261,0.3436185416259682,1.0574023697613206,0.14516399523409512,0.06915247602270504,0.9157088122605364,0.1532567049808429
1.5,DEV,198,0.6640855272233936,1.8309670079825202,0.03355273379215176,0.147704373273845,0.8888888888888888,0.0
1.5,lockbox,63,-1.567914533162569,-1.9834053399193419,0.9763389144300978,-0.22638248847926268,1.0,0.6349206349206349
1.5,tercio1,21,,,,,0.0,0.0
1.5,tercio2,120,,,,,0.9916666666666667,0.0
1.5,tercio3,120,,,,,1.0,0.3333333333333333
2.0,todo,261,0.3061325576338388,0.9085750242083017,0.1817872475685896,0.059162667638582356,0.8544061302681992,0.0
2.0,DEV,198,0.5997541628400913,1.6367610555215717,0.050840203001747894,0.13465033210971022,0.8080808080808081,0.0
2.0,lockbox,63,-1.8906913823212985,-2.135403806831405,0.9836359799994386,-0.25638440860215056,1.0,0.0
2.0,tercio1,21,,,,,0.0,0.0
2.0,tercio2,120,,,,,0.8583333333333333,0.0
2.0,tercio3,120,,,,,1.0,0.0
sin_gate,todo,261,0.5117768920236924,1.6050800667387932,0.05423809270773108,0.12607163828537873,1.0,1.0
sin_gate,DEV,198,0.794849601504654,2.2382756883963415,0.012601541254142522,0.18908803361523815,1.0,1.0
sin_gate,lockbox,63,-1.0471259168645874,-1.3453372416641705,0.9107418239548039,-0.120823732718894,1.0,1.0
