estado,palanca,n,corr_pearson_z_vs_S1,corr_spearman_z_vs_S1
S2_t2,gn,1226,0.9223447133716118,0.8680735291998875
S2_t2,carbon,1226,0.9288938487188869,0.8861346702555031
S3p_plan,gn,1423,0.9291751370429556,0.873148230143261
S3p_plan,carbon,1423,0.9321030405528399,0.8885766999000079
S4_online,gn,1237,0.9081522047137635,0.8515600404724847
S4_online,carbon,1237,0.9281205341810704,0.8829825257730984
