grupo,candidata,signos_tercios
R,lanza,++-
R,o2,---
R,enriq,+-+
R,aire,-+-
R,esteq,---
R,caudal,-+-
R,ppunta,+-+
F,lanza,++-
F,o2,--+
F,enriq,--+
F,aire,+--
F,esteq,-+-
F,caudal,+-+
F,ppunta,-+-
