grupo,candidata,n_escalones,n_batches,icc
F,lanza,1793,299,0.0454
F,o2,1794,299,0.2358
F,enriq,1793,299,0.1372
F,aire,1794,299,0.1085
F,esteq,1793,299,0.0
F,caudal,1794,299,0.151
F,ppunta,1496,258,0.5048
F,gn,1793,299,0.2311
F,carbon,1794,299,0.109
R,lanza,1194,299,0.0876
R,o2,1196,299,0.2599
R,enriq,1193,299,0.2313
R,aire,1196,299,0.1819
R,esteq,1193,299,0.2635
R,caudal,1196,299,0.2321
R,ppunta,995,255,0.4382
R,gn,1194,299,0.2047
R,carbon,1196,299,0.0
