quintil,pos_media,kpi_resid_media,kpi_resid_se,n
0,2644.9686530533604,-0.3614877788624996,0.5250627792924276,73
1,2864.140553230874,-0.09304218632767755,0.5864206197021361,72
2,3033.565652257943,-0.0626208591545705,0.45396627348389584,72
3,3246.1333576231614,0.08652187473132303,0.49796293170782807,72
4,3712.348959108691,0.43564961320872925,0.5202353470017635,72
