,x_F_lanza,x_F_o2,x_F_enriq,x_F_aire,x_F_esteq,x_F_caudal,x_F_ppunta,x_F_gn,x_F_carbon
x_F_lanza,1.0,-0.04862078640180771,-0.0378084700814441,-0.13324641015537372,0.05354856337740886,-0.0780779907955077,0.18155368675110942,-0.1470362113506889,0.08576579903113268
x_F_o2,-0.04862078640180771,1.0,0.7346919704067713,0.34664198593952994,0.22023441442992905,0.7756761218327944,0.03707652493076483,0.811443137467414,0.19378611850046995
x_F_enriq,-0.0378084700814441,0.7346919704067713,1.0,-0.260152245166,-0.05545741840345733,0.24362332237185194,0.06330201831394483,0.6334284947378267,0.05679595348454492
x_F_aire,-0.13324641015537372,0.34664198593952994,-0.260152245166,1.0,0.35973910409952037,0.828435002490184,-0.031728177610617234,0.37194777772943033,0.2073046451926536
x_F_esteq,0.05354856337740886,0.22023441442992905,-0.05545741840345733,0.35973910409952037,1.0,0.30324034937962996,0.1050528023076721,-0.11158117756915872,0.0557769475563342
x_F_caudal,-0.0780779907955077,0.7756761218327944,0.24362332237185194,0.828435002490184,0.30324034937962996,1.0,0.0073054189627490785,0.726079954678317,0.23102256117258368
x_F_ppunta,0.18155368675110942,0.03707652493076483,0.06330201831394483,-0.031728177610617234,0.1050528023076721,0.0073054189627490785,1.0,6.332801239106014e-07,0.019565840808393214
x_F_gn,-0.1470362113506889,0.811443137467414,0.6334284947378267,0.37194777772943033,-0.11158117756915872,0.726079954678317,6.332801239106014e-07,1.0,0.1792085485142101
x_F_carbon,0.08576579903113268,0.19378611850046995,0.05679595348454492,0.2073046451926536,0.0557769475563342,0.23102256117258368,0.019565840808393214,0.1792085485142101,1.0
