estado,muestra,n,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,p_perm_bloques,kpi_res_tercio_bajo,kpi_res_tercio_medio,kpi_res_tercio_alto,valor_rec_medio_pp,p_corregida_ok,pendiente_gt0
S1_v9,todo,262,0.4406057357980621,0.2215033313075557,1.989160764296968,0.0233417305466486,0.1646751146239204,0.0075622547799841,0.042991401719656,-1.261972921279367,0.3839836499266957,0.8924947072302322,1.0770542859216714,False,True
S2_t2,todo,262,0.4561386521079656,0.2602029827917937,1.7530108502751236,0.0398000723227132,0.1496961878100801,0.0153025199866229,0.0923815236952609,-1.1569179073176017,0.7340463685932835,0.4361694457057664,1.092935933778391,False,True
S3p_plan,todo,262,0.4384154119548229,0.254413014807691,1.723242862737262,0.0424223077545118,0.1813448339250106,0.0032217259544325,0.0981803639272145,-1.234663779025007,0.5633309197436469,0.6855243969720894,1.3351494116636882,False,True
S4_online,todo,262,0.5640935522537894,0.2327639409882423,2.423457644937725,0.0076867729357109,0.2107982522250035,0.0005938125561292,0.0137972405518896,-1.2106437373800574,0.2645922335998767,0.9599669490382092,1.6528984650221763,True,True
