esquema,muestra,n,pendiente_hc3,t_hc3,spearman_hc3,pendiente_clasica,t_clasico,spearman_clasico,tercil_diff_pp,sd_score
A_directo,total,261,0.5277894076815597,2.045441935575035,0.19768292600616896,0.527789407681556,2.3247133433749663,0.15362814775818198,1.4478987725846737,1.3343367130239272
A_directo,dev,198,0.5935525012945257,1.7713561417531276,0.20016479876694657,0.5935525012945254,2.200553215404398,0.1938341144269262,2.34976672085667,1.2389574368774636
A_directo,lockbox,63,0.3674470827116415,0.6831709356151924,0.030097926267281108,0.3674470827116412,0.7788200937167338,0.022801459293394777,0.4803019192115661,1.2368779674145125
B_canales_W100,total,261,0.5279083444763251,2.0988099898625205,0.19894574145692862,0.5279083444763467,2.3839225578160645,0.15705617537678607,1.5383550324526303,1.3786433076484104
B_canales_W100,dev,198,0.5963836943188975,1.7898354609443625,0.1999591867969288,0.5963836943188915,2.243719645317946,0.19580675257536723,2.176964979742429,1.2568381211038235
B_canales_W100,lockbox,63,0.36996861701149614,0.7374691351434981,0.03643433179723502,0.36996861701148076,0.8308861584341413,0.019297235023041474,0.6043954167353051,1.3082387028787759
C_60,total,261,0.43980832367285483,1.7891515521814807,0.18644245111736557,0.43980832367285116,1.9292019429805722,0.10490277468429614,1.5762815961104013,1.3376527645846596
C_60,dev,198,0.5334806520327772,1.668183436268453,0.1751821714324584,0.5334806520327764,1.9591442514162254,0.14598681764459895,1.8497733473844957,1.250663396068516
C_60,lockbox,63,0.18894341564521344,0.33051114832530465,-0.002064132104454685,0.18894341564521347,0.40734639511808196,-0.11141513056835638,-0.5110805158825813,1.290260944496161
C_100,total,261,0.5340360757556308,1.6434804757915362,0.203946382651305,0.534036075755627,2.1119933412557845,0.12828409635464125,1.847653166614696,1.1935645778762882
C_100,dev,198,0.6121502357411887,1.3904884755349933,0.2013196268993019,0.6121502357411841,2.0455077727923427,0.1788228946609683,2.214434849248108,1.1214055297404517
C_100,lockbox,63,0.42643066052496875,0.7061374991893924,0.02054531490015361,0.4264306605249705,0.7812276939814831,-0.007920506912442397,0.3464198461881697,1.1223900471419401
D_estables,total,261,0.5501821174575299,0.9697377998377871,0.14375240447891147,0.5501821174575372,0.9713838417491274,0.0980683175734505,1.1940840892917501,0.5345355051872712
D_estables,dev,198,1.6348187231857074,1.830411908857051,0.17818441538565,1.6348187231857179,2.0625553827755168,0.1600179021549835,2.1361549284132875,0.4163391141801718
D_estables,lockbox,63,-0.6581641436019827,-0.8154220483913861,-0.09639016897081414,-0.6581641436019753,-0.8039691281503039,-0.07142857142857142,-0.16498012214556365,0.7108841157685438
E_eb,total,261,0.6325331630096198,1.6084654846257407,0.16836279452757474,0.6325331630096284,1.8219326583675228,0.12535890011541498,1.430412546661027,0.8481466701553583
E_eb,dev,198,0.9264549264419837,1.8656655788354866,0.1903727219391837,0.9264549264419822,2.295877459337319,0.18110163183244324,2.189768022623621,0.824728694951713
E_eb,lockbox,63,-0.38424785436164344,-0.4751137590526301,-0.06941244239631336,-0.38424785436164155,-0.51616428061193,-0.02486559139784946,0.016431225197291413,0.7809531557615205
F_signo,total,261,0.5279083444763251,2.0988099898625205,0.19894574145692862,0.5279083444763467,2.3839225578160645,0.15705617537678607,1.5383550324526303,1.3786433076484104
F_signo,dev,198,0.5963836943188975,1.7898354609443625,0.1999591867969288,0.5963836943188915,2.243719645317946,0.19580675257536723,2.176964979742429,1.2568381211038235
F_signo,lockbox,63,0.36996861701149614,0.7374691351434981,0.03643433179723502,0.36996861701148076,0.8308861584341413,0.019297235023041474,0.6043954167353051,1.3082387028787759
