palanca,orden,n,media_abs_diff_fisica,media_diff_fisica,media_abs_diff_sd,mediana_abs_diff_sd,pct_cambia_accion,n_ambos_activos,pct_revierte_dado_ambos_activos
gn,0,262,0.5386113553330393,-0.11807646258837817,0.2537790343120214,0.16916895664203851,0.0648854961832061,116,0.0
gn,1,262,0.821409000435998,0.0364142393950945,0.29016004569382825,0.24175655380899277,0.05725190839694656,107,0.0
gn,2,262,0.7789129830891071,-0.087660255267207,0.277907403010382,0.21672192838679932,0.04580152671755725,83,0.0
gn,3,262,0.7941727539701396,-0.025016537721443965,0.35396754861891383,0.2909821178511238,0.03816793893129771,61,0.0
gn,TODOS,1048,0.733276523207071,-0.048584754045483645,0.2939535079087864,0.22818060982148758,0.05152671755725191,367,0.0
carbon,0,262,2.2961426598563226,0.5529387154947096,0.34166760466378104,0.23801574284319976,0.26717557251908397,62,0.0
carbon,1,262,2.301836459674656,0.9766869713201128,0.3988545238887098,0.3140291475578637,0.26717557251908397,62,0.0
carbon,2,262,1.893549756916327,0.45651913892712737,0.3508176517359551,0.2735506758635394,0.26717557251908397,62,0.0
carbon,3,262,1.4520418161987436,0.552275304245633,0.43284963488972394,0.3523998877147373,0.26717557251908397,62,0.0
carbon,TODOS,1048,1.9858926731615116,0.6346050324968955,0.38104735379454246,0.2950942055742783,0.26717557251908397,248,0.0
