y,muestra,n,var,coef,se,t,p
recuperacion_refinada_pct,DEV,286,xG,-1.167036084742837,0.4138903581527134,-2.8196744904896645,0.004807238677181333
recuperacion_refinada_pct,DEV,286,xC,1.1327623917766472,0.7400890671037549,1.5305757673323965,0.12587427454843844
recuperacion_refinada_pct,DEV,286,zD_R3,0.3692529438787996,0.24579408542622713,1.502285717080965,0.13302333572906164
recuperacion_refinada_pct,DEV,286,zD_F6,0.22597405241794666,0.2673280607257561,0.8453061448336571,0.3979399310961149
recuperacion_refinada_pct,LOCKBOX,62,xG,1.968342067592949,0.8233218183121467,2.3907323039588024,0.0168148079531885
recuperacion_refinada_pct,LOCKBOX,62,xC,1.0399245264794486,1.4429868811544642,0.720674969440786,0.4711095161689025
recuperacion_refinada_pct,LOCKBOX,62,zD_R3,0.34793084292666876,1.1824845916673277,0.29423710497240313,0.7685767292171368
recuperacion_refinada_pct,LOCKBOX,62,zD_F6,-1.6106502633754398,0.7592060140777407,-2.1214930249624095,0.0338803342974746
recuperacion_refinada_pct,TOTAL,348,xG,-0.5140161562321857,0.3933192720361695,-1.3068674554673663,0.191257730701625
recuperacion_refinada_pct,TOTAL,348,xC,1.4392336541232666,0.6417910874501755,2.2425267073142385,0.02492735119506976
recuperacion_refinada_pct,TOTAL,348,zD_R3,0.3993965628947491,0.3307520931168117,1.2075405453403867,0.22722404029233212
recuperacion_refinada_pct,TOTAL,348,zD_F6,0.03245399215465472,0.24825492754822245,0.1307284913744589,0.8959900928989252
f_dross,DEV,286,xG,0.00926349807917429,0.0035023285179485927,2.644954073183337,0.008170200534320802
f_dross,DEV,286,xC,-0.006756835306842642,0.00563535530576661,-1.1990078602370344,0.2305248892587527
f_dross,DEV,286,zD_R3,-0.0032283699687200387,0.0019444935916883253,-1.6602625910003515,0.09686163789565296
f_dross,DEV,286,zD_F6,-0.0007812707472181488,0.002172601824291051,-0.35960144122270904,0.7191452056468663
f_dross,LOCKBOX,62,xG,-0.0023095726388014295,0.00999489049318776,-0.23107533197843136,0.8172562787760904
f_dross,LOCKBOX,62,xC,-0.0023599832244664623,0.014709645402303451,-0.16043780525782775,0.8725362110277524
f_dross,LOCKBOX,62,zD_R3,-0.007729131855922863,0.011965121295669382,-0.645971876500769,0.5182975689502529
f_dross,LOCKBOX,62,zD_F6,0.010597353447227084,0.00716266915038909,1.4795257500692203,0.1389998544564095
f_dross,TOTAL,348,xG,0.006259068803837474,0.003381700774411497,1.8508641720161398,0.06418909622067141
f_dross,TOTAL,348,xC,-0.012092769589667377,0.00506642553591128,-2.386844433803031,0.01699368048594633
f_dross,TOTAL,348,zD_R3,-0.0034027347181949516,0.0024877777788849713,-1.367780815101607,0.17138069461074712
f_dross,TOTAL,348,zD_F6,0.000887599466865405,0.0020024027544414706,0.4432672023131444,0.6575724757464145
f_polvo,DEV,286,xG,0.002796346226624347,0.0031765180926852537,0.8803180542442526,0.37868703479455845
f_polvo,DEV,286,xC,-0.0024867026883680057,0.00499727463827006,-0.4976117720896052,0.6187577047566917
f_polvo,DEV,286,zD_R3,-0.0005193326730821841,0.002146423517663382,-0.24195256379203992,0.808816919844431
f_polvo,DEV,286,zD_F6,-0.0015379065195180392,0.0021364475637690337,-0.7198428576477333,0.47162175397418216
f_polvo,LOCKBOX,62,xG,-0.01747852146331728,0.007778179321296886,-2.24712246161008,0.024632201794237293
f_polvo,LOCKBOX,62,xC,-0.006084437750081346,0.011068003531761295,-0.5497321836427989,0.5825030790519323
f_polvo,LOCKBOX,62,zD_R3,0.0066858130762856354,0.006545228914969111,1.0214788761619942,0.30702761215057417
f_polvo,LOCKBOX,62,zD_F6,0.00653839313116259,0.004703981077678449,1.389970117479613,0.1645379517177733
f_polvo,TOTAL,348,xG,-0.0007958190203256098,0.0028704590124207854,-0.27724451625402596,0.7815923597562875
f_polvo,TOTAL,348,xC,-0.0009622863498499334,0.004511033795762127,-0.21331836413062333,0.8310786506831296
f_polvo,TOTAL,348,zD_R3,-0.0005364709578718236,0.002117530824378971,-0.25334741374032166,0.7999997600005336
f_polvo,TOTAL,348,zD_F6,-0.0010775637472799394,0.002038387170721944,-0.5286354637418044,0.5970583540341137
f_metal,DEV,286,xG,-0.012059844305798734,0.004294509241562529,-2.8082008041996525,0.0049819151606651235
f_metal,DEV,286,xC,0.00924353799521038,0.00753124603686301,1.2273583879700989,0.21968791916283448
f_metal,DEV,286,zD_R3,0.003747702641802297,0.00222061074626061,1.68769004118044,0.09147074449550599
f_metal,DEV,286,zD_F6,0.002319177266736084,0.002815032614617992,0.8238544927305587,0.41002224035115975
f_metal,LOCKBOX,62,xG,0.019788094102118545,0.008149901560876643,2.4280163329960565,0.015181659561395182
f_metal,LOCKBOX,62,xC,0.008444420974547881,0.013568110778593729,0.6223726436454631,0.5336968643081618
f_metal,LOCKBOX,62,zD_R3,0.001043318779637422,0.009568979953982018,0.10903134761017627,0.9131776267461185
f_metal,LOCKBOX,62,zD_F6,-0.017135746578389646,0.007385066554479908,-2.3203239201676262,0.020323361070383378
f_metal,TOTAL,348,xG,-0.0054632497835117606,0.004080169246394306,-1.338976266325153,0.18057839942922405
f_metal,TOTAL,348,xC,0.013055055939517477,0.006529194699205786,1.9994894532867125,0.04555542187089398
f_metal,TOTAL,348,zD_R3,0.003939205676066754,0.003115309042368688,1.2644670632970738,0.20606243532435953
f_metal,TOTAL,348,zD_F6,0.00018996428041447022,0.002653304776522278,0.07159534859898717,0.9429239418578046
sn_perdido_escoria_frac,DEV,286,xG,-0.00035021694887948566,0.000778119966543409,-0.4500809180301995,0.652652095374903
sn_perdido_escoria_frac,DEV,286,xC,-0.003176941603463693,0.0015664970835923277,-2.028054591827427,0.04255467660947145
sn_perdido_escoria_frac,DEV,286,zD_R3,-6.470721635346732e-06,0.0009524732253555438,-0.006793599508197524,0.9945795335352896
sn_perdido_escoria_frac,DEV,286,zD_F6,3.432828729738304e-05,0.0006551425896910038,0.052398192145581446,0.9582114145989526
sn_perdido_escoria_frac,LOCKBOX,62,xG,-0.0003209424210981409,0.0019160771496801554,-0.16749973828126638,0.8669768534412265
sn_perdido_escoria_frac,LOCKBOX,62,xC,-0.003066488678273438,0.0037059259110397364,-0.8274554731756908,0.4079789497375176
sn_perdido_escoria_frac,LOCKBOX,62,zD_R3,-0.0036804039506478444,0.004533155474243806,-0.8118856658587884,0.41685724019198656
sn_perdido_escoria_frac,LOCKBOX,62,zD_F6,-0.0010731444969093416,0.0014476451658545636,-0.7413035474586417,0.4585094112633392
sn_perdido_escoria_frac,TOTAL,348,xG,-0.00039850867661186907,0.0006556620479379841,-0.6077958574316659,0.5433228771387191
sn_perdido_escoria_frac,TOTAL,348,xC,-0.0021522396407116415,0.001142651117488419,-1.8835492371830242,0.05962597380357542
sn_perdido_escoria_frac,TOTAL,348,zD_R3,-0.0001769680979011258,0.0005134350551308192,-0.34467474733690656,0.7303389047763468
sn_perdido_escoria_frac,TOTAL,348,zD_F6,-0.0001986873613237317,0.0005957323358391544,-0.33351783908768146,0.7387434258923622
