idx_cronologico,T_media_R,kpi,kalman_continuo_qctrl0,kalman_periodico10_qctrl0,kalman_adaptativo20_qctrl0,W100_duro (referencia v9),exp_semivida60,expansiva
AP0001,1231.134406421505,78.4385053607697,,,,,,
AP0002,1247.441652737465,72.14314023686171,,,,,,
AP0003,1203.6354705983013,78.14326293566891,,,,,,
AP0004,1205.694708808298,71.85093529025706,,,,,,
AP0005,1219.4803675128892,70.15845553393244,,,,,,
AP0006,1198.7012417257256,72.57614671931469,,,,,,
AP0007,1169.5966858347035,71.86118676988926,,,,,,
AP0009,1167.6481847391808,76.67768621035799,,,,,,
AP0010,1175.2480777040623,68.16148386572002,,,,,,
AP0011,1184.4373990361655,64.46025013766302,,,,,,
AP0012,1128.563927380791,73.31810988860353,,,,,,
AP0013,1128.8179065742338,63.40204397910659,,,,,,
AP0014,1186.148226030682,71.39812729827501,,,,,,
AP0015,1158.1840652145215,75.14929565234326,,,,,,
AP0016,1155.385640141974,72.3987505014677,,,,,,
AP0017,1137.5698135052198,69.0339560550024,,,,,,
AP0018,1114.0323474808524,69.61398865040907,,,,,,
AP0019,1106.442277428022,68.38198798518673,,,,,,
AP0020,1112.2075759965326,70.29318056956637,,,,,,
AP0021,1112.98715743827,69.79018382328715,,,,,,
AP0022,1143.750489506592,57.32212322724728,,,,,,
AP0023,1176.1670897374936,73.02108529158157,,,,,,
AP0024,1172.6288711834472,68.24465926788112,,,,,,
AP0025,1155.4242798617352,70.25938653818,,,,,,
AP0026,1163.5188761040529,73.63430377036208,,,,,,
AP0027,1132.14855497594,68.35179128931844,,,,,,
AP0028,1160.3903348770525,65.6207391190057,,,,,,
AP0029,1119.9418174758434,65.88376038277886,,,,,,
AP0030,1124.320205974346,69.92471280949019,,,,,,
AP0031,1089.4180735263633,64.14580284784356,,,,,,
AP0032,1105.9675211152064,71.61495281608187,,,,,,
AP0033,1126.493169787488,68.51324204215862,,,,,,
AP0034,1164.396578446189,72.29393444746285,,,,,,
AP0035,1148.371075239016,71.32074589797088,,,,,,
AP0036,1127.0533718542797,63.69161356988688,,,,,,
AP0037,1142.4590044977972,68.65731407847392,,,,,,
AP0038,1103.6368748472132,69.38813084594135,,,,,,
AP0039,1101.127515017187,66.93700757800468,,,,,,
AP0040,1089.0430228125838,68.44628321164319,,,,,,
AP0041,1074.3510175506626,71.75709033455325,,,,,,
AP0042,1089.9648179898911,73.19159819358674,,,,,,
AP0043,1094.8586258490682,72.39589576208347,,,,,,
AP0044,1075.8580077882166,67.51492679822287,,,,,,
AP0045,1124.8018590195136,68.17813473003088,,,,,,
AP0046,1084.9050820606365,70.73450083007361,,,,,,
AP0047,1063.0025007097631,67.82223857401883,,,,,,
AP0048,1084.6925105143605,64.70774231269817,,,,,,
AP0049,1066.9664845435434,68.07164741269094,,,,,,
AP0050,1093.4432709401478,65.97494431801756,,,,,,
AP0051,1096.8110484399667,64.71543628585202,,,,,,
AP0052,1120.1768819986464,76.28575459062732,,,,,,
AP0053,1107.1976487196105,64.70549611337013,,,,,,
AP0054,1079.3918380306568,69.65793107695757,,,,,,
AP0055,1076.8224634783085,64.68115613791976,,,,,,
AP0056,1081.2574235769737,64.37798291679474,,,,,,
AP0057,1150.482678853631,68.02036704137622,,,,,,
AP0058,1078.3873910504196,68.7934018512708,,,,,,
AP0059,1089.9562437634884,70.75881842336166,,,,,,
AP0060,1088.0263932046964,72.7689305612895,,,,,,
AP0061,1029.4245336606218,73.02430015068636,,,,,,
AP0062,1088.122881116619,60.0024742015578,,,,,,
AP0063,1138.588564839612,70.78033703805492,,,,,,
AP0064,1116.0943954539289,67.70432849591536,,,,,,
AP0065,1208.374953354844,61.97328559546493,,,,,,
AP0066,1211.381084949816,73.2697746662867,,,,,,
AP0067,1200.4664991215127,66.36748236091319,,,,,,
AP0068,1168.6787357022752,63.990883052261786,,,,,,
AP0069,1158.1490867165362,60.28684839936101,,,,,,
AP0070,1114.8175235866452,67.40859081593221,,,,,,
AP0071,1096.4080929746156,56.07833320146904,,,,,,
AP0072,1160.912169725291,67.68196281350318,,,,,,
AP0073,1116.9504930509138,66.31578096407327,,,,,,
AP0074,1094.9182854075375,61.49165379932269,,,,,,
AP0075,1152.4458800855878,66.45102232304394,,,,,,
AP0076,1166.9129405548092,71.62262648540546,,,,,,
AP0077,1143.9134981241018,57.40152233921551,,,,,,
AP0078,1142.9685580053736,68.55464212762764,,,,,,
AP0079,1140.0448774594795,68.38656988346229,,,,,,
AP0080,1111.833057788484,65.40929594366527,,,,,,
AP0081,1154.28047478464,68.3821075429745,,,,,,
AP0082,1136.9226163777214,66.59204997348402,,,,,,
AP0083,1113.6935740680424,66.40535933623725,,,,,,
AP0084,1166.7772754183234,63.07716960270198,,,,,,
AP0085,1112.467178243567,67.05066332556247,,,,,,
AP0086,1048.176235982636,68.30270535545422,,,,,,
AP0087,1110.6624891388162,62.566958876857086,,,,,,
AP0088,1118.4465122815452,67.49483932967502,,,,,,
AP0089,1085.401011263053,70.05299225191753,,,,,,
AP0090,1092.3531160906366,69.9548462049045,,,,,,
AP0091,1051.882327809246,68.58277332677757,,,,,,
AP0092,1093.0654247476996,63.85368031148112,,,,,,
AP0093,1119.5776203509663,71.14027124610894,,,,,,
AP0094,1058.9754174130885,69.36246750256105,,,,,,
AP0095,1062.766152713803,61.74139192309872,,,,,,
AP0096,1116.937676935181,67.17186007645331,,,,,,
AP0097,1076.920472794277,57.27013630574783,,,,,,
AP0098,1128.6160141351934,62.19428718295218,,,,,,
AP0099,1060.1999341237904,67.741977420962,,,,,,
AP0100,1092.3263163483975,68.00737328574324,,,,,,
AP0101,1101.3533958052426,65.65090617396629,,,,,,
AP0102,1087.1423850590872,68.34069887713703,0.15123353816668683,0.15123353816668683,0.15123353816668683,0.09978810255236992,0.11307277490192952,0.09978810255236992
AP0103,1086.305752672054,69.24932266662927,0.04848099656512689,0.0446780303398254,0.04848099656512689,0.07248875536603287,0.056349099920465856,0.07248875536603287
AP0104,1087.609227837759,62.10984481094542,0.16193210418560733,0.15480816154454932,0.16193210418560733,0.12612408146446424,0.12853699448159764,0.12612408146446424
AP0105,1075.7561978529866,68.07043434810971,0.44460971941631416,0.4561448641069349,0.44460971941631416,0.20347668994602047,0.2890306998415829,0.20347668994602047
AP0106,1118.718467616362,67.17760387452252,-0.11522272413738166,-0.09884084439032997,-0.11522272413738166,0.10437165325517807,0.01657337496303496,0.10437165325517807
AP0107,1073.800594320502,67.5915418532535,-0.11868997760676155,-0.11136828564725723,-0.11868997760676155,-0.06576374299496791,-0.07914812669425719,-0.06576374299496791
AP0108,1031.7773236223438,71.2406149621665,0.34025337584384824,0.34749854400281177,0.34025337584384824,0.10432874350499677,0.19314953736364948,0.10432874350499677
AP0109,1111.475887327809,73.70356116512347,0.01789317299802945,0.1543968337040868,0.01789317299802945,0.16344248449712467,0.14828310042058676,0.16344248449712467
AP0110,1075.0880895047749,66.69683017951613,-0.045501840369704005,-0.044928125670337,-0.045501840369704005,-0.015513383023010197,-0.026052479102609813,-0.015513383023010197
AP0111,1124.2452583430545,59.00811082640783,-0.7117934674569375,-0.7194348019540637,-0.7117934674569375,-0.2528999716431607,-0.419570877309403,-0.2528999716431607
AP0112,1122.8944220675153,69.61273870075898,0.529495158781202,0.529495158781202,0.529495158781202,0.4583521089242292,0.3756182434069828,0.24553206747494413
AP0113,1140.4741118075744,74.27826584080685,-0.4396523502818964,-0.40213765076341856,-0.4396523502818964,-0.3637015145369026,-0.2817294922287156,-0.17633726040416117
AP0114,1094.5376607293738,63.9268449257049,0.6175049973851419,0.6203950958686041,0.6175049973851419,0.6662175957931322,0.4107566292800199,0.20370830036484178
