escalon,muestra,n,media,sd,min,p25,mediana,p75,p95,max
R3,DEV,299,14.070234113712374,8.638435471465378,5.0,10.0,12.0,15.0,24.099999999999966,125.0
F6,DEV,299,73.6923076923077,15.848876519758894,34.0,64.0,70.0,79.5,103.09999999999997,188.0
