Batch,orden_escalon_fase,T_prev,hist__gn,hab__gn,rec__gn,delta__gn,z_hist__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,hist__carbon,hab__carbon,rec__carbon,delta__carbon,z_hist__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon,efecto_ln_sn_dep,efecto_ln_feo_ret,inicio_bloque
AP0101,0,1066.7800829681821,28.369608504683878,26.983389530244477,26.983389530244477,0.0,0.3882358350083273,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,-0.18750463091877828,-0.0,65.07613335065943,58.998551926089654,58.998551926089654,0.0,0.6167528856819476,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,-0.11006554788815519,-0.0,0.0,0.0,100
AP0101,1,1093.1201740483552,25.05501230197483,25.011002406837672,25.011002406837672,0.0,0.017653985842110434,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,-0.008526271407942683,-0.0,29.245845481676934,39.15233327617083,39.15233327617083,0.0,-1.442213102365158,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,0.25737694783183634,-0.0,0.0,0.0,100
AP0101,2,1102.391639074316,18.502281765407986,19.16821651885236,19.16821651885236,0.0,-0.21318341428825982,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,0.10296029837963767,-0.0,5.0050017341734865,9.334640924218958,9.334640924218958,0.0,-0.5720555868110081,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,0.10208888040339602,-0.0,0.0,0.0,100
AP0101,3,1104.22409088649,16.783672417534724,17.8288864519723,17.8288864519723,0.0,-0.6185457003977802,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,0.2987364194678096,-0.0,4.90337388009736,7.53162735798684,7.53162735798684,0.0,-0.5342117319469274,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,0.09533527662380564,-0.0,0.0,0.0,100
AP0102,0,1111.5749710243092,28.375203540943282,28.38733135235285,28.38733135235285,0.0,-0.003396614154210927,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,0.001640448474688478,-0.0,56.215215593528725,60.492603993830286,60.492603993830286,0.0,-0.4340693204707205,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,0.07746388981418831,-0.0,0.0,0.0,100
AP0102,1,1084.1451333558998,24.256729939778648,21.435173136509796,21.435173136509796,0.0,1.1318300964448784,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,-0.5466352287962036,-0.0,18.41134170277077,33.215421718937925,33.215421718937925,0.0,-2.1552177331349793,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,0.3846195552915475,-0.0,0.0,0.0,100
AP0102,2,1097.0008908698062,18.742656055026583,17.84297049762179,17.84297049762179,0.0,0.28801325943925354,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,-0.1391005544599283,-0.0,15.293655443948413,13.825530436459589,13.825530436459589,0.0,0.19397669778162616,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,-0.03461702736139253,-0.0,0.0,0.0,100
AP0102,3,1081.7095365417713,15.04294263109749,17.62589556903382,17.62589556903382,0.0,-1.5285619800828958,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,0.738243160644284,-0.0,7.0936333773428935,8.109896064916807,8.109896064916807,0.0,-0.2065628201423915,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,0.03686314324602802,-0.0,0.0,0.0,100
AP0103,0,1120.985332163721,28.74289814136646,27.704982022199907,27.704982022199907,0.0,0.2906872857920504,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,-0.14039201773852417,-0.0,65.48532334194388,60.93035498517687,60.93035498517687,0.0,0.4622381309230882,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,-0.08249088786766201,-0.0,0.0,0.0,100
AP0103,1,1125.8032060694861,22.507472504077317,23.818420828997255,23.818420828997255,0.0,-0.5258695367427639,-0.4829658007091398,-0.7381433536307909,mantener: beta no distinguible de 0,0.2539770018815134,-0.0,26.273926563752003,31.410524911440834,31.410524911440834,0.0,-0.7477997845756716,-0.17845972097310092,-0.14859208559962167,mantener: beta no distinguible de 0,0.13345214089911933,-0.0,0.0,0.0,100
