grupo,candidata,muestra,n,spearman_vs_idx,p
F,lanza,DEV,299,0.012,0.8297
F,lanza,TOTAL,362,-0.186,0.0004
F,o2,DEV,299,0.06,0.3018
F,o2,TOTAL,362,0.286,0.0
F,enriq,DEV,299,0.091,0.1147
F,enriq,TOTAL,362,0.177,0.0007
F,aire,DEV,299,-0.191,0.0009
F,aire,TOTAL,362,-0.062,0.2364
F,esteq,DEV,299,0.011,0.8454
F,esteq,TOTAL,362,-0.068,0.1943
F,caudal,DEV,299,0.027,0.6391
F,caudal,TOTAL,362,0.238,0.0
F,ppunta,DEV,258,0.06,0.3377
F,ppunta,TOTAL,321,-0.055,0.3291
F,gn,DEV,299,0.017,0.7659
F,gn,TOTAL,362,0.245,0.0
F,carbon,DEV,299,-0.008,0.8905
F,carbon,TOTAL,362,0.281,0.0
R,lanza,DEV,299,-0.002,0.969
R,lanza,TOTAL,362,-0.128,0.0146
R,o2,DEV,299,0.042,0.4685
R,o2,TOTAL,362,0.144,0.0061
R,enriq,DEV,299,0.006,0.9133
R,enriq,TOTAL,362,-0.022,0.6796
R,aire,DEV,299,-0.003,0.9537
R,aire,TOTAL,362,0.218,0.0
R,esteq,DEV,299,-0.064,0.2688
R,esteq,TOTAL,362,-0.126,0.0165
R,caudal,DEV,299,0.025,0.6642
R,caudal,TOTAL,362,0.192,0.0002
R,ppunta,DEV,255,0.061,0.3338
R,ppunta,TOTAL,318,-0.105,0.0612
R,gn,DEV,299,0.027,0.6426
R,gn,TOTAL,362,0.071,0.1751
R,carbon,DEV,299,-0.047,0.4205
R,carbon,TOTAL,362,0.222,0.0
