xG,xC,zD_R3,zD_F6
-1.114502220404706,0.49299269256931666,0.16868895985638677,0.08483986001548338
-0.29936869444365555,1.398814885834746,0.35530333930364444,-0.34477922393582117
-0.5090708915462518,0.7829605061416599,0.07971152700171724,0.011443955466689193
-0.5003097034739805,1.827215037551694,0.232524337240402,0.28530321066095166
-0.27266471222314026,2.2223113519066207,0.7092199417430374,-0.2922998141285973
-0.8936137093575018,1.6860753816733607,0.21173459568115316,-0.08740247955321234
-0.30734222234251773,2.676847975507877,0.7093047173395113,-0.31186360740205377
-0.5024041885773283,1.5233345845318533,0.5874762152584385,0.16030924478112096
-0.6948663256688832,0.7622943123349586,-0.13580874906545193,0.21645404578692906
-0.4432714981528092,1.5312857143843326,0.6149959326750016,0.0514114023518486
-0.3966558153624522,1.5999951728371116,0.1988229679511857,0.4702911116530555
-0.8632956916309986,1.8457050575750236,0.4268515384844478,-0.14146594217611752
-0.4621070574185082,1.10796765890358,1.1463750453964505,0.08600375244068692
-0.21020033599294052,1.0244720239478813,0.2954957263381779,0.36328194541834335
-0.07685470326948884,0.7563641866203339,0.4161398462658725,0.07675174432749099
-0.08465280855293678,0.873927453683268,0.6557240302836639,-0.20348779414195017
-0.456452212508498,0.8654521827220414,0.20456154184306152,-0.05371894807606048
-0.6690940759773324,1.6016190918380149,0.6449981191649328,-0.19128339202532807
-1.2545780671218019,0.5801544400109391,0.1834160811664889,0.044889406935963994
-0.8539899730315859,1.114735943004053,0.29771897318867846,-0.20633625652016252
-0.05050049775856724,1.602325441663441,0.7099186753031277,0.10581582004017231
-0.35949984753567554,1.4009631212535387,0.38120809876307027,-0.17438231541105417
-0.756635632912677,1.7352421270774,0.435384954914948,-0.16187478665778054
-1.6002643868434254,0.8041808977350136,-0.09893947314572848,0.2751968850258488
-0.37940395738365806,1.6876139702911201,0.6035555979378784,-0.054745528110474395
-0.7643522799895006,1.0050128612546134,0.3242603756918916,0.07733529516190618
-0.5567212161725252,1.0138759795470058,0.001956472163830325,-0.12444038362073073
-1.3191345270360992,0.7428005813740628,0.1303937104330255,-0.07817272083897597
-1.4564649180683553,0.7959213578525697,0.13079289738981092,-0.1830012362782656
0.1980071967232635,0.9787786545250632,0.5987243791499861,-0.3581575854439968
-0.6111634727406603,1.7142119207823496,0.4368471918501241,0.1736410546588829
-1.2502881703055464,1.3796262842525253,0.3944333185875095,-0.3699024860967137
-0.478593357527495,1.2698909923112307,0.3586330464764149,0.2906799173496937
0.11940042662466233,1.497868607165707,0.7862482036154014,-0.11335299888171146
-0.12164743559370539,1.9263440503256035,0.562064714025551,0.6671168136246259
-0.6486393036735039,1.737229576471698,-0.08774743208628877,0.37477491304274685
-0.9880457233442527,2.738706738818445,-0.3164804197263522,0.12680019894921424
-0.26346611367710526,1.5231547773769134,0.5718518583945726,0.35263743859142505
-0.7699897282951821,1.6786573472634332,-0.34430844801459415,-0.17717039246015287
-1.4286780567190593,2.2982700040674624,0.20218806506684217,0.03995859692931303
0.0027423340036656363,1.360632282182865,0.40360592613515167,0.20516866850620818
-0.9061793184193672,1.370094873384529,0.5654631154595187,0.4246482989390934
-0.2747017349797455,1.2422509556748302,0.34191761141746935,0.1276904583252927
-0.8451011807732425,1.7196776069602508,0.41789864544242894,0.031331250267293664
-0.2749903669228282,2.898116190113228,0.5812012999629639,0.05062805021678507
-0.23853980006325815,1.7292902667833792,0.6652744672238817,-0.5765251434433489
-0.20640519429642978,1.6210387220201188,0.5589623496944303,0.6253509966969228
-0.6730670156566552,2.1255361157812374,0.45962307451580564,0.10367228447022842
-0.5139826990372284,0.8049256258503377,0.46880257586955465,-0.19551348228090637
-1.0476406544150336,1.486544060941768,0.023480853096673027,-0.025202315757693494
-0.3257518753500417,2.090127280236194,0.494978151516573,-0.004467020702179081
-0.5935961199442743,0.8261944030903896,-0.004082636919237714,0.400335715090514
-0.37731840454565635,2.5899473598694422,0.6990453123691927,0.09030440204832613
-0.6922681588804951,0.9677711342849851,0.23147249855073804,0.5269894369011983
-1.172483661883518,1.7454813956305806,0.36579395663500525,-0.2036331431682994
-0.782069900260151,1.5482509247373812,0.3189295005067846,0.16461970458321806
-0.44275213492622223,1.1746126030590487,0.5338649549037129,-0.1694745681747385
-0.3531489960190304,2.2755360753209115,-0.41656095031753804,-0.0386400396095663
-1.173213551880722,1.212324531381097,0.34457368035000757,-0.09540980355904738
-0.33450212980474703,1.2994705191985414,0.1377213869727516,0.012820361149613713
-0.6322187321584054,1.5100671267228085,0.5375631863002386,-0.010821677155748333
-0.8304139502260934,2.831941731238278,0.63360857230359,0.16700409826040463
-1.205999785585988,0.9214607617044015,0.21803697093081986,-0.24537353729011846
-1.074760007004718,1.6275617476764666,0.5864652196586673,0.5583444410074407
-0.8257952236680953,1.3020028842157743,-0.6134059326129229,0.16415710110367354
-0.30678922833083533,0.668016042882388,0.5373748956914595,-0.48649595330516693
-0.21996304083067653,1.3916766255686035,0.500471733194741,0.06571049812935104
-0.5845685073308928,2.0704059520017815,0.09516167462285896,-0.011945236998931241
-0.5322797228389922,1.5829302630096063,-0.3916010999573305,0.38349417312371537
-0.6056820948744877,0.83571029675368,-0.20968912918951066,0.00882588658957495
-0.7276043448101683,0.7783244533324329,0.25823573528459876,-0.23955867207646708
-0.15544108259822664,0.664644348891542,0.30898596049232796,0.10982637413069352
-0.9922351752870664,1.9856648938774581,0.5778227919766779,0.20502294626273354
-0.6206337617054212,0.7833722691253506,0.33998151105767116,0.14779130832829612
-0.5249166131940048,1.411263383027455,0.22524702461398727,0.63413653023883
-0.19858348248629376,0.9340028975823058,0.6065555396646234,-0.010812580958441953
-0.8408460193026359,1.5095476508300685,-0.3321820444269039,-0.05438680735105228
-0.43384026318368796,2.3981276095241486,0.5425595710245832,-0.5662991918525666
-0.14709927680253276,0.9891132371035907,0.4669491962463863,-0.2822547205891306
-0.8621104544839322,1.5034646634393534,0.1592494679002292,-0.07338152925789809
-0.3402137849017839,1.747320513297734,0.48678011385421316,0.2325755943591249
-0.2720867654244845,2.1291114162591755,0.3426082416858083,-0.684911488535958
0.05505031543861527,1.8719767769991078,0.9605685741199794,0.3316508491431689
-0.7940577222287628,1.8929080724576477,-0.26026048555775705,0.1553796489122392
-0.7858011607620177,2.4067232815557493,0.4690054518560447,-0.23769470090931222
-0.3200519477718976,2.3945208013599695,0.39332176022221366,0.24364293461464737
-0.5758389346492647,1.0506544261650514,0.36472843670390587,-0.014768463797764753
-0.26290668069819834,0.5128803228124781,0.31061404146061533,-0.016182622813787573
0.221209870538003,1.6575502750988536,0.562770353958566,-0.11183065886135024
-0.8871854726870776,2.852163771490697,0.21250454337240088,0.3988402292374169
-0.43505459415433023,1.5502673613818458,0.3777683612542464,0.1394903687974357
-0.07716258658355457,1.3861481139103535,0.3774357348627271,0.11511337701113522
-0.8455316004632145,1.5341474643220447,0.016620165757032623,-0.3412620205201562
-0.7434018473840229,1.1770777732631659,0.04904056976395177,0.21405887833048398
-0.46739245276546937,1.471098111701484,0.017648586261167942,0.14426846710215385
-0.30789730545066174,1.5494264923368428,0.5545122534210702,-0.25591510564352404
-0.6164174197390277,0.8769199855545845,0.4042270261034688,-0.2859282456949508
-0.04960791669803921,1.532598213428332,0.027848435488257772,-0.18569279605853617
-0.8161483631291477,1.8670699823212056,0.25074185916964353,-0.13555490513784596
-0.7479050878476139,2.121377780008303,-0.03283075338857966,0.09925451157475718
-0.32533430698509624,1.6777212442755531,0.5298814544189288,0.39332716686586044
-0.679594651716096,1.624001495570771,-0.18377911810900915,0.34166802051346234
-0.44869772265101826,2.132625343064735,0.18538752632724553,0.0670904222557197
-0.24380255012244145,2.878659707205498,0.1479855333286415,0.16374688671434967
-0.8868547520426209,1.1549305150544247,0.43701921801454946,-0.20062894799560027
-0.6230921397530083,0.9593180641041033,0.38199535802632156,0.08613110066788132
-1.1141355111156863,2.4902872486206307,0.4806900517446213,0.1223935458025836
-0.8587854771380805,0.987453633552482,-0.028709546427816868,0.5973435696067418
-0.44436168004329657,0.7929790490887134,0.26362501233191094,-0.003549256220244157
-0.09148644130130701,0.9238773103596234,0.26799644542349566,0.26677374577642654
-0.7861382682882385,2.181804300821745,0.3316413314327862,0.04274433948833378
-0.24965841517320575,1.1622611487560217,0.46561912337814304,0.20272521193525428
0.12262134081153775,1.1708817949295618,0.2111282138268571,-0.3184206715957618
-0.35273265027907064,0.908190432421982,0.4058744602426456,0.1425990180867499
-1.2465223350943995,1.1582644021930926,0.3990494623889034,0.20070874832661745
0.0353068610402989,1.6864449247914215,0.6443814844901792,0.09623434699449218
0.07259615850263224,1.082952084870608,0.2931533700598772,-0.22589764489181574
0.04301476018177697,0.1209908376237343,0.5169727033783476,0.3020332889373867
-0.5543969094246988,1.079951007034957,0.03639231319308234,0.03564416220515021
-0.34927969977864626,1.5998077787561993,0.35054858389701904,-0.5544211283805156
-0.4310094845351875,1.1393968312060174,0.36178747979719517,-0.22052965542146596
-0.39913367124551424,1.38169667982666,0.3637522056480633,0.024403303189143966
-0.8145424064905544,2.040475667096242,0.5151690157123465,-0.2446902122737422
-0.0650085365572669,1.4726885768608762,0.5544369486140006,0.04695241010613427
-1.0978942055524024,0.5211734057386495,0.35456920579316953,0.22743102957445993
-0.2427791597815141,0.9795441684200862,0.25130238094144364,0.41205962849045985
-1.0934673198943687,2.425458718291628,0.5981555242207652,-0.26349913380040446
-0.8986944272504889,1.2699020475587006,0.43262580404461315,-0.29808006789373875
-0.45818422701324657,2.1062947380959924,-0.0037644273139978424,-0.13007964701612784
-0.41133918349245224,1.2345255161731483,0.26224607045200243,0.20559166073876933
-0.4750675901789272,2.1459466953917263,0.732268986437068,-0.0002060250049193968
-1.0051224876524012,0.11178852567226905,0.1179327656633451,-0.017447073160955284
