tau,batch_idx,sup_f_local
60,AP0062,0.1185915423504239
65,AP0067,0.36859200751677007
70,AP0072,1.051748484713399
75,AP0077,1.2269567305705122
80,AP0082,1.366230177672369
85,AP0087,1.339827359261437
90,AP0092,1.1104768307193082
95,AP0097,1.3149232677489335
100,AP0102,0.26521884886016955
105,AP0107,0.20706825065966344
110,AP0112,0.820892125447386
115,AP0117,0.7809153633870504
120,AP0122,0.9993418831341675
125,AP0127,0.8744409350200737
130,AP0132,1.0732388389895797
135,AP0137,0.9972844423766454
140,AP0142,1.3281756589231524
145,AP0147,1.0900804353137878
150,AP0152,0.8761348563835524
155,AP0157,0.6048648172846905
160,AP0162,1.1539077537507458
165,AP0167,1.4018492974619832
170,AP0172,1.6294425986817862
175,AP0177,1.4178300598072915
180,AP0182,2.1906890044912526
185,AP0187,2.3767481237267396
190,AP0192,3.0204581579597805
195,AP0197,3.1321947768483005
200,AP0202,2.923136636744362
205,AP0207,3.7970539462487016
210,AP0212,3.220253730983836
215,AP0217,2.3935693864699616
220,AP0222,2.5952875159166133
225,AP0227,2.702463755590104
230,AP0232,3.161741939069463
235,AP0237,2.906055315129321
240,AP0242,2.9986280109058603
245,AP0247,3.480478618478176
250,AP0252,3.1393164253932118
255,AP0257,3.3752300159597572
260,AP0262,3.9836879697189427
265,AP0267,4.862540275817664
270,AP0272,5.088429661220204
275,AP0277,4.3727089156479435
280,AP0282,4.7456058751151655
285,AP0287,5.462570798293089
290,AP0292,5.180338083300381
295,AP0297,5.691421056087005
300,AP0302,4.418916695653992
