fase,target,parametrizacion,periodo,palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,n,n_batches,mismo_signo_en_todos,significativo_en_k_periodos,ratio_lockbox_dev
Reducción,v5_ln_sn_dep,P2,dev_tercio1,Cx_sn_v4,0.028413578985318495,-0.19329244003398596,0.20130314496424395,False,314,87,True,2,1.1605961450870206
Reducción,v5_ln_sn_dep,P2,dev_tercio1,tasa_gn_nm3_min,0.03955673348719067,-0.04642728278490361,0.12868107262398562,False,314,87,True,0,2.1696906137690344
Reducción,v5_ln_sn_dep,P2,dev_tercio1,exceso_o2_combustion_pct,0.027911018327159216,-0.0064760777646399575,0.08540692885850498,False,314,87,False,0,-1.7358017238571921
Reducción,v5_ln_sn_dep,P2,dev_tercio1,tasa_aire_nm3_min,0.02253605028295867,-0.029680776421520567,0.08001424361636307,False,314,87,True,1,-0.49334862218058934
Reducción,v5_ln_sn_dep,P2,dev_tercio2,Cx_sn_v4,0.27336700815423237,0.025102685851843047,0.42716356697354313,True,359,100,True,2,1.1605961450870206
Reducción,v5_ln_sn_dep,P2,dev_tercio2,tasa_gn_nm3_min,0.0021147294140371337,-0.09427923672073805,0.08128615735640893,False,359,100,True,0,2.1696906137690344
Reducción,v5_ln_sn_dep,P2,dev_tercio2,exceso_o2_combustion_pct,-0.03557406278282028,-0.07146715478388496,0.006490951281078212,False,359,100,False,0,-1.7358017238571921
Reducción,v5_ln_sn_dep,P2,dev_tercio2,tasa_aire_nm3_min,0.058231747402415934,0.03478289591426258,0.08432206550422057,True,359,100,True,1,-0.49334862218058934
Reducción,v5_ln_sn_dep,P2,dev_tercio3,Cx_sn_v4,0.22374184909185238,-0.03342224460864258,0.4672193419059558,False,366,99,True,2,1.1605961450870206
Reducción,v5_ln_sn_dep,P2,dev_tercio3,tasa_gn_nm3_min,0.06565688870657928,-0.0185506252542261,0.15246728741635657,False,366,99,True,0,2.1696906137690344
Reducción,v5_ln_sn_dep,P2,dev_tercio3,exceso_o2_combustion_pct,0.006874787147996818,-0.03572147936578145,0.03794548051006549,False,366,99,False,0,-1.7358017238571921
Reducción,v5_ln_sn_dep,P2,dev_tercio3,tasa_aire_nm3_min,0.004514758335729516,-0.057396177021573284,0.03437903537899078,False,366,99,True,1,-0.49334862218058934
Reducción,v5_ln_sn_dep,P2,dev_completo,Cx_sn_v4,0.20588662622558834,0.02900070849859502,0.37861120904256107,True,1039,286,True,2,1.1605961450870206
Reducción,v5_ln_sn_dep,P2,dev_completo,tasa_gn_nm3_min,0.029367209764956288,-0.019678608015025776,0.07545157792919627,False,1039,286,True,0,2.1696906137690344
Reducción,v5_ln_sn_dep,P2,dev_completo,exceso_o2_combustion_pct,-0.007337138930471009,-0.023544881118693236,0.010061816369024078,False,1039,286,False,0,-1.7358017238571921
Reducción,v5_ln_sn_dep,P2,dev_completo,tasa_aire_nm3_min,0.008854112379189595,-0.011219398352949115,0.025774891539536486,False,1039,286,True,1,-0.49334862218058934
Reducción,v5_ln_sn_dep,P2,lockbox,Cx_sn_v4,0.2389512247223901,-0.30536872040518726,0.6772442506891199,False,242,63,True,2,1.1605961450870206
Reducción,v5_ln_sn_dep,P2,lockbox,tasa_gn_nm3_min,0.063717759379612,-0.022900458088990067,0.18845404648141909,False,242,63,True,0,2.1696906137690344
Reducción,v5_ln_sn_dep,P2,lockbox,exceso_o2_combustion_pct,0.012735818403691293,-0.04953709520485802,0.09297450911636208,False,242,63,False,0,-1.7358017238571921
Reducción,v5_ln_sn_dep,P2,lockbox,tasa_aire_nm3_min,-0.0043681641429052865,-0.03843871581244156,0.04238781251081727,False,242,63,True,1,-0.49334862218058934
Reducción,v5_ln_sn_dep,P3,dev_tercio1,v5_dosis_C_sn,-0.027160276096570873,-0.1223255572841948,0.034613724307168255,False,314,87,False,2,-7.209593385315054
Reducción,v5_ln_sn_dep,P3,dev_tercio1,tasa_gn_nm3_min,0.052405873493580585,-0.03288242068753565,0.1312776694062328,False,314,87,True,0,3.003925526846197
Reducción,v5_ln_sn_dep,P3,dev_tercio1,exceso_o2_combustion_pct,0.029432052457093263,-0.0038007118246140047,0.08822735800844289,False,314,87,False,0,-1.7088935650617945
Reducción,v5_ln_sn_dep,P3,dev_tercio1,tasa_aire_nm3_min,0.02241287078780468,-0.025710688530589883,0.08075737213810655,False,314,87,True,1,0.21020792916441686
Reducción,v5_ln_sn_dep,P3,dev_tercio2,v5_dosis_C_sn,0.060093610709440894,0.0022449992255656245,0.11268096854021878,True,359,100,False,2,-7.209593385315054
Reducción,v5_ln_sn_dep,P3,dev_tercio2,tasa_gn_nm3_min,0.001144749354499715,-0.09450972945047652,0.08763442073401119,False,359,100,True,0,3.003925526846197
Reducción,v5_ln_sn_dep,P3,dev_tercio2,exceso_o2_combustion_pct,-0.03556015646047332,-0.07098456269171378,0.007719794353213867,False,359,100,False,0,-1.7088935650617945
Reducción,v5_ln_sn_dep,P3,dev_tercio2,tasa_aire_nm3_min,0.05602724949961521,0.03221957828005732,0.0834791676741398,True,359,100,True,1,0.21020792916441686
Reducción,v5_ln_sn_dep,P3,dev_tercio3,v5_dosis_C_sn,-0.0033644018627219806,-0.07610132482207362,0.07779819700374031,False,366,99,False,2,-7.209593385315054
Reducción,v5_ln_sn_dep,P3,dev_tercio3,tasa_gn_nm3_min,0.06720522287884054,-0.022379488796413983,0.1517134899015687,False,366,99,True,0,3.003925526846197
Reducción,v5_ln_sn_dep,P3,dev_tercio3,exceso_o2_combustion_pct,0.00811694294096576,-0.034833043342476874,0.04098496469301237,False,366,99,False,0,-1.7088935650617945
Reducción,v5_ln_sn_dep,P3,dev_tercio3,tasa_aire_nm3_min,0.006396462768209339,-0.06158584588592594,0.04193060291452577,False,366,99,True,1,0.21020792916441686
Reducción,v5_ln_sn_dep,P3,dev_completo,v5_dosis_C_sn,0.01646893878808427,-0.016956714001289827,0.04113503532958461,False,1039,286,False,2,-7.209593385315054
Reducción,v5_ln_sn_dep,P3,dev_completo,tasa_gn_nm3_min,0.032968213634011916,-0.012129587100202895,0.08104363876498878,False,1039,286,True,0,3.003925526846197
Reducción,v5_ln_sn_dep,P3,dev_completo,exceso_o2_combustion_pct,-0.010215295583759552,-0.027907683878390266,0.007985002496787503,False,1039,286,False,0,-1.7088935650617945
Reducción,v5_ln_sn_dep,P3,dev_completo,tasa_aire_nm3_min,0.017511896843175744,-0.001831501432180716,0.033243423952497096,False,1039,286,True,1,0.21020792916441686
Reducción,v5_ln_sn_dep,P3,lockbox,v5_dosis_C_sn,-0.11873435214973087,-0.1768865303752284,-0.04386057088357308,True,242,63,False,2,-7.209593385315054
Reducción,v5_ln_sn_dep,P3,lockbox,tasa_gn_nm3_min,0.09903405850972723,-0.00030424263174438226,0.21234586537867065,False,242,63,True,0,3.003925526846197
Reducción,v5_ln_sn_dep,P3,lockbox,exceso_o2_combustion_pct,0.017456852888290866,-0.03594731171587274,0.09614663756605642,False,242,63,False,0,-1.7088935650617945
Reducción,v5_ln_sn_dep,P3,lockbox,tasa_aire_nm3_min,0.003681139571144862,-0.02787967751345176,0.038477010054058465,False,242,63,True,1,0.21020792916441686
Reducción,v5_ln_feo_ret,P2,dev_tercio1,tasa_feed_Carbon_kg_min,0.0647126404267575,-0.05909258166397761,0.17748373064095072,False,314,87,False,0,-6.758464078221076
Reducción,v5_ln_feo_ret,P2,dev_tercio1,Cx_av_v4,-0.045594591621647244,-0.13804991425329163,0.06115859651300904,False,314,87,False,0,-228.84541991695946
Reducción,v5_ln_feo_ret,P2,dev_tercio1,tasa_gn_nm3_min,0.007071074670829096,-0.01666347931528459,0.026524212980729187,False,314,87,False,1,-0.5371472318541742
