target,fase,feature,rol,ks_stat,ks_p,frac_fuera_p1p99_lockbox,p1_dev,p99_dev,media_dev,media_lockbox,n_dev,n_lockbox,features_100pct_fuera,r2_oof_con,r2_lockbox_con,r2_oof_sin,r2_lockbox_sin
v5_ln_sn_dep,Reducción,ley_sn_escoria_pct_prev,estado,0.10704948646125116,0.015624113008575297,0.03571428571428571,0.706001,21.818936999999966,5.819674033613445,6.64269880952381,1190,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,interaccion_Sn_x_FeO_prev,estado,0.10275900900900901,0.022875291151157003,0.06349206349206349,12.648549423093783,371.2268894357496,106.4528468398345,120.77435560892549,1184,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,posicion_vertical_lanza_mm_prev,estado,0.11007836886497975,0.011772810086939367,0.023809523809523808,2083.3985426025392,5230.853620391032,3386.069593115281,3221.209811993943,1195,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,cum_aire_nm3_prev,estado,0.03632478632478633,0.9354005504089888,0.01984126984126984,34958.662272813584,49758.49691473958,41901.281610977516,42198.119494373444,1196,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,sn_inventario_escoria_est_kg_prev,estado,0.10376447876447877,0.020962535535132897,0.023809523809523808,1.3532265256291726e-21,15637.985943441656,3511.7220989467532,4101.234894669954,1184,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,v5_dosis_C_sn,palanca,0.07596173840715326,0.17380721215535877,0.015873015873015872,0.03807940904945013,0.9988725538491474,0.2653373219202207,0.23108514826346188,1145,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,tasa_gn_nm3_min,palanca,0.18788386376326074,6.63590411301181e-07,0.19444444444444445,10.380907532254955,29.60074318613833,21.822467653630564,22.596436311715834,1194,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,exceso_o2_combustion_pct,palanca,0.6323494192312298,1.1624348093855014e-79,0.027777777777777776,-14.189854185897381,49.17302141431203,-1.8387157097545719,1.8337635275996123,1193,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_sn_dep,Reducción,tasa_aire_nm3_min,palanca,0.3839385252428731,5.6507678084841e-28,0.06349206349206349,73.07891608454784,129.6805833870875,118.5445940657873,121.63559935118695,1196,252,(ninguna),0.764355000699593,0.8031587307086563,,
v5_ln_feo_ret,Reducción,ley_cao_escoria_pct_prev,estado,0.2909985935302391,4.780092958171654e-16,0.011904761904761904,15.435648,27.155928,21.76835029535865,20.474467063492064,1185,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,basicidad_B2_prev,estado,0.06872614024512759,0.2658803503719145,0.003968253968253968,0.4364568028854169,0.6856273599290753,0.5533497231038172,0.5450048546748248,1185,252,(ninguna),0.2194731974728953,0.2659970185372792,,
