kpi,modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n,significativo,kg_sn_por_escalon,kg_sn_ci_lo,kg_sn_ci_hi
recuperacion_refinada_pct,M0,dev,C_por_Sn_F,0.17177753867303594,-0.5774464606287516,0.9210015379748234,0.6531657310264891,0.0002978277233570692,298,False,12.576569795704417,-42.27733015317646,67.4304697445853
recuperacion_refinada_pct,M0,total,C_por_Sn_F,0.39756959016345106,-0.21098952777609525,1.0061287081029975,0.2003912186330511,0.013022678430598122,361,False,29.107773565538384,-15.44744756932126,73.66299470039803
recuperacion_refinada_pct,M0,lockbox,C_por_Sn_F,-0.2843961878159691,-1.9293937507613523,1.3606013751294141,0.7347232540580797,0.03770669061537246,63,False,-20.821863750812025,-141.259185323599,99.61545782197496
recuperacion_refinada_pct,M0,dev,gn_por_t_carga_F,-0.010786544232063988,-0.5165524117085349,0.4949793232444069,0.9666577804452666,-0.0004917582558259248,298,False,-0.7897291312761135,-37.819015857232024,36.239557594679795
recuperacion_refinada_pct,M0,total,gn_por_t_carga_F,0.027169634374940424,-0.4508334320595188,0.5051727008093997,0.9112959032739373,0.008154343696072597,361,False,1.989205373879567,-33.00744770435763,36.98585845211676
recuperacion_refinada_pct,M0,lockbox,gn_por_t_carga_F,0.34400638255210403,-1.3082666306952555,1.9962793957994636,0.6832235852763386,0.03837957402526837,63,False,25.18618157970762,-95.78380689018834,146.15617004960356
recuperacion_refinada_pct,M0,dev,exceso_o2_F,-0.23527957013292927,-0.8189617607336739,0.3484026204678154,0.4294971987437445,0.0020433470161198564,298,False,-17.225825670446607,-59.959700339429695,25.508048998536484
recuperacion_refinada_pct,M0,total,exceso_o2_F,-0.46269867893386674,-0.9895430271677691,0.06414566930003562,0.08519103968475715,0.01863553146972774,361,False,-33.87615327908667,-72.44868591764023,4.696379359466894
recuperacion_refinada_pct,M0,lockbox,exceso_o2_F,-1.3849654344356865,-2.3200989089471853,-0.4498319599241879,0.0036987188761903934,0.16289022704568457,63,True,-101.3992550211842,-169.86438440506177,-32.934125637306614
recuperacion_refinada_pct,M0,dev,T_media_F,-0.1285976525152519,-1.1112161852416773,0.8540208802111736,0.7975607624347106,-0.00023717261942435286,298,False,-9.415185273438086,-81.3568992766228,62.526528729746644
recuperacion_refinada_pct,M0,total,T_media_F,-0.08964070705937056,-0.9852659005185692,0.8059844863998281,0.8444790630905867,0.008240734933496974,361,False,-6.562980338275345,-72.13553914510953,59.00957846855884
recuperacion_refinada_pct,M0,lockbox,T_media_F,-2.960528047802688,-8.130814547265807,2.20975845166043,0.26174182732130147,0.06513710371330572,63,False,-216.7529463569825,-595.2917793533894,161.78588663942432
recuperacion_refinada_pct,M0,dev,cal_por_carga_F,-0.4556222781406588,-1.0959098398800324,0.18466528359871492,0.1631090608093947,0.005769590869397878,298,False,-33.35805964958395,-80.2362561340738,13.520136834905914
recuperacion_refinada_pct,M0,total,cal_por_carga_F,-0.5158253085290384,-1.0781764303944417,0.04652581333636485,0.07220752899228744,0.015874749808213573,361,False,-37.765781517304596,-78.93791722530734,3.406354190698141
recuperacion_refinada_pct,M0,lockbox,cal_por_carga_F,-0.7811281156361112,-6.757632991897489,5.195376760625266,0.797821934123226,0.03640231557069584,63,False,-57.18973703764386,-494.7552726210661,380.3757985457784
recuperacion_refinada_pct,M0,dev,lanza_media_F,0.5072839127711617,-0.15152990603227545,1.1660977315745988,0.13125683840583757,0.0118754958084889,298,False,37.140429327888626,-11.09415383450588,85.37501249028313
recuperacion_refinada_pct,M0,total,lanza_media_F,0.5444645197755119,-0.021861676419497322,1.1107907159705213,0.059523834972134676,0.022369554336714503,361,False,39.86258091213569,-1.6005870235703397,81.32574884784174
recuperacion_refinada_pct,M0,lockbox,lanza_media_F,1.0150073206297503,0.0542789426558683,1.9757356986036323,0.03838707965744403,0.09193179430982346,63,True,74.31303597467813,3.9739940158760723,144.65207793348023
recuperacion_refinada_pct,M0,dev,feed_rate_F,-0.29587239249248887,-1.1524518252388702,0.5607070402538926,0.4984096895201122,0.0009166494898970035,298,False,-21.66208587891436,-84.37593720498872,41.051765447159994
