target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,estado,parametrizacion,grupo
v5_ln_sn_dep,37,4,1016,242,0.7711152304387726,0.24244458248269887,0.7984147471867491,0.23070543597305404,0.678354093241368,FULL,P1_primitivas,Sn
v5_ln_sn_dep,37,4,1015,242,0.7655748900082853,0.24447159313358918,0.802078997953702,0.22794953758225567,0.6781693340478023,FULL,P2_cinetica_v4,Sn
v5_ln_sn_dep,37,4,1015,242,0.7642024729177609,0.2452692544205856,0.8004386276360004,0.228272405131854,0.6781693340478023,FULL,P3_dosis_sobrante,Sn
v5_ln_sn_dep,37,4,1015,242,0.7652781658035318,0.24444957425779829,0.7956554544973877,0.23179664190297924,0.6781693340478023,FULL,P4_log_dosis,Sn
v5_ln_sn_dep,37,3,1015,242,0.7639185412901129,0.24556502787864865,0.8021779350957531,0.22643146741630243,0.6781693340478023,FULL,P5_minima,Sn
v5_ln_sn_dep,20,4,1040,242,0.7632882834546841,0.24495396015133772,0.8082371087994416,0.22930656343126216,0.677767042091674,CURADO,P1_primitivas,Sn
v5_ln_sn_dep,20,4,1039,242,0.7624809472877668,0.2461297842003628,0.8048284015973838,0.23169792185643667,0.6775829142631408,CURADO,P2_cinetica_v4,Sn
v5_ln_sn_dep,20,4,1039,242,0.7602745539845867,0.24683388762800992,0.8021655080757059,0.23243270360421786,0.6775829142631408,CURADO,P3_dosis_sobrante,Sn
v5_ln_sn_dep,20,4,1039,242,0.7604339617599921,0.24646979785549844,0.8001899637537034,0.2336254596417446,0.6775829142631408,CURADO,P4_log_dosis,Sn
v5_ln_sn_dep,20,3,1039,242,0.7598861736296044,0.2468802942201519,0.8036300657229533,0.2316720537980291,0.6775829142631408,CURADO,P5_minima,Sn
sn_extraido_est_kg,37,4,1050,238,0.974586025420775,351.22948590659223,0.984548160828424,328.91909946291634,3784.4531929689783,FULL,P1_primitivas,Sn
sn_extraido_est_kg,37,4,1049,238,0.9754572893364332,344.12058097161287,0.9836681796671495,333.3896515972334,3785.3433878271485,FULL,P2_cinetica_v4,Sn
sn_extraido_est_kg,37,4,1014,238,0.9749182922516203,353.2707429037668,0.983562830108463,339.6588938672655,3819.05467125954,FULL,P3_dosis_sobrante,Sn
sn_extraido_est_kg,37,4,1014,238,0.9749327027463849,355.3228314763634,0.9835070704966892,341.1724883257161,3819.05467125954,FULL,P4_log_dosis,Sn
sn_extraido_est_kg,37,3,1014,238,0.974975447336006,352.90741229844946,0.9835931003060523,339.4730209937199,3819.05467125954,FULL,P5_minima,Sn
sn_extraido_est_kg,20,4,1074,238,0.9725601075349923,364.16503889432363,0.9850139398300015,325.7762277425181,3794.7845106576406,CURADO,P1_primitivas,Sn
sn_extraido_est_kg,20,4,1073,238,0.974001307471541,350.3942535553479,0.9856241102135325,314.4687013147806,3795.6489652641962,CURADO,P2_cinetica_v4,Sn
sn_extraido_est_kg,20,4,1038,238,0.9733553934068386,362.323820090757,0.9850565216211253,323.74711560369116,3828.3983700118724,CURADO,P3_dosis_sobrante,Sn
sn_extraido_est_kg,20,4,1038,238,0.9733709276869513,362.5820832591077,0.9849809365296378,325.0747941335731,3828.3983700118724,CURADO,P4_log_dosis,Sn
sn_extraido_est_kg,20,3,1038,238,0.9733708175837898,361.9604038652316,0.9850790944965239,323.9671932815514,3828.3983700118724,CURADO,P5_minima,Sn
v5_ln_feo_ret,37,4,1016,242,0.18604310321491968,0.06286377445163248,0.18071008547707557,0.05471065116423762,0.10901165132921913,FULL,P1_primitivas,FeO
v5_ln_feo_ret,37,5,1015,242,0.16372178156257622,0.06452597967865237,0.18698841657041454,0.05410844800476474,0.10905280813016531,FULL,P2_cinetica_v4,FeO
v5_ln_feo_ret,37,5,1015,242,0.16534675020053113,0.06448097246373573,0.18965616759984227,0.0540252140343453,0.10905280813016531,FULL,P3_dosis_sobrante,FeO
v5_ln_feo_ret,37,5,1015,242,0.16521539881681757,0.06451409519995742,0.19067912718205404,0.053969920148768016,0.10905280813016531,FULL,P4_log_dosis,FeO
v5_ln_feo_ret,37,3,1015,242,0.16967992281657363,0.06422830647587985,0.19977186827971205,0.05363161200403824,0.10905280813016531,FULL,P5_minima,FeO
v5_ln_feo_ret,20,4,1040,242,0.21192632586554638,0.06253985674548178,0.123841868929224,0.05703116756015338,0.10869142832005821,CURADO,P1_primitivas,FeO
v5_ln_feo_ret,20,5,1039,242,0.20602293085779488,0.06296097763869193,0.12161491463889129,0.05610570603485676,0.10873152268320323,CURADO,P2_cinetica_v4,FeO
v5_ln_feo_ret,20,5,1039,242,0.2031900540327456,0.06311231486833072,0.15124216131810464,0.05516772443505107,0.10873152268320323,CURADO,P3_dosis_sobrante,FeO
v5_ln_feo_ret,20,5,1039,242,0.20262425141220264,0.0631168823650376,0.13814696922360958,0.05571919955223162,0.10873152268320323,CURADO,P4_log_dosis,FeO
v5_ln_feo_ret,20,3,1039,242,0.20331736707393,0.06294831695789481,0.15931141534998294,0.054692163736054795,0.10873152268320323,CURADO,P5_minima,FeO
