fase,target,parametrizacion,bloque,tipo,n_train,n_test,r2,mae
Reducción,v5_sdi_w10,P3,brecha,brecha_aleatorio_menos_walkforward,,,0.06529410416580161,0.019535908333149665
Fusión,v5_d_lnirf,P2P3,1,walkforward_bloque,246.0,250.0,0.2318064135644985,0.03786755375694149
Fusión,v5_d_lnirf,P2P3,2,walkforward_bloque,496.0,249.0,0.0970655731568586,0.03995775398751975
Fusión,v5_d_lnirf,P2P3,3,walkforward_bloque,745.0,245.0,0.30511219038401016,0.04084506207642218
Fusión,v5_d_lnirf,P2P3,4,walkforward_bloque,990.0,239.0,0.26905572740379013,0.046323966463622857
Fusión,v5_d_lnirf,P2P3,5,walkforward_bloque,1229.0,241.0,0.10299743386829474,0.04230691220354012
Fusión,v5_d_lnirf,P2P3,global_walkforward,walkforward_global,,1224.0,0.23091842363291115,0.04141405491561295
Fusión,v5_d_lnirf,P2P3,global_oof_aleatorio,oof_aleatorio,,1470.0,0.2814374102545065,0.039265039415314326
Fusión,v5_d_lnirf,P2P3,brecha,brecha_aleatorio_menos_walkforward,,,0.050518986621595374,0.002149015500298626
Fusión,sn_extraido_est_kg,P2P3,1,walkforward_bloque,246.0,248.0,0.5684492642256624,1257.9783687488639
Fusión,sn_extraido_est_kg,P2P3,2,walkforward_bloque,494.0,248.0,0.7412989151596241,1010.3625748226489
Fusión,sn_extraido_est_kg,P2P3,3,walkforward_bloque,742.0,242.0,0.6030025401101806,1170.3550219611882
Fusión,sn_extraido_est_kg,P2P3,4,walkforward_bloque,984.0,232.0,0.6466432972447407,1335.0366839981348
Fusión,sn_extraido_est_kg,P2P3,5,walkforward_bloque,1216.0,236.0,0.6067952440049419,1350.8948121777087
Fusión,sn_extraido_est_kg,P2P3,global_walkforward,walkforward_global,,1206.0,0.6331668324464723,1222.4827161541039
Fusión,sn_extraido_est_kg,P2P3,global_oof_aleatorio,oof_aleatorio,,1452.0,0.6916466893935568,1113.339050685358
Fusión,sn_extraido_est_kg,P2P3,brecha,brecha_aleatorio_menos_walkforward,,,0.05847985694708446,109.1436654687459
