target,variable,fuente,x,pd,ale
v5_ln_sn_dep,tasa_gn_nm3_min,pd,15.707834487893635,-0.029908608985808636,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,16.39646572841504,-0.008352237628759702,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,17.085096968936448,-0.012170316332831594,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,17.773728209457854,-0.013138179907591115,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,18.46235944997926,-0.011587054926263943,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,19.150990690500667,-0.012515345598899452,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,19.839621931022073,-0.012295630337818556,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,20.52825317154348,-0.009536556610669211,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,21.216884412064886,-0.009536556610669211,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,21.90551565258629,-0.00913750208806567,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,22.5941468931077,-0.00913750208806567,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,23.2827781336291,-0.009517358302727546,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,23.97140937415051,-0.009517358302727546,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,24.660040614671914,-0.010543792062758859,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,25.348671855193324,-0.010357607779323883,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,26.037303095714726,-0.010357607779323883,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,26.725934336236136,-0.009246811593231015,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,27.41456557675754,-0.0102163767937769,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,28.10319681727895,0.015380173805746451,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,28.791828057800352,0.03104930029765129,
v5_ln_sn_dep,tasa_gn_nm3_min,pd,29.480459298321758,0.0374945104530802,
v5_ln_sn_dep,tasa_gn_nm3_min,ale,10.84028059967063,,-0.0512071365379233
v5_ln_sn_dep,tasa_gn_nm3_min,ale,15.123163973234874,,-0.03949806079605332
v5_ln_sn_dep,tasa_gn_nm3_min,ale,16.18400957941796,,-0.01386006593896387
v5_ln_sn_dep,tasa_gn_nm3_min,ale,16.753643004842125,,-0.003942058977416493
v5_ln_sn_dep,tasa_gn_nm3_min,ale,17.152967788300693,,-0.0072753915868538355
v5_ln_sn_dep,tasa_gn_nm3_min,ale,17.63263328704834,,-0.009798623485303692
v5_ln_sn_dep,tasa_gn_nm3_min,ale,18.175343088512257,,-0.015463418000611018
v5_ln_sn_dep,tasa_gn_nm3_min,ale,18.737589600505014,,-0.017927401073233734
v5_ln_sn_dep,tasa_gn_nm3_min,ale,19.291934236975123,,-0.017806359633009423
v5_ln_sn_dep,tasa_gn_nm3_min,ale,19.89645111848317,,-0.01626192148145554
v5_ln_sn_dep,tasa_gn_nm3_min,ale,20.70526555109358,,-0.014838524770125962
v5_ln_sn_dep,tasa_gn_nm3_min,ale,21.719207933010527,,-0.014386671838312298
v5_ln_sn_dep,tasa_gn_nm3_min,ale,22.688483880293106,,-0.0140876143408903
v5_ln_sn_dep,tasa_gn_nm3_min,ale,23.469252814438434,,-0.014240409775281973
v5_ln_sn_dep,tasa_gn_nm3_min,ale,24.24004281524658,,-0.015315322489771521
v5_ln_sn_dep,tasa_gn_nm3_min,ale,24.95238005596019,,-0.01601424789524468
v5_ln_sn_dep,tasa_gn_nm3_min,ale,25.492668539632163,,-0.015638260586228275
v5_ln_sn_dep,tasa_gn_nm3_min,ale,26.178062753951462,,-0.01412206129511874
v5_ln_sn_dep,tasa_gn_nm3_min,ale,26.831761466923467,,-0.012605862004009212
v5_ln_sn_dep,tasa_gn_nm3_min,ale,27.327264751473884,,-0.012824547636285655
v5_ln_sn_dep,tasa_gn_nm3_min,ale,27.797083565492983,,0.01934858003930759
v5_ln_sn_dep,tasa_gn_nm3_min,ale,28.20378297837999,,0.06698410433759795
v5_ln_sn_dep,tasa_gn_nm3_min,ale,28.66064434877749,,0.08222781532801865
v5_ln_sn_dep,tasa_gn_nm3_min,ale,29.07493109628183,,0.08222781532801865
v5_ln_sn_dep,tasa_gn_nm3_min,ale,29.781587669768154,,0.08572292072859905
v5_ln_sn_dep,tasa_o2_nm3_min,pd,3.872453824479845,-0.03260710267762542,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,4.988708111805151,-0.01178142397738105,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,6.104962399130456,0.004226954888548279,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,7.221216686455762,-0.005087447499614908,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,8.337470973781068,-0.004675402008190247,
