target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,palancas_label
v5_d_lnirf,24,4,1470,313,0.2818792033099614,0.039245343349262975,0.044934588778373086,0.04032453567539564,0.06729255137346221,a_primitivas
v5_d_lnirf,24,4,1470,313,0.2814374102545065,0.039265039415314326,0.03891885038567866,0.04034124413896913,0.06729255137346221,b_derivadas
v5_d_lnirf,24,3,1408,313,0.30605768033793257,0.03922380496016343,0.07997166893556573,0.039717379337794866,0.06816160794483489,c_termicas
v5_ln_sn_dep,24,4,1407,313,0.18607283766408955,0.14666359097843884,-0.3683340273640183,0.1483423949396689,0.23793789988959238,a_primitivas
v5_ln_sn_dep,24,4,1407,313,0.18670036473587082,0.14699879976774605,-0.38583623566895153,0.14907463438530916,0.23793789988959238,b_derivadas
v5_ln_sn_dep,24,3,1407,313,0.17463580969769787,0.14767421889983715,-0.24048987722123405,0.13938376825439894,0.23793789988959238,c_termicas
sn_extraido_est_kg,24,4,1452,312,0.6929314373484952,1110.9987734340857,0.6176240231531371,1215.0438456247316,3004.285146460769,a_primitivas
sn_extraido_est_kg,24,4,1452,312,0.6916466893935568,1113.339050685358,0.6177497456980753,1209.494959237108,3004.285146460769,b_derivadas
sn_extraido_est_kg,24,3,1390,312,0.6826839956370597,1129.8076221509655,0.6348565169545555,1166.609210216067,3012.0373478866045,c_termicas
d_temperatura_horno_celsius,24,4,1477,314,0.49647462523638675,8.90031289202239,0.050206277852831716,7.082474318090603,17.18650876725232,a_primitivas
d_temperatura_horno_celsius,24,4,1477,314,0.4982932533624723,8.90406407937411,0.046431392407046745,7.133005708447758,17.18650876725232,b_derivadas
d_temperatura_horno_celsius,24,3,1415,314,0.48225034658176147,9.120515416539186,0.04628924059234696,7.091627023203041,17.248892333380827,c_termicas
d_temperatura_horno_celsius,24,5,1415,314,0.48690257940206483,9.077344451686413,0.04710259794392213,7.078549329344655,17.248892333380827,c_termicas+b6
