fase,clave,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota
Fusión,sn_dep,v5_ln_sn_dep,relacion_C_Sn_carga,4.130632664124695e-21,5e-324,0.41475553526220815,0.0404587573433231,1.6712026463222525e-22,0.0,0.016780493557973765,False,1,,True
Fusión,sn_dep,v5_ln_sn_dep,tasa_gn_nm3_min,0.020975179538355572,0.007862556651162443,0.0354371647808801,1.4186094323804055,0.029755587538983694,0.011153897027964335,0.05027149621497521,True,1,True,False
Fusión,sn_dep,v5_ln_sn_dep,exceso_o2_combustion_pct,-2.346794022816376e-17,-1.173116154679271e-12,-2.13841972465598e-23,2.9372008894392536,-6.893005491146983e-17,-3.445677812939512e-12,-6.280968317253989e-23,False,-1,,True
Fusión,sn_dep,v5_ln_sn_dep,tasa_aire_nm3_min,0.0033498138992121345,-0.0008589269785145002,0.0076711685992512805,5.502989964844227,0.018433992271460087,-0.004726666543299268,0.042214363820307944,False,0,,False
Fusión,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,0.12344116281466647,1.6641180165261632e-23,0.995051799259585,1.4912350039331133,0.18407978291543722,2.4815910369195575e-23,1.4838560737825186,False,1,True,False
Fusión,dT,d_temperatura_horno_celsius,tasa_o2_nm3_min,-0.37645908007910966,-0.795436439011645,-0.06717669348550345,3.333177422863195,-1.254804906351536,-2.6513307798363117,-0.2239118380684812,True,0,,False
Fusión,dT,d_temperatura_horno_celsius,tasa_aire_nm3_min,-2.7290407392834845e-20,-0.1730660433886859,-5e-324,5.436636278274587,-1.4836801888077892e-19,-0.9408971300243735,-2.5e-323,False,-1,,True
Fusión,dT,d_temperatura_horno_celsius,tasa_feed_Carbon_kg_min,-0.005578894637418032,-0.16701018477984825,0.1320589475349565,7.185600688580564,-0.04008770914814942,-1.2000684987540449,0.9489228643404081,False,0,,False
Reducción,sn_dep,v5_ln_sn_dep,Cx_sn_v4,0.0006315488155636443,2.6469654251127463e-05,0.0009949965223628725,289.575269466238,0.18288091844792576,0.007664957262448388,0.2881263860811985,True,1,True,False
Reducción,sn_dep,v5_ln_sn_dep,tasa_gn_nm3_min,0.009231084680389997,2.509294401225759e-16,0.018333001731365997,4.953750794405029,0.04572849306870204,1.2430419133468195e-15,0.09081712189058308,False,1,True,False
Reducción,sn_dep,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.00036884524416249927,-0.0023600390805651214,-1.022843138403795e-24,10.775541433926714,-0.003974507211179827,-0.02543069889831577,-1.102168861827773e-23,False,-1,True,False
Reducción,sn_dep,v5_ln_sn_dep,tasa_aire_nm3_min,0.0009046620220491772,-0.0016437059704486915,0.002772037074642693,9.443953451940853,0.00854358602597112,-0.01552308267359471,0.026178989099979885,False,0,,False
Reducción,feo_ret,v5_ln_feo_ret,tasa_feed_Carbon_kg_min,-8.265194654219209e-40,-0.0010856612691043832,-3.488017966992276e-79,22.100435970604593,-1.82664405240155e-38,-0.023993587363606746,-7.70867177438312e-78,False,-1,,True
Reducción,feo_ret,v5_ln_feo_ret,Cx_av_v4,-3.9467089741441727e-23,-0.0011384476895190873,-5e-324,17.275529018818933,-6.818148541166076e-22,-0.01966728609669436,-8.4e-323,False,-1,,True
Reducción,feo_ret,v5_ln_feo_ret,tasa_gn_nm3_min,-0.004192879398650856,-0.006279293019594262,-0.0009859617509058662,4.953750794405029,-0.020770479651911162,-0.03110605278411703,-0.0048842088068029085,True,-1,True,False
Reducción,feo_ret,v5_ln_feo_ret,exceso_o2_combustion_pct,8.265203588122337e-05,3.092172445622587e-26,0.0007567426217740691,10.775541433926714,0.00089062043723652,3.3319832308652682e-25,0.008154311475744814,False,1,True,False
Reducción,feo_ret,v5_ln_feo_ret,tasa_aire_nm3_min,0.0002416128722377802,2.0682508109740176e-23,0.0010682311108033361,9.443953451940853,0.0022817807188033287,1.9532464385777543e-22,0.010088324886341779,False,1,True,False
Reducción,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,0.45585976684752655,0.04871447329191411,0.8420982817878933,5.000946414336985,2.279730266456632,0.2436184705355127,4.211288382826501,True,1,True,False
Reducción,dT,d_temperatura_horno_celsius,tasa_o2_nm3_min,-0.4186467188917882,-0.7347513333911599,-0.11442016346124549,8.78522632200191,-3.677906174427872,-6.4549567542340185,-1.005207031807495,True,0,,False
Reducción,dT,d_temperatura_horno_celsius,tasa_aire_nm3_min,-0.04074432718594212,-0.12329325362799648,-1.245667967400297e-20,10.132722009522976,-0.412850940840201,-1.2492962646620984,-1.262200722983474e-19,False,-1,True,False
Reducción,dT,d_temperatura_horno_celsius,tasa_feed_Carbon_kg_min,0.08558716510699724,-0.027322325471685952,0.24050699722835703,21.999766137066832,1.8828976166884657,-0.6010847706979152,5.291097693352035,False,0,,False
