spec,kpi,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n,significativo
F0_sumdlnirf,recuperacion_refinada_pct,dev,F_lnirf_F0,1.4851934736173484,0.41157345858916927,2.5588134886455274,0.006701623615432592,0.12318297256386401,297,True
F0_sumdlnirf,recuperacion_refinada_pct,dev,F_sum_d_lnirf,-0.134184413679885,-1.2879188189977884,1.0195499916380182,0.8196831839703482,0.12318297256386401,297,False
F0_sumdlnirf,recuperacion_refinada_pct,total,F_lnirf_F0,1.5927747319435408,0.6657950492029087,2.519754414684173,0.0007580050804823905,0.13972321258503761,360,True
F0_sumdlnirf,recuperacion_refinada_pct,total,F_sum_d_lnirf,-0.1165060682766752,-1.0800102911112943,0.8469981545579439,0.8126590471671844,0.13972321258503761,360,False
F0_sumdlnirf,recuperacion_refinada_pct,lockbox,F_lnirf_F0,3.641592774333435,1.1072912932684043,6.1758942553984655,0.004857804662965588,0.3164233714418654,63,True
F0_sumdlnirf,recuperacion_refinada_pct,lockbox,F_sum_d_lnirf,0.2708512874999883,-1.7716554287512358,2.3133580037512123,0.7949366537966929,0.3164233714418654,63,False
F0_lnirffin,recuperacion_refinada_pct,dev,F_lnirf_F0,1.6810128288488675,0.9442828465492619,2.4177428111484733,7.745791985783285e-06,0.12326308815294429,297,True
F0_lnirffin,recuperacion_refinada_pct,dev,F_lnirf_fin,-0.11949700666073469,-0.9934174456934017,0.7544234323719323,0.7887000659465921,0.12326308815294429,297,False
F0_lnirffin,recuperacion_refinada_pct,total,F_lnirf_F0,1.7396528946023997,1.1168217609066007,2.3624840282981987,4.388760355158384e-08,0.13965686302758507,360,True
F0_lnirffin,recuperacion_refinada_pct,total,F_lnirf_fin,-0.06622695774582121,-0.7896411062240329,0.6571871907323905,0.8575998042497646,0.13965686302758507,360,False
F0_lnirffin,recuperacion_refinada_pct,lockbox,F_lnirf_F0,3.1823239262888676,1.7975699690559466,4.5670778835217885,6.661630324668669e-06,0.3194027227073736,63,True
F0_lnirffin,recuperacion_refinada_pct,lockbox,F_lnirf_fin,0.3907337856343674,-1.1122395166589714,1.893707087927706,0.6103741733106114,0.3194027227073736,63,False
F0_sumlnsndep,recuperacion_refinada_pct,dev,F_lnirf_F0,1.6596379229171916,1.238160999390523,2.0811148464438602,1.1845176287214465e-14,0.14566568430784022,285,True
F0_sumlnsndep,recuperacion_refinada_pct,dev,F_sum_ln_sn_dep,-0.4544078946316141,-0.9687665316896312,0.059950742426403025,0.08335876971004205,0.14566568430784022,285,False
F0_sumlnsndep,recuperacion_refinada_pct,total,F_lnirf_F0,1.7511511311364016,1.36559963818992,2.1367026240828833,5.483163365022239e-19,0.1655056210615694,348,True
F0_sumlnsndep,recuperacion_refinada_pct,total,F_sum_ln_sn_dep,-0.5891703823818353,-1.0600099817916737,-0.11833078297199695,0.014185179225448397,0.1655056210615694,348,True
F0_sumlnsndep,recuperacion_refinada_pct,lockbox,F_lnirf_F0,3.1115317636530744,1.7512382560812207,4.471825271224928,7.352629097821493e-06,0.3452318129288946,63,True
F0_sumlnsndep,recuperacion_refinada_pct,lockbox,F_sum_ln_sn_dep,-0.9465842435372447,-2.3292724177414446,0.43610393066695496,0.17966553565435706,0.3452318129288946,63,False
