variante,w,split,kpi,n,rho,p,ci_lo,ci_hi
simple,0,dev,recuperacion_refinada_pct,286,-0.0007727830577638022,0.9896184468123503,-0.10876527114995196,0.11851488060162828
simple,0,lockbox,recuperacion_refinada_pct,63,0.3541186635944701,0.004408639251244759,0.11707847934411615,0.5298047697351329
simple,0,total,recuperacion_refinada_pct,349,0.07794006803393226,0.14621595710503693,-0.012915355650762355,0.17471108258891233
simple,1,dev,recuperacion_refinada_pct,286,0.11314564767709824,0.05597525408304104,0.011443077705758597,0.22173939914969784
simple,1,lockbox,recuperacion_refinada_pct,63,0.3387096774193548,0.006620434769827993,0.06274107851106547,0.5395276671243947
simple,1,total,recuperacion_refinada_pct,349,0.1702511044927802,0.0014105634327058374,0.06774869613517272,0.26204848790081914
simple,2,dev,recuperacion_refinada_pct,286,0.18534200074636528,0.0016438638221945784,0.07745189282946163,0.2999535097837698
simple,2,lockbox,recuperacion_refinada_pct,63,0.31413210445468515,0.01216790128354986,0.061030860390875415,0.5188140695799724
simple,2,total,recuperacion_refinada_pct,349,0.22376783773483705,2.4544341164701068e-05,0.1256711267979281,0.3246578309308375
simple,3,dev,recuperacion_refinada_pct,286,0.23492374121385676,6.025532381523132e-05,0.12764657348155126,0.35771313762031925
simple,3,lockbox,recuperacion_refinada_pct,63,0.2642089093701997,0.036399325701259796,0.018978421620598592,0.4829632224582271
simple,3,total,recuperacion_refinada_pct,349,0.255650909706833,1.3018275526514827e-06,0.15472012616711606,0.34910498144482105
simple,4,dev,recuperacion_refinada_pct,286,0.2639109286092598,6.066652135802625e-06,0.15437497374961415,0.3745580387553879
simple,4,lockbox,recuperacion_refinada_pct,63,0.2240783410138249,0.07748374340961114,-0.04367540990056004,0.4579372001071247
simple,4,total,recuperacion_refinada_pct,349,0.2699148870100357,3.0607278050521276e-07,0.15965371488762511,0.3699496669076483
simple,5,dev,recuperacion_refinada_pct,286,0.28189961514736867,1.2655201637001453e-06,0.1659619316308366,0.392916742156888
simple,5,lockbox,recuperacion_refinada_pct,63,0.1755952380952381,0.16864938305767918,-0.10060497892124307,0.4046612657412169
simple,5,total,recuperacion_refinada_pct,349,0.2754188603610597,1.7112237583669385e-07,0.1708344985648045,0.36409713289229334
simple,6,dev,recuperacion_refinada_pct,286,0.29894290561813025,2.5809665351356666e-07,0.18599576789187355,0.40621726910260586
simple,6,lockbox,recuperacion_refinada_pct,63,0.1485695084485407,0.24520191545228887,-0.10714326782676471,0.41089768643906666
simple,6,total,recuperacion_refinada_pct,349,0.28002032549014066,1.042061851790416e-07,0.1828567822591945,0.3804499852277215
simple,8,dev,recuperacion_refinada_pct,286,0.31448269317332217,5.523667224939499e-08,0.2055633391092804,0.40892093606295976
simple,8,lockbox,recuperacion_refinada_pct,63,0.0944220430107527,0.4616753897799783,-0.17289947576252485,0.32117777208197956
simple,8,total,recuperacion_refinada_pct,349,0.2809646138862619,9.40155391536186e-08,0.1805351454552271,0.3808816613412826
simple,10,dev,recuperacion_refinada_pct,286,0.3165201935420164,4.482731126560018e-08,0.21153374434588,0.4206959928900666
simple,10,lockbox,recuperacion_refinada_pct,63,0.08688556067588325,0.4983392921653725,-0.17812090028294775,0.3229110074437048
simple,10,total,recuperacion_refinada_pct,349,0.2755481530622327,1.6877486396734183e-07,0.16611272352581347,0.3669108567499692
simple,12,dev,recuperacion_refinada_pct,286,0.31769796314083865,3.970199872022871e-08,0.21427801857586862,0.4132446876051981
simple,12,lockbox,recuperacion_refinada_pct,63,0.04579493087557604,0.7215453151745953,-0.21163700906215827,0.29161663705814234
simple,12,total,recuperacion_refinada_pct,349,0.26948946320945133,3.199712813177464e-07,0.1694740685408605,0.3623853493060166
simple,14,dev,recuperacion_refinada_pct,286,0.3167305095418061,4.3867538050404e-08,0.1992970556324843,0.41331616182930536
simple,14,lockbox,recuperacion_refinada_pct,63,0.044450844854070665,0.7294001737744276,-0.18829324432556824,0.27499046747095757
simple,14,total,recuperacion_refinada_pct,349,0.2650672576114726,5.05395401530657e-07,0.1616071112835573,0.36662661984095096
simple,16,dev,recuperacion_refinada_pct,286,0.3122846344925934,6.907143867758474e-08,0.20795540071699578,0.4223099108395788
simple,16,lockbox,recuperacion_refinada_pct,63,0.015697004608294932,0.9028169239027821,-0.2217051107223059,0.25437593908131845
simple,16,total,recuperacion_refinada_pct,349,0.2591962962440188,9.15603605028082e-07,0.15311995571732015,0.3596119342183584
simple,20,dev,recuperacion_refinada_pct,286,0.3095736099587191,9.076996852043584e-08,0.1994871446457527,0.4095441744804995
simple,20,lockbox,recuperacion_refinada_pct,63,-0.00576036866359447,0.9642617111726111,-0.2195671830343205,0.2438987753592994
simple,20,total,recuperacion_refinada_pct,349,0.25131932191906503,1.987240714076363e-06,0.15680651615636926,0.34107518031862927
simple,30,dev,recuperacion_refinada_pct,286,0.3016672672641864,1.9824093500068081e-07,0.19846303533907503,0.4115503263400372
simple,30,lockbox,recuperacion_refinada_pct,63,-0.012576804915514593,0.9220671829072071,-0.2427291590458397,0.21595107001569416
simple,30,total,recuperacion_refinada_pct,349,0.23943342696232725,6.0999447963343715e-06,0.14230911239161578,0.3404652803443672
tiempo_orden,0,dev,recuperacion_refinada_pct,286,-0.0007727830577638022,0.9896184468123503,-0.10876527114995196,0.11851488060162828
tiempo_orden,0,lockbox,recuperacion_refinada_pct,63,0.3541186635944701,0.004408639251244759,0.11707847934411615,0.5298047697351329
tiempo_orden,0,total,recuperacion_refinada_pct,349,0.07794006803393226,0.14621595710503693,-0.012915355650762355,0.17471108258891233
tiempo_orden,1,dev,recuperacion_refinada_pct,286,0.08502280774424548,0.15152455696554937,-0.019177138044805416,0.19054271506563294
tiempo_orden,1,lockbox,recuperacion_refinada_pct,63,0.3629992319508449,0.0034560166591311395,0.07997503744906949,0.5588854674037379
tiempo_orden,1,total,recuperacion_refinada_pct,349,0.15122221124394822,0.004636960157634965,0.0495226711324787,0.24660886213368427
tiempo_orden,2,dev,recuperacion_refinada_pct,286,0.15066140534689956,0.010731065603952632,0.03783129610053749,0.2612463409279077
