pendientes_de,kpi,politica_en,n_batches,b_sn_dep_pp_por_unidad,b_sn_lo,b_sn_hi,b_feo_ret_pp_por_unidad,b_feo_lo,b_feo_hi,w_implicito,d_sn_dep_medio,d_feo_ret_medio,uplift_kpi_pp_medio,uplift_kpi_pp_mediana,uplift_ci_lo,uplift_ci_hi,uplift_kg_sn_medio,pct_batches_uplift_pos
DEV,recuperacion_refinada_pct,DEV,299,1.8921638210932645,0.7575003990536665,3.1102150891602514,12.020616991619647,8.44277488783345,17.330962121913327,6.352841576198361,-0.027744502040684942,0.020677267197049955,0.19605636641348595,0.14040732062916847,0.12892535461129703,0.29748391160671933,100.47888778691154,96.98996655518395
DEV,recuperacion_refinada_pct,LOCKBOX,63,1.8921638210932645,0.7575003990536665,3.1102150891602514,12.020616991619647,8.44277488783345,17.330962121913327,6.352841576198361,-0.052117457579030406,0.031398139236035426,0.27881023832752266,0.23294316944285576,0.1774175484669034,0.43201849233604533,142.89024714285537,98.4126984126984
DEV,recuperacion_refinada_pct,TOTAL,362,1.8921638210932645,0.7575003990536665,3.1102150891602514,12.020616991619647,8.44277488783345,17.330962121913327,6.352841576198361,-0.03198620424763457,0.022543054319856818,0.21045828334880176,0.1596462050809495,0.13784204511023812,0.3202641457212708,107.8598702162609,97.23756906077348
DEV,rendimiento_proxy_batch,DEV,299,1.2479495674369723,0.013946783445759918,2.5426575378235747,12.401896382517272,8.663973373605248,18.495765969199212,9.937818567450748,-0.027744502040684942,0.020677267197049955,0.22181358593100994,0.1653654156688416,0.1511829823539739,0.3393711275187095,113.6794627896426,97.65886287625418
DEV,rendimiento_proxy_batch,LOCKBOX,63,1.2479495674369723,0.013946783445759918,2.5426575378235747,12.401896382517272,8.663973373605248,18.495765969199212,9.937818567450748,-0.052117457579030406,0.031398139236035426,0.3243565107674956,0.2806861586434746,0.21672562222059388,0.49834350042255965,166.2327117683415,98.4126984126984
DEV,rendimiento_proxy_batch,TOTAL,362,1.2479495674369723,0.013946783445759918,2.5426575378235747,12.401896382517272,8.663973373605248,18.495765969199212,9.937818567450748,-0.03198620424763457,0.022543054319856818,0.23965945406553646,0.18157616123440642,0.16273431136583366,0.36745608164239657,122.82547020858743,97.79005524861878
DEV,recuperacion_refinada_pct_media2,DEV,299,1.4995773084214008,0.538455710061728,2.4771936823943923,8.4098655103287,5.066330341593495,13.36163646976401,5.608157354142503,-0.027744502040684942,0.020677267197049955,0.132288010554659,0.09223128727481804,0.05931953035592854,0.2306075588660016,67.79760540926273,96.98996655518395
DEV,recuperacion_refinada_pct_media2,LOCKBOX,63,1.4995773084214008,0.538455710061728,2.4771936823943923,8.4098655103287,5.066330341593495,13.36163646976401,5.608157354142503,-0.052117457579030406,0.031398139236035426,0.18589997149150367,0.1576039011997091,0.07544319309310502,0.3315180546237353,95.27373538939563,98.4126984126984
DEV,recuperacion_refinada_pct_media2,TOTAL,362,1.4995773084214008,0.538455710061728,2.4771936823943923,8.4098655103287,5.066330341593495,13.36163646976401,5.608157354142503,-0.03198620424763457,0.022543054319856818,0.14161826894974525,0.10485207835252427,0.06247425387618808,0.2482085738253628,72.57936283674444,97.23756906077348
TOTAL,recuperacion_refinada_pct,DEV,299,2.3234155312911398,1.3145707475927437,3.263588653071786,11.202114957704792,7.924447995624789,16.173676600053234,4.821399705234685,-0.027744502040684942,0.020677267197049955,0.16716711720326582,0.11892309966613199,0.10384043595665676,0.2551252135198585,85.67314756667373,96.65551839464884
