avance_base,control,x,pred_ln_sn_dep,pred_ln_feo_ret,J,es_argmax,tipo_optimo
0.7495,carbon,3.300843652282098,1.5327189854672603,-0.22598234067315423,-0.7271044212642819,False,frontera_alta
0.7495,carbon,6.446106053473857,1.5327673456258049,-0.22589032314871738,-0.7261358858613687,False,frontera_alta
0.7495,carbon,9.591368454665616,1.5328156960560138,-0.2257983056242805,-0.7251673601867912,False,frontera_alta
0.7495,carbon,12.736630855857374,1.5328640367578874,-0.22570628809984364,-0.7241988442405489,False,frontera_alta
0.7495,carbon,15.881893257049132,1.5329123677314258,-0.22561427057540676,-0.7232303380226419,False,frontera_alta
0.7495,carbon,19.02715565824089,1.5329606889766283,-0.22552225305096987,-0.7222618415330704,False,frontera_alta
0.7495,carbon,22.17241805943265,1.5330090004934958,-0.225430235526533,-0.7212933547718343,False,frontera_alta
0.7495,carbon,25.31768046062441,1.5330573022820275,-0.2253382180020961,-0.7203248777389335,False,frontera_alta
0.7495,carbon,28.462942861816167,1.5331055943422243,-0.22524620047765925,-0.7193564104343682,False,frontera_alta
0.7495,carbon,31.608205263007925,1.5331538766740853,-0.22515418295322237,-0.7183879528581385,False,frontera_alta
0.7495,carbon,34.75346766419968,1.533202149277611,-0.2250621654287855,-0.7174195050102439,False,frontera_alta
0.7495,carbon,37.89873006539144,1.5332504121528012,-0.22497014790434863,-0.7164510668906849,False,frontera_alta
0.7495,carbon,41.043992466583205,1.533298665299656,-0.22487813037991175,-0.7154826384994615,False,frontera_alta
0.7495,carbon,44.18925486777496,1.5333469087181755,-0.22478611285547487,-0.714514219836573,False,frontera_alta
0.7495,carbon,47.33451726896672,1.5333951424083594,-0.22469409533103799,-0.7135458109020205,False,frontera_alta
0.7495,carbon,50.47977967015848,1.533443366370208,-0.2246020778066011,-0.7125774116958028,False,frontera_alta
0.7495,carbon,53.62504207135024,1.533491580603721,-0.22451006028216425,-0.7116090222179212,False,frontera_alta
0.7495,carbon,56.770304472541994,1.533539785108899,-0.22441804275772737,-0.7106406424683747,False,frontera_alta
0.7495,carbon,59.91556687373375,1.533587979885741,-0.22432602523329048,-0.709672272447164,False,frontera_alta
0.7495,carbon,63.06082927492551,1.533636164934248,-0.22423400770885363,-0.7087039121542884,False,frontera_alta
0.7495,carbon,66.20609167611727,1.5336843402544196,-0.22414199018441675,-0.7077355615897478,True,frontera_alta
0.7495,gn,10.90501097545885,1.487292126328642,-0.18592498147272365,-0.37195768839859444,True,frontera_baja
0.7495,gn,11.840758957680325,1.4863978814619785,-0.18842672926296525,-0.39786941116767394,False,frontera_baja
0.7495,gn,12.7765069399018,1.4860507609135547,-0.19092847705320684,-0.42323400961851365,False,frontera_baja
0.7495,gn,13.712254922123275,1.4862507646833707,-0.19343022484344843,-0.4480514837511136,False,frontera_baja
0.7495,gn,14.64800290434475,1.4869978927714271,-0.19593197263369003,-0.4723218335654731,False,frontera_baja
0.7495,gn,15.583750886566225,1.4882921451777233,-0.19843372042393162,-0.4960450590615928,False,frontera_baja
0.7495,gn,16.5194988687877,1.4901335219022591,-0.20093546821417319,-0.5192211602394725,False,frontera_baja
0.7495,gn,17.45524685100917,1.4925220229450353,-0.20343721600441478,-0.5418501370991127,False,frontera_baja
0.7495,gn,18.39099483323065,1.495457648306051,-0.20593896379465637,-0.5639319896405124,False,frontera_baja
0.7495,gn,19.32674281545212,1.498940397985307,-0.20844071158489796,-0.5854667178636728,False,frontera_baja
0.7495,gn,20.2624907976736,1.502970271982803,-0.21094245937513956,-0.6064543217685923,False,frontera_baja
0.7495,gn,21.19823877989507,1.5075472702985389,-0.21344420716538112,-0.6268948013552724,False,frontera_baja
0.7495,gn,22.133986762116546,1.5126713929325146,-0.21594595495562272,-0.6467881566237126,False,frontera_baja
0.7495,gn,23.06973474433802,1.5183426398847302,-0.2184477027458643,-0.666134387573913,False,frontera_baja
0.7495,gn,24.005482726559496,1.524561011155186,-0.2209494505361059,-0.6849334942058731,False,frontera_baja
0.7495,gn,24.94123070878097,1.5313265067438817,-0.2234511983263475,-0.7031854765195933,False,frontera_baja
0.7495,gn,25.876978691002446,1.538639126650817,-0.2259529461165891,-0.7208903345150739,False,frontera_baja
0.7495,gn,26.81272667322392,1.5464988708759928,-0.22845469390683068,-0.738048068192314,False,frontera_baja
0.7495,gn,27.748474655445396,1.5549057394194081,-0.23095644169707225,-0.7546586775513142,False,frontera_baja
0.7495,gn,28.68422263766687,1.5638597322810637,-0.23345818948731384,-0.7707221625920746,False,frontera_baja
0.7495,gn,29.619970619888345,1.573360849460959,-0.23595993727755543,-0.7862385233145952,False,frontera_baja
0.8998,carbon,3.300843652282098,1.1310715129474733,-0.0401047456679347,0.7300240562681264,False,frontera_alta
0.8998,carbon,6.446106053473857,1.131188479076291,-0.03999427206735802,0.7312457584027108,False,frontera_alta
0.8998,carbon,9.591368454665616,1.1313053882453958,-0.039883798466781334,0.7324674035775824,False,frontera_alta
0.8998,carbon,12.736630855857374,1.1314222404547878,-0.03977332486620465,0.7336889917927413,False,frontera_alta
0.8998,carbon,15.881893257049132,1.131539035704467,-0.03966285126562796,0.7349105230481874,False,frontera_alta
0.8998,carbon,19.02715565824089,1.131655773994433,-0.03955237766505127,0.7361319973439204,False,frontera_alta
0.8998,carbon,22.17241805943265,1.1317724553246864,-0.039441904064474585,0.7373534146799405,False,frontera_alta
0.8998,carbon,25.31768046062441,1.1318890796952266,-0.03933143046389791,0.7385747750562475,False,frontera_alta
0.8998,carbon,28.462942861816167,1.1320056471060542,-0.03922095686332122,0.739796078472842,False,frontera_alta
0.8998,carbon,31.608205263007925,1.1321221575571687,-0.039110483262744536,0.7410173249297234,False,frontera_alta
0.8998,carbon,34.75346766419968,1.1322386110485705,-0.039000009662167844,0.742238514426892,False,frontera_alta
0.8998,carbon,37.89873006539144,1.1323550075802593,-0.03888953606159116,0.7434596469643477,False,frontera_alta
0.8998,carbon,41.043992466583205,1.1324713471522352,-0.03877906246101447,0.7446807225420904,False,frontera_alta
0.8998,carbon,44.18925486777496,1.132587629764498,-0.03866858886043779,0.7459017411601201,False,frontera_alta
0.8998,carbon,47.33451726896672,1.132703855417048,-0.03855811525986111,0.7471227028184371,False,frontera_alta
0.8998,carbon,50.47977967015848,1.1328200241098851,-0.038447641659284416,0.748343607517041,False,frontera_alta
0.8998,carbon,53.62504207135024,1.1329361358430095,-0.03833716805870773,0.7495644552559322,False,frontera_alta
0.8998,carbon,56.770304472541994,1.1330521906164208,-0.038226694458131046,0.7507852460351103,False,frontera_alta
0.8998,carbon,59.91556687373375,1.1331681884301192,-0.03811622085755435,0.7520059798545757,False,frontera_alta
0.8998,carbon,63.06082927492551,1.1332841292841047,-0.03800574725697767,0.753226656714328,False,frontera_alta
0.8998,carbon,66.20609167611727,1.1334000131783772,-0.03789527365640099,0.7544472766143673,True,frontera_alta
0.8998,gn,10.90501097545885,1.064354616418496,0.005775896215613968,1.1221135785746357,True,frontera_baja
0.8998,gn,11.840758957680325,1.0634603715518325,0.0032741484253723746,1.0962018558055562,False,frontera_baja
0.8998,gn,12.7765069399018,1.0631132510034087,0.0007724006351307884,1.0708372573547167,False,frontera_baja
0.8998,gn,13.712254922123275,1.063313254773225,-0.0017293471551108046,1.046019783222117,False,frontera_baja
0.8998,gn,14.64800290434475,1.0640603828612811,-0.0042310949453523905,1.0217494334077573,False,frontera_baja
0.8998,gn,15.583750886566225,1.0653546352675771,-0.00673284273559398,0.9980262079116373,False,frontera_baja
0.8998,gn,16.5194988687877,1.0671960119921133,-0.009234590525835569,0.9748501067337576,False,frontera_baja
0.8998,gn,17.45524685100917,1.069584513034889,-0.011736338316077148,0.9522211298741177,False,frontera_baja
0.8998,gn,18.39099483323065,1.0725201383959053,-0.014238086106318748,0.9301392773327178,False,frontera_baja
0.8998,gn,19.32674281545212,1.0760028880751613,-0.01673983389656033,0.908604549109558,False,frontera_baja
0.8998,gn,20.2624907976736,1.0800327620726569,-0.01924158168680193,0.8876169452046376,False,frontera_baja
0.8998,gn,21.19823877989507,1.0846097603883929,-0.021743329477043508,0.8671764656179578,False,frontera_baja
0.8998,gn,22.133986762116546,1.0897338830223686,-0.024245077267285097,0.8472831103495176,False,frontera_baja
0.8998,gn,23.06973474433802,1.0954051299745844,-0.026746825057526687,0.8279368793993176,False,frontera_baja
0.8998,gn,24.005482726559496,1.1016235012450402,-0.029248572847768276,0.8091377727673574,False,frontera_baja
0.8998,gn,24.94123070878097,1.1083889968337355,-0.031750320638009866,0.7908857904536368,False,frontera_baja
0.8998,gn,25.876978691002446,1.1157016167406713,-0.03425206842825145,0.7731809324581567,False,frontera_baja
0.8998,gn,26.81272667322392,1.1235613609658466,-0.036753816218493045,0.7560231987809161,False,frontera_baja
0.8998,gn,27.748474655445396,1.1319682295092621,-0.03925556400873463,0.7394125894219158,False,frontera_baja
0.8998,gn,28.68422263766687,1.1409222223709177,-0.041757311798976224,0.7233491043811554,False,frontera_baja
0.8998,gn,29.619970619888345,1.150423339550813,-0.04425905958921781,0.7078327436586349,False,frontera_baja
0.965,carbon,3.300843652282098,0.4511880670924127,-0.028697265458054084,0.16421541251187188,False,frontera_alta
0.965,carbon,6.446106053473857,0.45158908046652085,-0.028578781885489703,0.16580126161162384,False,frontera_alta
0.965,carbon,9.591368454665616,0.45198942185114444,-0.028460298312925316,0.1673864387218913,False,frontera_alta
0.965,carbon,12.736630855857374,0.45238909124628346,-0.028341814740360936,0.16897094384267408,False,frontera_alta
0.965,carbon,15.881893257049132,0.4527880886519379,-0.02822333116779655,0.17055477697397242,False,frontera_alta
0.965,carbon,19.02715565824089,0.4531864140681078,-0.02810484759523216,0.17213793811578615,False,frontera_alta
0.965,carbon,22.17241805943265,0.45358406749479313,-0.02798636402266778,0.17372042726811532,False,frontera_alta
0.965,carbon,25.31768046062441,0.45398104893199387,-0.027867880450103393,0.17530224443095993,False,frontera_alta
0.965,carbon,28.462942861816167,0.4543773583797101,-0.027749396877539006,0.17688338960432004,False,frontera_alta
0.965,carbon,31.608205263007925,0.4547729958379417,-0.027630913304974625,0.17846386278819543,False,frontera_alta
0.965,carbon,34.75346766419968,0.4551679613066887,-0.027512429732410238,0.1800436639825863,False,frontera_alta
0.965,carbon,37.89873006539144,0.4555622547859512,-0.02739394615984585,0.1816227931874927,False,frontera_alta
0.965,carbon,41.043992466583205,0.45595587627572914,-0.02727546258728147,0.18320125040291446,False,frontera_alta
0.965,carbon,44.18925486777496,0.4563488257760224,-0.027156979014717083,0.18477903562885162,False,frontera_alta
0.965,carbon,47.33451726896672,0.4567411032868312,-0.027038495442152703,0.18635614886530416,False,frontera_alta
0.965,carbon,50.47977967015848,0.45713270880815543,-0.026920011869588315,0.18793259011227226,False,frontera_alta
0.965,carbon,53.62504207135024,0.4575236423399951,-0.026801528297023928,0.1895083593697558,False,frontera_alta
