dist,kpi,n_pares,dif_media_pp,ci_lo,ci_hi,p_pareado,smd_medio_post,dist_media_cerca,dist_media_lejos,subset
dist_total,recuperacion_refinada_pct,99,-0.6129321690708509,-1.7351138538391881,0.5853922894216875,0.3146065007652681,0.05554341322865653,0.11680538141926541,0.3827744330799031,DEV
dist_total,rendimiento_proxy_batch,99,-0.7394235017784295,-2.0419377689370894,0.4509900131341081,0.2363943439847325,0.05554341322865653,0.11680538141926541,0.3827744330799031,DEV
dist_total,recuperacion_refinada_pct_next,99,0.5434496552006397,-0.6808859067066046,1.669798355498506,0.3658107077499889,0.05554341322865653,0.11680538141926541,0.3827744330799031,DEV
dist_total,recuperacion_refinada_pct_media2,99,-0.03474125693510751,-0.8207510968866761,0.7941174569485127,0.9356108327268543,0.05554341322865653,0.11680538141926541,0.3827744330799031,DEV
dist_R,recuperacion_refinada_pct,99,0.13083546504172272,-0.9034380226587291,1.1377823469688892,0.8022322583763586,0.020396169200169928,0.08705962198711267,0.3956092449132848,DEV
dist_R,rendimiento_proxy_batch,99,0.049100339458979056,-1.0238940745335587,1.1690856500252826,0.9286429390618396,0.020396169200169928,0.08705962198711267,0.3956092449132848,DEV
dist_R,recuperacion_refinada_pct_next,99,0.8537632874583014,-0.2294251966548414,2.0398400459460175,0.18088264423671785,0.020396169200169928,0.08705962198711267,0.3956092449132848,DEV
dist_R,recuperacion_refinada_pct_media2,99,0.49229937625001113,-0.3359425284070306,1.3467686380774109,0.2568813096150764,0.020396169200169928,0.08705962198711267,0.3956092449132848,DEV
dist_F,recuperacion_refinada_pct,99,-0.2675296705634397,-1.4806629947579302,0.9928199630446924,0.6705533208921531,0.0517874004518622,0.09933519542288206,0.44900692872374487,DEV
dist_F,rendimiento_proxy_batch,99,-0.2378232259107363,-1.4574309864179635,0.9077941396275064,0.7107925187644708,0.0517874004518622,0.09933519542288206,0.44900692872374487,DEV
dist_F,recuperacion_refinada_pct_next,99,0.5993364037173752,-0.5795013097192214,1.7479353843368968,0.3382400718313618,0.0517874004518622,0.09933519542288206,0.44900692872374487,DEV
dist_F,recuperacion_refinada_pct_media2,99,0.16590336657696708,-0.6390541550846934,1.0103255344172801,0.6999220834897572,0.0517874004518622,0.09933519542288206,0.44900692872374487,DEV
dist_total,recuperacion_refinada_pct,21,-0.6110154328726667,-2.366941762832156,1.1583261509553555,0.5119087532103899,0.13882151856143285,0.23944879200201757,0.48023287792658564,LOCKBOX
dist_total,rendimiento_proxy_batch,21,-0.6376361246470249,-2.348580617288101,1.3563007489946934,0.505132145591577,0.13882151856143285,0.23944879200201757,0.48023287792658564,LOCKBOX
dist_total,recuperacion_refinada_pct_next,21,1.3810023121162303,-0.7374350940932595,3.531740847288774,0.2354891968661907,0.1397034893888876,0.23944879200201757,0.48023287792658564,LOCKBOX
dist_total,recuperacion_refinada_pct_media2,21,0.3849934396217791,-1.0658575421912422,1.899543402804056,0.6132794253354801,0.1397034893888876,0.23944879200201757,0.48023287792658564,LOCKBOX
dist_R,recuperacion_refinada_pct,21,-0.623109501616151,-2.438115360838479,1.125565989231677,0.5291854599285503,0.16571703767086077,0.11897626804297012,0.42586256471774336,LOCKBOX
dist_R,rendimiento_proxy_batch,21,-0.2948615486347032,-1.9605777324724143,1.563630494547223,0.7535900362081477,0.16571703767086077,0.11897626804297012,0.42586256471774336,LOCKBOX
dist_R,recuperacion_refinada_pct_next,21,-0.814651492977974,-2.8045140403678093,1.2197211262375154,0.47042483531454127,0.16571348195754548,0.11931039775125815,0.42586256471774336,LOCKBOX
dist_R,recuperacion_refinada_pct_media2,21,-0.45842493734202516,-2.027786134193691,1.2355331674890397,0.5864381920864694,0.16571348195754548,0.11931039775125815,0.42586256471774336,LOCKBOX
dist_F,recuperacion_refinada_pct,21,-0.3390092088520154,-1.9601773680050454,1.3939629205810167,0.7065391520973612,0.08433794317998083,0.28697984512831953,0.6234207487540627,LOCKBOX
dist_F,rendimiento_proxy_batch,21,-0.3938476669898658,-1.8488264611241936,1.4801293058937932,0.6676131144692076,0.08433794317998083,0.28697984512831953,0.6234207487540627,LOCKBOX
dist_F,recuperacion_refinada_pct_next,21,1.678919624380821,-0.8392631496708967,4.392285684042821,0.24749346726150323,0.08448311929182233,0.28697984512831953,0.6234207487540627,LOCKBOX
dist_F,recuperacion_refinada_pct_media2,21,0.6699552077644015,-0.7658202787533304,1.998402858109154,0.36382818127971106,0.08448311929182233,0.28697984512831953,0.6234207487540627,LOCKBOX
dist_total,recuperacion_refinada_pct,120,0.8302667760603567,-0.19516072882740235,1.7211070181547594,0.09627719028112064,0.05103597887984408,0.12503287717409522,0.4131860352752537,TOTAL
dist_total,rendimiento_proxy_batch,120,0.8323930328883359,-0.18115038189363403,1.809358772690231,0.10345339916892475,0.05103597887984408,0.12503287717409522,0.4131860352752537,TOTAL
dist_total,recuperacion_refinada_pct_next,120,2.916720994743053,1.7400874156029205,4.013129695752544,1.7784478904757084e-06,0.05416312163765208,0.12503287717409522,0.41309919584375765,TOTAL
dist_total,recuperacion_refinada_pct_media2,120,1.801927375546239,1.1086170872182435,2.5353695847064976,6.192456710615823e-06,0.05416312163765208,0.12503287717409522,0.41309919584375765,TOTAL
dist_R,recuperacion_refinada_pct,120,-0.0069727565497449484,-0.7965454533616543,0.7759489675124995,0.9868804606911955,0.020858269935395756,0.09126072682006074,0.40388073079361464,TOTAL
dist_R,rendimiento_proxy_batch,120,-0.06407418248351965,-0.9304612047996248,0.7707360141451178,0.8833534575823694,0.020858269935395756,0.09126072682006074,0.40388073079361464,TOTAL
dist_R,recuperacion_refinada_pct_next,120,0.31315134327179034,-0.7800731318675038,1.4441936477091384,0.5867051475700397,0.020885506640463715,0.09126072682006074,0.40388073079361464,TOTAL
dist_R,recuperacion_refinada_pct_media2,120,0.15308929336102212,-0.6149793609027064,0.8501951701539382,0.6907590922559511,0.020885506640463715,0.09126072682006074,0.40388073079361464,TOTAL
dist_F,recuperacion_refinada_pct,120,0.07332890505601425,-0.9911181445367866,1.0902229890635338,0.8914903593464596,0.04046470614093255,0.11057790911367378,0.5115553078304611,TOTAL
dist_F,rendimiento_proxy_batch,120,0.10115498629434529,-0.9672372293762085,1.1751081475461753,0.8511627253109001,0.04046470614093255,0.11057790911367378,0.5115553078304611,TOTAL
dist_F,recuperacion_refinada_pct_next,120,3.5312697621711737,2.4036053558871777,4.608352929874911,1.112154198063276e-08,0.041003509331364776,0.11057790911367378,0.5106318439063255,TOTAL
dist_F,recuperacion_refinada_pct_media2,120,1.759484020128869,0.9629258190547297,2.5925309164644847,5.133184240116475e-05,0.041003509331364776,0.11057790911367378,0.5106318439063255,TOTAL
