fase,clave,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota
Fusión,sn_dep,v5_ln_sn_dep,relacion_C_Sn_carga,8.455548918219417e-19,5e-324,0.4685729940919224,0.0404587573433231,3.421010018868375e-20,0.0,0.018957881065599456,False,1,,True
Fusión,sn_dep,v5_ln_sn_dep,tasa_gn_nm3_min,0.020109442575819675,0.006854762065553911,0.03513924613919814,1.4186094323804055,0.028527444917969907,0.009724230122918169,0.04984886601980323,True,1,True,False
Fusión,sn_dep,v5_ln_sn_dep,exceso_o2_combustion_pct,-1.804668188363672e-17,-2.5995015125745383e-13,-1.673151639186422e-34,2.9372008894392536,-5.300673008004503e-17,-7.635258154832619e-13,-4.914382482785104e-34,False,-1,,True
Fusión,sn_dep,v5_ln_sn_dep,tasa_aire_nm3_min,0.003725651820812128,-0.00022364968222947056,0.007748700915127793,5.502989964844227,0.02050222458243276,-0.0012307419569493768,0.042641023376527525,False,0,,False
Fusión,sn_dep,v5_ln_sn_dep,posicion_vertical_lanza_mm,-1.3704909503243798e-05,-5.301910582526958e-05,2.541986600396051e-05,1036.668981522918,-0.01420745457659151,-0.05496326243713803,0.026351986600774792,False,0,,False
Fusión,sn_dep,v5_ln_sn_dep,posicion_vertical_lanza_mm__sq,1.550731119447888e-08,-5.311731960641392e-09,3.8531142337708054e-08,1134747.8071411233,0.017596887372589905,-0.006027476194459239,0.04372312927435671,False,0,,False
Fusión,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,0.08715062455687696,1.0707511489922583e-27,0.9880387309374097,1.4912350039331133,0.12996206195384769,1.5967415938788558e-27,1.4733979408155164,False,1,True,False
Fusión,dT,d_temperatura_horno_celsius,tasa_o2_nm3_min,-0.3960663244119976,-0.8182271492832258,-0.09930771510976441,3.333177422863195,-1.3201593304864803,-2.7272962607645614,-0.3310102339199969,True,0,,False
Fusión,dT,d_temperatura_horno_celsius,tasa_aire_nm3_min,-1.761902979852797e-15,-0.23081184289191625,-5e-324,5.436636278274587,-9.578825659067816e-15,-1.2548400385216063,-2.5e-323,False,-1,,True
Fusión,dT,d_temperatura_horno_celsius,tasa_feed_Carbon_kg_min,0.03927368005317702,-0.12191701162442299,0.18194684566790384,7.185600688580564,0.2822049824332015,-0.8760469626781385,1.3073973795163514,False,0,,False
Fusión,dT,d_temperatura_horno_celsius,posicion_vertical_lanza_mm,-0.0009979119075270704,-0.0028212064040002917,0.0005869615880523525,1038.765237024117,-1.036596199151546,-2.9305711389453197,0.609715293137254,False,0,,False
Fusión,dT,d_temperatura_horno_celsius,posicion_vertical_lanza_mm__sq,-1.2496272473346542e-06,-2.2647147223051855e-06,-2.6147935395824903e-07,1141871.6360482993,-1.4269139093645542,-2.586013505141292,-0.29857585769715816,True,0,,False
Reducción,sn_dep,v5_ln_sn_dep,Cx_sn_v4,0.0005664857121028961,7.601122290591414e-15,0.000953317847044074,289.575269466238,0.16404025273096987,2.201097035543837e-12,0.2760572724447616,False,1,True,False
Reducción,sn_dep,v5_ln_sn_dep,tasa_gn_nm3_min,0.00862216674807306,4.239158461355601e-22,0.017292126908106425,4.953750794405029,0.04271206537775955,2.099973459554911e-21,0.08566088740798479,False,1,True,False
Reducción,sn_dep,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.00038707471367908095,-0.002364753459461267,-4.085559931946207e-29,10.775541433926714,-0.004170939615274256,-0.02548149888344642,-4.402412032747716e-28,False,-1,True,False
Reducción,sn_dep,v5_ln_sn_dep,tasa_aire_nm3_min,-0.0031729943797284,-0.006881372459829915,0.0006422702020853805,9.443953451940853,-0.02996561122542495,-0.06498736119610145,0.006065569892062978,False,0,,False
Reducción,sn_dep,v5_ln_sn_dep,posicion_vertical_lanza_mm,4.842512205456479e-06,-6.601908087253146e-05,6.760452237710849e-05,701.1958980079919,0.003395549694519717,-0.046292308698076934,0.04740401377761797,False,0,,False
Reducción,sn_dep,v5_ln_sn_dep,posicion_vertical_lanza_mm__sq,-3.709481560983108e-08,-6.584920745546372e-08,-1.1900529872525668e-08,1584203.7560677968,-0.058765746219736736,-0.1043185617850332,-0.018852864123252183,True,0,,False
Reducción,feo_ret,v5_ln_feo_ret,tasa_feed_Carbon_kg_min,-4.46518040458154e-29,-0.0008570319117070297,-5e-324,22.100435970604593,-9.868243362865263e-28,-0.01894077888944606,-1.1e-322,False,-1,,True
Reducción,feo_ret,v5_ln_feo_ret,Cx_av_v4,-5.899006478799184e-20,-0.0011494389166166147,-5e-324,17.275529018818933,-1.019084576066962e-18,-0.019857165359370123,-8.4e-323,False,-1,,True
Reducción,feo_ret,v5_ln_feo_ret,tasa_gn_nm3_min,-0.0040447273323498045,-0.006273173601389692,-0.0006013936903821885,4.953750794405029,-0.02003657123577958,-0.031075738711324845,-0.0029791544714809384,True,-1,True,False
Reducción,feo_ret,v5_ln_feo_ret,exceso_o2_combustion_pct,0.0001133277499895017,1.1695633291879266e-29,0.0007892507309246267,10.775541433926714,0.0012211678656255632,1.260267811326577e-28,0.00850460395283526,False,1,True,False
Reducción,feo_ret,v5_ln_feo_ret,tasa_aire_nm3_min,0.0008952597501409402,6.910469446336655e-20,0.0019343126354626897,9.443953451940853,0.008454791407727237,6.526215178226285e-19,0.018267558490810677,False,1,True,False
Reducción,feo_ret,v5_ln_feo_ret,posicion_vertical_lanza_mm,-1.0773776303538022e-05,-2.8303864990604276e-05,5.8104088901619605e-06,701.1958980079919,-0.007554527750096567,-0.019846554029183727,0.004074234879530735,False,0,,False
Reducción,feo_ret,v5_ln_feo_ret,posicion_vertical_lanza_mm__sq,8.917029828579209e-09,2.0198128503015495e-09,1.9613665189688054e-08,1584203.7560677968,0.014126392147403764,0.0031997951040017175,0.031072042063760012,True,0,,False
Reducción,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,0.4561673121226728,0.008177286138852265,0.8375188725131695,5.000946414336985,2.281268283897621,0.040894169795100764,4.18838700243429,True,1,True,False
