index,estado,parametrizacion,grupo,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel
0,FULL,P1_primitivas,Sn,v5_ln_sn_dep,tasa_feed_Carbon_kg_min,0.0034243894451535858,0.0002298548606251976,0.006843177292770298,22.108469641130863,0.07570801008758701,0.005081739207998547,0.15129217742608822,True,1.0,True,0.11160544447492415,0.21553704720709327
1,FULL,P1_primitivas,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.013236749304771997,0.0033188926120235373,0.02354579999486794,5.000761531384941,0.06619382672389017,0.01659699050100499,0.11774693084001935,True,1.0,True,0.09758005057151983,0.14911082773259507
2,FULL,P1_primitivas,Sn,v5_ln_sn_dep,tasa_o2_nm3_min,-0.0014790028216599654,-0.009340965656575936,0.006346359260207997,8.67694413104485,-0.01283322485320121,-0.08105103713211807,0.05506700473636392,False,0.0,,-0.018918180019936826,0.2006592769538272
3,FULL,P1_primitivas,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.0004991809028497638,-0.0013712168356849969,0.002312359731000793,10.15017572113512,0.005066773880559982,-0.01391809183398158,0.023470857600134787,False,0.0,,0.007469216934108116,0.05511715755330874
0,FULL,P2_cinetica_v4,Sn,v5_ln_sn_dep,Cx_sn_v4,0.0006315488155636443,2.2059926153294952e-05,0.0009588063637274952,289.575269466238,0.18288091844792576,0.006388009060245697,0.27764661114233324,True,1.0,True,0.26966851679411824,0.3999865350192423
1,FULL,P2_cinetica_v4,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.009231084680389997,-0.0019011274598210244,0.021802321384131504,4.953750794405029,0.04572849306870204,-0.009417711664353614,0.1080032668765152,False,1.0,True,0.06742931414453895,0.1731440403534851
2,FULL,P2_cinetica_v4,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.00036884524416249927,-0.0022676270666469396,0.0017800491422363526,10.775541433926714,-0.003974507211179827,-0.02443490941334779,0.019180993286593524,False,-1.0,True,-0.005860641305405406,0.06431417716812737
3,FULL,P2_cinetica_v4,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.0009046620220491772,-0.001187857199068492,0.0027455149029673638,9.443953451940853,0.00854358602597112,-0.011218068095555679,0.025928514945233693,False,0.0,,0.012598012910694227,0.05477479027114341
0,FULL,P3_dosis_sobrante,Sn,v5_ln_sn_dep,v5_dosis_C_sn,0.07531350545546438,-0.14083818898326458,0.2762408586366984,0.17617565474733138,0.01326840613493315,-0.02481226015755503,0.04866691413828535,False,1.0,True,0.01956503408335756,0.10834930246294655
1,FULL,P3_dosis_sobrante,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.009878014776772494,-0.001202162088208919,0.0223739020848944,4.953750794405029,0.04893322354758136,-0.005955211399468541,0.11083473522698598,False,1.0,True,0.07215487503027111,0.17221354721153215
