fase,target,columna,forma,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,sd_target_lockbox
Fusión,sn_dep,v5_ln_sn_dep,PLM_v5,24,6,1407,313,0.17912003119423947,0.14689971352463016,-0.3825256408899371,0.1475038946503399,0.23793789988959238,0.17591700807229552
Fusión,sn_dep,v5_ln_sn_dep,HGB_estado+palancas_ref,24,6,1407,313,0.15039787825707063,0.1519411188395522,-0.4085021210056703,0.1490583003049541,0.23793789988959238,0.17591700807229552
Fusión,dT,d_temperatura_horno_celsius,PLM_v5,8,6,1482,314,0.484547406108947,9.010952367679051,0.0716786890383434,6.970007979762577,17.18533679373835,9.183425574197875
Fusión,dT,d_temperatura_horno_celsius,HGB_estado+palancas_ref,8,6,1482,314,0.46441620858505994,9.285652774706104,-0.01739068179718939,7.298709301687665,17.18533679373835,9.183425574197875
Reducción,sn_dep,v5_ln_sn_dep,PLM_v5,37,6,1015,242,0.7665125789182745,0.24357080222051422,0.8018023287151433,0.22865259694063605,0.6781693340478023,0.7152165295134604
Reducción,sn_dep,v5_ln_sn_dep,HGB_estado+palancas_ref,37,6,1015,242,0.7648165980706736,0.24546536942735106,0.7943499084296104,0.22854702712510425,0.6781693340478023,0.7152165295134604
Reducción,feo_ret,v5_ln_feo_ret,PLM_v5,37,7,1015,242,0.16902589885318486,0.0640709341686502,0.17531949521343926,0.054486945936760935,0.10905280813016531,0.07775480378520355
Reducción,feo_ret,v5_ln_feo_ret,HGB_estado+palancas_ref,37,7,1015,242,0.16601372234621237,0.06472699647531516,0.19579278874772676,0.051847207569060895,0.10905280813016531,0.07775480378520355
Reducción,dT,d_temperatura_horno_celsius,PLM_v5,6,6,1183,252,0.4673033231750312,9.23000250515445,0.47092422249438837,6.346484103282258,17.534419817786862,11.29939684249102
Reducción,dT,d_temperatura_horno_celsius,HGB_estado+palancas_ref,6,6,1183,252,0.4510063561182047,9.279927596413456,0.35923143112499634,7.032990604633708,17.534419817786862,11.29939684249102
