index,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel,palancas_label
0,v5_d_lnirf,tasa_feed_Carbon_kg_min,0.0006005914135805641,1.51975545018714e-05,0.0013011105851611817,7.197559295956057,0.004322792311888178,0.00010938529968074331,0.009364820587293689,True,-1,False,0.0642387935017862,0.1375402640961977,a_primitivas
1,v5_d_lnirf,tasa_gn_nm3_min,-0.0026964347507185305,-0.0070216269123722745,0.0014009739225281138,1.4860398706709945,-0.004007009548230541,-0.01043441754876167,0.0020819031066471143,False,-1,True,-0.0595461082459531,0.18599860459956902,a_primitivas
2,v5_d_lnirf,tasa_o2_nm3_min,0.0007660776274358087,-0.0018413904851880389,0.0033136333785178653,3.314416115642259,0.0025391000342062306,-0.006103134299297554,0.010982759871089718,False,1,True,0.03773225984722525,0.25390468665043575,a_primitivas
3,v5_d_lnirf,tasa_aire_nm3_min,0.00010449697286439488,-0.0008128642296282784,0.0009824842790247341,5.456947962638289,0.0005702345431742281,-0.004435757801771576,0.005361365584748171,False,0,,0.00847396229650327,0.14559001236477687,a_primitivas
0,v5_d_lnirf,relacion_C_Sn_carga,0.05512366469923677,-0.057227169484728196,0.16876796347578307,0.04053955403787795,0.002234688783840574,-0.002319963929760939,0.00684177797518912,False,0,,0.03320856080249404,0.13614793491933377,b_derivadas
1,v5_d_lnirf,tasa_gn_nm3_min,-0.0009535181550891305,-0.004621786716051082,0.0023929372476359243,1.4860398706709945,-0.0014169659958710968,-0.0068681593337894704,0.0035560001580006947,False,-1,True,-0.021056802973737413,0.15490807346474134,b_derivadas
2,v5_d_lnirf,exceso_o2_combustion_pct,0.0004029069851456305,-0.000824980239376842,0.0015924138159906173,2.93869281619351,0.0011840198628416496,-0.002424363502958328,0.004679615041458921,False,1,True,0.01759511028598902,0.10556857184670228,b_derivadas
3,v5_d_lnirf,tasa_aire_nm3_min,8.618311095891402e-07,-0.0008498202733335893,0.0008213799792164687,5.456947962638289,4.702967517610754e-06,-0.004637425009176444,0.004482227804137188,False,0,,6.988838172459957e-05,0.13552247057331965,b_derivadas
0,v5_d_lnirf,relacion_C_Sn_carga,0.09690312735012781,-0.019101897790047114,0.22096371320859484,0.040445873327768576,0.003919331613867896,-0.0007725929383362281,0.008937070354468212,False,0,,0.05750057447353532,0.14245061971928163,c_termicas
1,v5_d_lnirf,v5_gn_esp_nm3_t,-3.91850981685527e-05,-0.0007385507250409417,0.0008440236453410569,18.422402729885366,-0.0007218836594711713,-0.01360587889315306,0.015548943508018885,False,0,,-0.010590766286725692,0.42773084849711535,c_termicas
2,v5_d_lnirf,exceso_o2_combustion_pct,0.0003770529966263292,-0.0006036768344937424,0.0014335080346921103,2.9362282537554094,0.0011071136618573708,-0.0017725329775781546,0.004209106793448364,False,1,True,0.016242481585137913,0.08775672921137113,c_termicas
0,v5_ln_sn_dep,tasa_feed_Carbon_kg_min,0.0002847371774359397,-0.0029822409033553013,0.0032743055319938747,7.169336338507451,0.0020413765931155264,-0.021380688078608448,0.023474597633899655,False,1,True,0.008579451167984434,0.18851677573569317,a_primitivas
1,v5_ln_sn_dep,tasa_gn_nm3_min,-0.0010566220916090937,-0.026355247281508006,0.028359899451688982,1.4186094323804055,-0.0014989340656181732,-0.037387802386265295,0.04023162086352588,False,1,False,-0.006299686037044567,0.32621714861654255,a_primitivas
2,v5_ln_sn_dep,tasa_o2_nm3_min,0.016667667781465723,0.0026751406836774028,0.030682407839664937,3.060481133729443,0.05101108278844592,0.008187217592466775,0.09390293033068689,True,0,,0.21438821983431816,0.360244050140788,a_primitivas
3,v5_ln_sn_dep,tasa_aire_nm3_min,0.00399198322984594,-0.00016194360279827782,0.008999285971123663,5.502989964844227,0.021967843653668655,-0.0008911740210696423,0.04952298038985695,False,0,,0.09232595422529216,0.21187946281075734,a_primitivas
