tipo_tramo,tramo,target,index,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel,r2_oof,n_dev,n_lockbox
avance,<0.84,v5_ln_sn_dep,0,v5_dosis_C_sn,2.501385449198564,-0.5409321908170533,5.743575726499817,0.034807370190023404,0.0870666493181924,-0.018828427013469554,0.19991876652671173,False,1,True,0.20720145554155248,0.5205751829441855,-0.060502612952494816,229,49
avance,<0.84,v5_ln_sn_dep,1,tasa_gn_nm3_min,0.060865208860528854,0.014463036340639276,0.11075440238506924,2.6877724101183333,0.16359182911141937,0.038873350042909066,0.29768262702973325,True,1,True,0.38931629242689153,0.6159150411697516,-0.060502612952494816,229,49
avance,<0.84,v5_ln_sn_dep,2,exceso_o2_combustion_pct,0.007212956281731894,-0.0014300096566781679,0.01851566852777024,9.059950783344588,0.06534902891490714,-0.012955817109211693,0.1677510455823207,False,-1,False,0.1555178017694373,0.43004669720544075,-0.060502612952494816,229,49
avance,<0.84,v5_ln_sn_dep,3,tasa_aire_nm3_min,-0.009546011508877641,-0.019349752713939242,-0.001516750348173212,10.127552887382713,-0.09667773641972237,-0.19596564396819685,-0.015360969368080348,True,0,,-0.23007394750452898,0.4298035096997058,-0.060502612952494816,229,49
avance,0.84-0.96,v5_ln_sn_dep,0,v5_dosis_C_sn,0.32578766190230896,-0.1839439585780881,0.7183814079482246,0.10883246353880287,0.03545627383537488,-0.02001907416513284,0.07818321838747902,False,1,True,0.07087183514393203,0.19629182470948464,0.5903608681023939,179,34
avance,0.84-0.96,v5_ln_sn_dep,1,tasa_gn_nm3_min,0.010740965700495871,-0.01649071822271734,0.04027122870873759,3.551773254140786,0.03814947469866479,-0.058571291925019524,0.14303427303908076,False,1,True,0.07625514441322541,0.402979637132079,0.5903608681023939,179,34
avance,0.84-0.96,v5_ln_sn_dep,2,exceso_o2_combustion_pct,-0.0018829680975314296,-0.010968193636318933,0.00611844176820464,8.454612394510857,-0.015919765415857753,-0.09273182586301715,0.051729053608555876,False,-1,True,-0.03182125102376292,0.2887558823071265,0.5903608681023939,179,34
avance,0.84-0.96,v5_ln_sn_dep,3,tasa_aire_nm3_min,0.0004757030454929194,-0.004248224586026132,0.0049619943552804135,11.363568752365406,0.0054056842631683985,-0.04827499215879702,0.05638596400507804,False,0,,0.010805161470667207,0.20920173579695123,0.5903608681023939,179,34
avance,0.96-0.975,v5_ln_sn_dep,0,v5_dosis_C_sn,0.14602559877981472,-0.22196660525657094,0.5625996015401296,0.1915222920744628,0.027967157379855993,-0.04251155300272597,0.1077503652071451,False,1,True,0.09605940356425255,0.5161078777372345,-0.22928633544480737,256,53
avance,0.96-0.975,v5_ln_sn_dep,1,tasa_gn_nm3_min,0.011892642722518103,-0.0053658050313641235,0.02662322196069296,3.9789494641346197,0.04732022438790789,-0.021350267054197125,0.1059324547540363,False,1,True,0.1625318036256009,0.43718073220198467,-0.22928633544480737,256,53
