Batch,fase,orden_escalon_fase,avance_reduccion_sn_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,real_d_lnirf,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_sn_dep_hist,pred_sn_dep_rec,pred_dT_hist,pred_dT_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,hist_derivada__v5_dosis_C_sn,rec_derivada__v5_dosis_C_sn,hist_derivada__v5_exceso_C_pos,rec_derivada__v5_exceso_C_pos,pred_feo_ret_hist,pred_feo_ret_rec,fold,es_lockbox
AP0300,Fusión,1,0.9193543890687114,7.7087,0.6128360184196074,,-0.0017746491139085663,1017.4705948569814,1038.0332997075034,1038.719328414545,0.3125581852183991,0.3153299073013177,-278.1227613062926,-275.3404022484354,2.7823590578572066,0.7111058938187758,0.6920894239779948,8.482754589271776,9.168783296313547,0.0,0.0,-163.99879676195516,-159.61312340492503,-89.43675375648782,-91.04006805566075,-0.0,-0.0,-24.687210787849626,-24.687210787849626,-0.0,-0.0,35.0,35.0,171.58806287977433,171.58806287977433,46.99937891077113,46.99937891077113,57.02610654477714,57.02610654477714,69.3266402633102,69.3266402633102,100.82389486365848,100.82389486365848,42.31676714861834,42.31676714861834,22.427045299388748,24.328760902215688,31.370890192909844,30.446229679388786,49.28568508572049,47.131986609785876,119.78614873976936,119.8991252971955,18.646260694725935,18.751654447298023,0.12734517609687623,0.1381434914832894,0.12047807373738868,0.13069408880162772,0.0,0.0,,,-1,True
AP0300,Fusión,2,0.6644591329840829,24.1352,0.5224211138931488,,0.023496245891436507,1031.2028669224906,1023.6018492781525,1023.9931306744492,0.43750263343121554,0.44099581597625465,-291.8539126945429,-288.48997610077913,3.3639365937637535,0.5776592449447828,0.570569291270203,6.131254421171119,6.522535817467755,0.0,0.0,-133.22266336539053,-131.58754279919054,-133.94403854130275,-132.21522251373895,-0.0,-0.0,-24.687210787849626,-24.687210787849626,-0.0,-0.0,40.0,40.0,171.6481322249746,171.6481322249746,46.98757234899009,46.98757234899009,59.04759610804125,59.04759610804125,73.57425834841844,73.57425834841844,91.75033218373271,91.75033218373271,40.714751849911075,40.714751849911075,38.18617226205221,37.853731012400914,31.422736443413623,30.93432419611263,49.66102571275499,48.46642863400488,119.54199110243056,120.48370935789306,18.966156844587182,19.23326194472432,0.21799697644648486,0.21609913796262897,0.14496329514257442,0.14370127341753608,0.0,0.0,,,-1,True
AP0300,Fusión,3,0.6434580163212094,25.1584,0.5139154953728422,,0.03496182705655393,1025.5924629240774,1036.854933689147,1037.4544406293837,0.3631576275582837,0.36931733750551426,-307.8103989206296,-299.6761918089567,8.134207111672936,0.5344244286567491,0.5219246062657584,5.652066766656433,6.25157370689326,0.0,0.0,-123.25163385896276,-120.36886232004053,-159.87155427381725,-154.62011870106656,-0.0,-0.0,-24.687210787849626,-24.687210787849626,-0.0,-0.0,45.0,45.0,171.4318745046422,171.4318745046422,47.01585083007812,47.01585083007812,58.41604817708333,58.41604817708333,68.31639227383378,68.31639227383378,96.67908422497734,96.67908422497734,39.150152676347375,39.150152676347375,41.71717122395833,40.117568024210186,31.866102008584104,31.23415495508179,51.085958462938855,49.30995879385162,119.92204843026622,120.14754767818944,19.671977157339835,19.326013323346857,0.23876528940623898,0.22961007322744714,0.1330304181013153,0.12792949979320892,0.0,0.0,,,-1,True
AP0300,Fusión,4,0.6675476562631051,23.688,0.5501367320306618,,0.09114198786706162,1026.178331510656,1021.8223121517764,1021.8223121517764,0.400127501980861,0.400127501980861,-324.1001832532173,-324.1001832532173,0.0,0.5006607906643689,0.5006607906643689,-3.7701507723009753,-3.7701507723009753,0.0,0.0,-115.46489484697007,-115.46489484697007,-183.94807761839766,-183.94807761839766,-0.0,-0.0,-24.687210787849626,-24.687210787849626,-0.0,-0.0,50.0,50.0,171.5265660105188,171.5265660105188,47.00796887765524,47.00796887765524,58.160406494140595,58.160406494140595,61.71154641544119,61.71154641544119,93.75269480187907,93.75269480187907,39.18221228107129,39.18221228107129,44.62038997076696,44.62038997076696,31.422423556857645,31.422423556857645,50.52693471238765,50.52693471238765,119.68884176974827,119.68884176974827,20.39426454030209,20.39426454030209,0.2606277797450876,0.2606277797450876,0.13122859151784855,0.13122859151784855,0.0,0.0,,,-1,True
AP0300,Fusión,5,0.7111207942208859,21.3141,0.3573138140750781,,0.011570295127613761,1026.8515239043306,1024.42326271331,1025.3951599377817,0.4459213673184693,0.4739072554514997,-380.6846712541496,-352.85784372463445,27.82682752951513,0.5564649967724373,0.5271166329574091,-1.75506879734626,-0.783171572874482,0.0,0.0,-128.33473988064338,-121.56627347580248,-227.6627205856566,-206.60435946098238,-0.0,-0.0,-24.687210787849626,-24.687210787849626,-0.0,-0.0,55.0,55.0,171.34261358351938,171.34261358351938,46.97340356735956,46.97340356735956,58.37967899867473,58.37967899867473,68.27450772240049,68.27450772240049,91.97047544206893,91.97047544206893,39.12431110200428,39.12431110200428,53.274930463518416,47.05122805458944,32.10600744998817,30.699725116885233,51.23954457909171,48.288974305455994,120.70286275844381,120.74724152332338,19.272297992307873,19.945528412643252,0.30804972874269987,0.27206263646186196,0.15166857597657749,0.13395029697646418,0.0,0.0,,,-1,True
AP0300,Fusión,6,0.6890401212881445,22.591,0.4136032541336144,,0.005159420824601302,1017.8071635685875,1029.7432309612916,1029.937850760142,0.32974334709788317,0.3562516001137268,-411.84860697566995,-375.1294989235734,36.719108052096544,0.804713738109384,0.7867337153164374,2.8917070569610557,3.0863268558115338,0.0,0.0,-185.58710585147668,-181.44046309485338,-201.57429033634367,-169.00182504087041,-0.0,-0.0,-24.68721078784962,-24.68721078784962,-0.0,-0.0,47.0,47.0,171.60603931583958,171.60603931583958,39.591935019521735,39.591935019521735,57.528110637635955,57.528110637635955,64.90307779876201,64.90307779876201,110.22383064767715,110.22383064767715,33.45759132892584,33.45759132892584,56.270447616312396,43.19293470253659,32.10701983534973,31.027546724626976,51.20817121311999,50.53103746422419,119.65717284499229,121.04892762647046,18.877706342776907,22.39335732834369,0.32351438577343256,0.24832814260379685,0.12193356745771311,0.09359564105762638,0.0,0.0,,,-1,True
AP0300,Reducción,0,0.7158866290076191,21.1968,0.9058692421419755,-0.030199510356104534,-0.0019831220173041064,989.2195439261479,1009.4147328433405,1009.8712075942914,0.2966162854588315,0.2932562127160945,359.90016901936724,376.4296870943415,16.52951807497425,1.7850873141767791,1.8180003905526918,-8.39243072524698,-7.935955974296136,1943.1567958471328,1978.9843251361326,-942.2659083496756,-949.8110395502946,-128.6332033849833,-133.6659379129159,-0.0,-0.0,-512.3575150931067,-512.3575150931067,-0.0,-6.7201454854740605,30.0,30.0,,,,,,,17.315701307082787,17.315701307082787,41.65549201438194,41.65549201438194,,,62.9648419123824,66.2093830330141,27.554672828956882,27.787559354524834,31.28911656782835,31.14353314774124,121.10991988570602,120.82344918469832,2.9266435060298033,1.6938133275186993,2.9620795939262887,3.1147138061816193,0.12143309034827009,0.12769046578309773,0.0,0.0,-0.14331384820345122,-0.14446142425176067,-1,True
AP0300,Reducción,1,0.8803569832468461,10.2621,1.5367632346701037,-0.2500499168216325,-0.1311398332788829,971.3269080382461,980.8204303223699,980.8204303223699,0.16055958605610587,0.16055958605610587,106.89455831800421,106.89455831800421,0.0,1.2066377373899178,1.2066377373899178,-8.399113603778046,-8.399113603778046,1313.4855090357948,1313.4855090357948,-632.2163872959256,-632.2163872959256,-62.01704832875831,-62.01704832875831,-0.0,-0.0,-512.3575150931067,-512.3575150931067,-0.0,-0.0,25.0,25.0,,,,,,,0.007091059865669229,0.007091059865669229,0.036841786333469136,0.036841786333469136,,,32.39840025290465,32.39840025290465,20.380081386990017,20.380081386990017,24.935947889539936,24.935947889539936,125.1510576171875,125.1510576171875,25.656195911575242,25.656195911575242,,,0.12678345509581673,0.12678345509581673,0.0,0.0,-0.09615689430954016,-0.09615689430954016,-1,True
AP0300,Reducción,2,0.9742662419583616,2.6968,0.25081513940306305,0.01711031385690719,0.0004994228708818937,952.8401781003836,962.7927059740614,962.7927059740614,0.2341133657291595,0.2341133657291595,19.073346728974116,19.073346728974116,0.0,0.26190645133866497,0.26190645133866497,-8.534202064184695,-8.534202064184695,285.0982676047037,285.0982676047037,268.2911853356656,268.2911853356656,-21.958591118288517,-21.958591118288517,-0.0,-0.0,-512.3575150931067,-512.3575150931067,-0.0,-0.0,20.0,20.0,,,,,,,1.0419830983097304e-25,1.0419830983097304e-25,2.3451857290018502e-22,2.3451857290018502e-22,,,10.781295376732235,10.781295376732235,13.150246344672308,13.150246344672308,16.435739673764477,16.435739673764477,124.0097675238715,124.0097675238715,61.509487124501476,61.509487124501476,,,0.15693063812481306,0.15693063812481306,0.0,0.0,0.040805723595436307,0.040805723595436307,-1,True
AP0300,Reducción,3,0.9799748589887395,2.059,0.07476785618877634,-0.03584733186774013,-0.06558119185980527,953.2547334986461,952.5063875264653,952.6989963968508,0.39432128466476507,0.42631233207018965,-357.335090161892,-313.8625602479905,43.47252991390155,0.28343240592823166,0.2583157752033861,-0.33379057391825956,-0.1411817035327234,308.53034547317657,281.1896370976459,-141.2884710427711,-73.45741163157332,-12.219449499190802,-9.237270620956352,-0.0,-0.0,-512.3575150931067,-512.3575150931067,-0.0,-0.0,13.0,13.0,,,,,,,1.0419830987949414e-25,1.0419830987949414e-25,3.369192531880002e-22,3.369192531880002e-22,,,5.774434502718522,3.294660545117927,17.33236644280408,14.996338153541869,13.126493536385931,9.593610667295152,120.50164135928132,120.72947225501485,10.867256207218162,16.517777483546734,,,0.07020810364303952,0.04005792583003134,0.0,0.0,-0.021489257238846367,-0.01117249838575183,-1,True
