target,tipo,k,features,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,theta_v5_dosis_C_sn,theta_lo_v5_dosis_C_sn,theta_hi_v5_dosis_C_sn,theta_tasa_gn_nm3_min,theta_lo_tasa_gn_nm3_min,theta_hi_tasa_gn_nm3_min,theta_exceso_o2_combustion_pct,theta_lo_exceso_o2_combustion_pct,theta_hi_exceso_o2_combustion_pct,theta_tasa_aire_nm3_min,theta_lo_tasa_aire_nm3_min,theta_hi_tasa_aire_nm3_min,fase,parametrizacion,theta_v5_exceso_C_pos,theta_lo_v5_exceso_C_pos,theta_hi_v5_exceso_C_pos,theta_v5_C_x_avance,theta_lo_v5_C_x_avance,theta_hi_v5_C_x_avance,theta_relacion_C_Sn_carga,theta_lo_relacion_C_Sn_carga,theta_hi_relacion_C_Sn_carga
v5_ln_sn_dep,eliminacion,7,ley_sn_escoria_pct_prev;interaccion_Sn_x_FeO_prev;tiro_horno_pct_prev;posicion_vertical_lanza_mm_prev;cum_aire_nm3_prev;sn_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev,1039,242,0.7638008702891262,0.24708353334179742,0.8171549748977416,0.2239548299048821,0.018101127253038297,,,0.052745158384028885,,,-0.008793163700641206,,,0.008224006052652786,,,Reducción,P3,,,,,,,,,
v5_ln_sn_dep,eliminacion,5,ley_sn_escoria_pct_prev;interaccion_Sn_x_FeO_prev;posicion_vertical_lanza_mm_prev;cum_aire_nm3_prev;sn_inventario_escoria_est_kg_prev,1040,242,0.764355000699593,0.24887868880806546,0.8031587307086563,0.236711574124882,0.009587375154092788,,,0.040100139569531665,,,-0.013806728923346454,,,0.016458689749437146,,,Reducción,P3,,,,,,,,,
v5_ln_sn_dep,curado,20,ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;indice_irf_prev;basicidad_B2_prev;log_ratio_sn_feo_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;termocupla_media_celsius_prev;posicion_vertical_lanza_mm_prev;tiro_horno_pct_prev;masa_escoria_est_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;orden_escalon_fase;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct,1039,242,0.7602745539845867,0.24683388762800992,0.8021655080757059,0.23243270360421786,0.01646893878808427,,,0.032968213634011916,,,-0.010215295583759552,,,0.017511896843175744,,,Reducción,P3,,,,,,,,,
v5_ln_feo_ret,eliminacion,37,ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;ratio_sn_sio2_prev;log_ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;termocupla_media_celsius_prev;tiro_horno_pct_prev;posicion_vertical_lanza_mm_prev;temperatura_gas_pre_bhf_celsius_prev;cum_feed_Sn_kg_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;cum_aire_nm3_prev;relacion_C_cum_Sn_cum_prev;masa_escoria_est_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;orden_escalon_fase;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct,1015,242,0.16534675020053113,0.06448097246373573,0.18965616759984227,0.0540252140343453,,,,-0.020772515769942716,,,0.0008689687312162973,,,0.0023996570846336364,,,Reducción,P3,0.002470942124736542,,,-0.0031507160018531674,,,,,
v5_ln_feo_ret,eliminacion,34,ley_sn_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;ratio_sn_sio2_prev;log_ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;posicion_vertical_lanza_mm_prev;temperatura_gas_pre_bhf_celsius_prev;cum_feed_Sn_kg_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;cum_aire_nm3_prev;relacion_C_cum_Sn_cum_prev;masa_escoria_est_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;orden_escalon_fase;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct,1015,242,0.17212929180698477,0.06413846445064178,0.16914824198703948,0.0540381829332538,,,,-0.019365696254416632,,,0.002655478643830993,,,0.0016869691147718448,,,Reducción,P3,0.00037148748701890105,,,0.00231489930910114,,,,,
v5_ln_feo_ret,eliminacion,31,ley_sn_escoria_pct_prev;ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;ratio_sn_sio2_prev;log_ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;posicion_vertical_lanza_mm_prev;temperatura_gas_pre_bhf_celsius_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;cum_aire_nm3_prev;masa_escoria_est_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;orden_escalon_fase;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct,1015,242,0.17283633740645044,0.06436155764399429,0.22067798186054577,0.052271281982290335,,,,-0.018696966282010615,,,0.0023288457015531085,,,0.002150501117766331,,,Reducción,P3,9.864515177978119e-06,,,0.004219009678138839,,,,,
v5_ln_feo_ret,eliminacion,28,ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;ratio_sn_sio2_prev;log_ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;posicion_vertical_lanza_mm_prev;temperatura_gas_pre_bhf_celsius_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;masa_escoria_est_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;orden_escalon_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct,1015,242,0.18194118451137264,0.06378378300931473,0.22271069911705244,0.05153014023387313,,,,-0.023947531804831706,,,0.000766587736452527,,,0.004194223828186584,,,Reducción,P3,0.003571200202078914,,,-0.004208583576314522,,,,,
v5_ln_feo_ret,eliminacion,25,ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;log_ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;masa_escoria_est_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;orden_escalon_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct,1015,242,0.20137137053688514,0.0635495252834862,0.1586578234675664,0.055035340195982795,,,,-0.021711686264961182,,,0.0023010690046514305,,,0.0031860214705477495,,,Reducción,P3,0.0030166674719688366,,,0.003729135497097553,,,,,
v5_ln_feo_ret,eliminacion,22,ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;masa_escoria_est_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_pellets_batch_pct,1015,242,0.19866396249447027,0.06368350191354318,0.2142052005524916,0.052786981269295,,,,-0.006871939289577093,,,0.005507814027387871,,,0.0005631340720500958,,,Reducción,P3,0.007133456521248677,,,0.0022600523729878613,,,,,
v5_ln_feo_ret,eliminacion,19,ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;sn_inventario_escoria_est_kg_prev;feo_inventario_escoria_est_kg_prev;avance_reduccion_sn_prev;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_pellets_batch_pct,1015,242,0.19250679664764347,0.06362526163057082,0.21861764764743274,0.0539464249691023,,,,-0.0064261363624761245,,,0.006199156227731085,,,-0.0004832406655947496,,,Reducción,P3,0.004548012927175461,,,0.004608816234729778,,,,,
