fase,target,palanca,theta_lineal,ci_lo_lineal,ci_hi_lineal,theta_lineal_en_modelo_cuad,ci_lo_lin_cuad,ci_hi_lin_cuad,theta_cuadratico,ci_lo_cuad,ci_hi_cuad,cuadratico_significativo,r2_oof_lineal,r2_oof_lineal_cuad,r2_lockbox_lineal,r2_lockbox_lineal_cuad,media_dev,p5_dev,p95_dev,vertice,vertice_ci_lo,vertice_ci_hi,vertice_dentro_p5_p95,n_dev
Reducción,v5_ln_sn_dep,v5_dosis_C_sn,0.09299330215993658,-0.06710848444139711,0.24204927497319637,0.15786065453528741,-0.12058394607714676,0.4350465449332697,-0.0802978135755102,-0.31789844993131444,0.3375702253071775,False,0.7602745539845867,0.7585837111838023,0.8021655080757059,0.8008258170347934,0.24090482510742067,0.05824500684017823,0.5903801251386168,,,,,1039
Reducción,v5_ln_sn_dep,tasa_gn_nm3_min,0.00666128354485669,-0.002556020488345501,0.01637724702285621,0.005890288865587282,-0.004035811747111405,0.016400023320799925,0.00031241956558481236,-0.0007600447239179521,0.0015272319326395873,False,0.7602745539845867,0.7585837111838023,0.8021655080757059,0.8008258170347934,22.32920259563,14.898981991238063,29.183308863887078,,,,,1039
Reducción,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.000909213533208433,-0.002747200721399012,0.0007811603725919724,-0.0022159304134697906,-0.005936623375980922,0.0009320792179458242,1.274996159742847e-05,-2.6577123271075825e-05,6.122298287936528e-05,False,0.7602745539845867,0.7585837111838023,0.8021655080757059,0.8008258170347934,-1.8069014190970223,-6.925424520955658,16.905717707877045,,,,,1039
Reducción,v5_ln_sn_dep,tasa_aire_nm3_min,0.0017628621241755071,-0.000304065815970538,0.0033266701964178905,-0.00013880118190554046,-0.0033117125938790975,0.0027860715648516036,-3.9097200589791395e-05,-8.897066851239675e-05,-3.713490415388315e-06,True,0.7602745539845867,0.7585837111838023,0.8021655080757059,0.8008258170347934,118.77466371170395,109.27002558203098,125.48179608832464,116.99958544763787,87.75754446747115,260.3247405416848,True,1039
Reducción,v5_ln_feo_ret,v5_exceso_C_pos,-3.353225400827413e-05,-9.543136250051694e-05,3.789437559760906e-05,-4.979303959634065e-05,-0.0001237348750698934,3.3557688062767784e-05,1.5809026279134885e-08,-5.924019160821425e-08,1.1090874494632408e-07,False,0.2031900540327456,0.190716294246984,0.15124216131810464,0.14629735095343055,139.6540273134492,0.0,603.8467020809729,,,,,1039
Reducción,v5_ln_feo_ret,v5_C_x_avance,3.9035594413579774e-05,-1.3484406971945232e-05,8.732180542606083e-05,5.8671877641651724e-05,-1.507750599845051e-05,0.00012086829638417099,-2.820808983248856e-08,-9.402456788548398e-08,4.119417760590661e-08,False,0.2031900540327456,0.190716294246984,0.15124216131810464,0.14629735095343055,676.1732656965805,53.98433216795018,1599.8238729823076,,,,,1039
Reducción,v5_ln_feo_ret,tasa_gn_nm3_min,-0.002673527314803731,-0.005397773979825678,0.00021936152347453678,-0.0024837329438305907,-0.005074617663090457,0.00013902558515322636,7.457999219841596e-05,-0.00022428003726880514,0.0004121975215129113,False,0.2031900540327456,0.190716294246984,0.15124216131810464,0.14629735095343055,22.32920259563,14.898981991238063,29.183308863887078,,,,,1039
Reducción,v5_ln_feo_ret,exceso_o2_combustion_pct,-9.073072111380216e-06,-0.0006165842401792933,0.0007664100059544875,0.00042373284518801063,-0.0003912947570383251,0.001425013813860467,-9.249386037745962e-06,-2.4606460968847384e-05,4.5362728919768095e-06,False,0.2031900540327456,0.190716294246984,0.15124216131810464,0.14629735095343055,-1.8069014190970223,-6.925424520955658,16.905717707877045,,,,,1039
Reducción,v5_ln_feo_ret,tasa_aire_nm3_min,0.00017952165055783132,-0.0003112768057203183,0.0008879699087777161,0.0003711515680749083,-0.0006403245537696288,0.001493845059977733,6.273887245767932e-06,-2.1102132004801423e-05,2.5817831509905235e-05,False,0.2031900540327456,0.190716294246984,0.15124216131810464,0.14629735095343055,118.77466371170395,109.27002558203098,125.48179608832464,,,,,1039
Fusión,v5_d_lnirf,relacion_C_Sn_carga,0.05512366469923677,-0.057227169484728196,0.16876796347578307,0.08319598463690615,-0.0369836989963399,0.20548529269993338,-0.708337967149652,-2.0461063869333422,0.4210013127098983,False,0.2814374102545065,0.27521227902339607,0.03891885038567866,0.038427188815228774,0.30171308899733995,0.23425741080393508,0.36934980538878237,,,,,1470
Fusión,v5_d_lnirf,tasa_gn_nm3_min,-0.0009535181550891305,-0.004621786716051082,0.0023929372476359243,-0.0022876794526166494,-0.006673767980164837,0.0009311916092014538,-0.0001724997256669541,-0.000843657001271126,0.0003267943462834306,False,0.2814374102545065,0.27521227902339607,0.03891885038567866,0.038427188815228774,30.298232091118432,27.58746201562341,31.699664340333992,,,,,1470
Fusión,v5_d_lnirf,exceso_o2_combustion_pct,0.0004029069851456305,-0.000824980239376842,0.0015924138159906173,0.00042861880728839734,-0.0012747241023322307,0.0018381543110449294,-1.1873014521284375e-05,-8.562684129132516e-05,7.063779672258234e-05,False,0.2814374102545065,0.27521227902339607,0.03891885038567866,0.038427188815228774,19.160375544278935,18.46755097265743,21.658896969142905,,,,,1470
Fusión,v5_d_lnirf,tasa_aire_nm3_min,8.618311095891402e-07,-0.0008498202733335893,0.0008213799792164687,0.0001366675063512948,-0.0014335533713414545,0.0011692748666237067,2.795587221812723e-06,-4.497651659710298e-05,1.8786433007242078e-05,False,0.2814374102545065,0.27521227902339607,0.03891885038567866,0.038427188815228774,120.542990014454,118.7156266367686,123.64941842860034,,,,,1470
