Batch,fase,orden_escalon_fase,avance_reduccion_sn_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,real_d_lnirf,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_sn_dep_hist,pred_sn_dep_rec,pred_dT_hist,pred_dT_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist__posicion_vertical_lanza_mm,rec__posicion_vertical_lanza_mm,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,hist_derivada__v5_dosis_C_sn,rec_derivada__v5_dosis_C_sn,hist_derivada__v5_exceso_C_pos,rec_derivada__v5_exceso_C_pos,pred_feo_ret_hist,pred_feo_ret_rec,fold,es_lockbox
AP0005,Fusión,1,0.6859271298824883,21.6502,0.8774106003808738,,0.4136072050069348,1258.1090970113253,1246.9304457456594,1246.9304457456594,0.27826898170013475,0.27826898170013475,-333.12582399404516,-333.12582399404516,0.0,0.6191294044888268,0.6191294044888268,-10.294894849247799,-10.294894849247799,-0.0,-0.0,-142.7867189102357,-142.7867189102357,-99.34628982487432,-99.34628982487432,-66.05736843471504,-66.05736843471504,-24.935446824220097,-24.935446824220097,-0.0,-0.0,35.0,35.0,289.56549207899303,289.56549207899303,4.9987696894892935,4.9987696894892935,54.38705206977,54.38705206977,7.590149847180055e-21,7.590149847180055e-21,0.00033260675408888096,0.00033260675408888096,46.39459963198061,46.39459963198061,34.51754348189743,34.51754348189743,25.531316082666788,25.531316082666788,34.66487669929625,34.66487669929625,122.38737002418155,122.38737002418155,485.84187895676183,485.84187895676183,18.21996212204081,18.21996212204081,0.22700948315658262,0.22700948315658262,0.183740910432541,0.183740910432541,0.0,0.0,,,3,False
AP0005,Fusión,2,0.7063709202280657,20.6548,0.596996609199937,,0.09972726508857654,1264.4014744246679,1257.3291364837974,1257.3291364837974,0.2665434154629133,0.2665434154629133,-364.68698889454157,-364.68698889454157,0.0,0.5674110168809784,0.5674110168809784,-0.7799605275279453,-0.7799605275279453,-0.0,-0.0,-130.85916576817564,-130.85916576817564,-122.03762639115494,-122.03762639115494,-86.8547499109909,-86.8547499109909,-24.935446824220097,-24.935446824220097,-0.0,-0.0,40.0,40.0,289.6813555957825,289.6813555957825,5.001399776799891,5.001399776799891,54.41070844448675,54.41070844448675,7.590149847180055e-21,7.590149847180055e-21,0.006677797856334465,0.006677797856334465,46.400282845846036,46.400282845846036,38.57951054766895,38.57951054766895,25.70231424119737,25.70231424119737,35.08957051595051,35.08957051595051,122.97846452501085,122.97846452501085,606.6686722604852,606.6686722604852,18.501095844054607,18.501095844054607,0.25362023668650513,0.25362023668650513,0.17498521223789645,0.17498521223789645,0.0,0.0,,,3,False
AP0005,Fusión,3,0.6847068047492093,20.8182,0.522654258975701,,-0.08189800145994663,1252.8913989130644,1249.856962044742,1249.3156197721253,0.30153038891261935,0.3104037572646186,-375.20007018642895,-348.43592960459046,26.76414058183849,0.5369769582355584,0.48287359288526754,-14.544512379925898,-15.085854652542624,0.0,-0.0,-123.84031099307565,-111.36272235916483,-154.51391133625307,-141.3100439335588,-71.91040103288015,-70.82771648764674,-24.935446824220097,-24.935446824220097,-0.0,-0.0,45.0,45.0,286.62085350147186,286.62085350147186,4.952606610284335,4.952606610284335,53.82176721545222,53.82176721545222,7.590149847180055e-21,7.590149847180055e-21,0.006561709762267445,0.006561709762267445,45.901908940854284,45.901908940854284,45.97237473639889,40.322835001641714,25.91922071668837,25.62362056824789,35.744711581836185,35.537283139400635,123.21817810812115,119.45099785257707,1246.5260807917668,1889.1506378587542,18.870334988247897,18.293182899303044,0.3054645845939116,0.267926077651001,0.17792732408196843,0.1560618561120439,0.0,0.0,,,3,False
AP0005,Fusión,4,0.6890213935194034,21.6596,0.6685194404354918,,-0.03097884168494791,1243.9066645626826,1241.4681681488546,1241.4681681488546,0.17233143209274168,0.17233143209274168,-342.3722552004543,-342.3722552004543,0.0,0.5413258695861772,0.5413258695861772,-11.423230764209762,-11.423230764209762,0.0,0.0,-124.84327867331213,-124.84327867331213,-137.46071646181667,-137.46071646181667,-55.132813241105396,-55.132813241105396,-24.935446824220097,-24.935446824220097,-0.0,-0.0,50.0,50.0,213.05469100251602,213.05469100251602,4.1137941487689655,4.1137941487689655,40.3653534568992,40.3653534568992,7.590149847180055e-21,7.590149847180055e-21,0.0014395180086548007,0.0014395180086548007,34.09704505463481,34.09704505463481,32.128655636772436,32.128655636772436,26.0468738538954,26.0468738538954,36.137533178084944,36.137533178084944,123.49118231879339,123.49118231879339,1449.389876928085,1449.389876928085,19.151883280128594,19.151883280128594,0.2866517054250053,0.2866517054250053,0.12853229635358002,0.12853229635358002,0.0,0.0,,,3,False
AP0005,Fusión,5,0.7693848996214017,17.8486,0.46520175220639204,,0.004363003933606668,1239.6264231935913,1232.7743417036845,1232.7743417036845,0.2005806181411714,0.2005806181411714,-377.07802652268873,-377.07802652268873,0.0,0.4838308459244014,0.4838308459244014,-11.132322858998032,-11.132322858998032,0.0,0.0,-111.58348884131507,-111.58348884131507,-202.81393050638835,-202.81393050638835,-37.74516035076522,-37.74516035076522,-24.935446824220097,-24.935446824220097,-0.0,-0.0,55.0,55.0,289.51173502604166,289.51173502604166,4.997791926066081,4.997791926066081,54.36287151518327,54.36287151518327,7.590149847180055e-21,7.590149847180055e-21,0.00034851021919166667,0.00034851021919166667,46.37223474411738,46.37223474411738,50.60420277913412,50.60420277913412,26.353455465297507,26.353455465297507,36.671220629142994,36.671220629142994,123.37662595190183,123.37662595190183,2238.9383521446816,2238.9383521446816,18.732649996219187,18.732649996219187,0.33288564733044324,0.33288564733044324,0.18849075428855863,0.18849075428855863,0.0,0.0,,,3,False
AP0005,Fusión,6,0.7433712141923892,18.3332,0.8214006305801551,,-0.03418439354896208,1229.9961626630097,1224.5958706437693,1224.5958706437693,0.28437793901463226,0.28437793901463226,-436.2296360200532,-436.2296360200532,0.0,0.6191222960596655,0.6191222960596655,-15.030552549822,-15.030552549822,0.0,0.0,-142.78507952876035,-142.78507952876035,-247.1208914361379,-247.1208914361379,-21.388218230934854,-21.388218230934854,-24.935446824220097,-24.935446824220097,-0.0,-0.0,67.0,67.0,288.05323215060764,288.05323215060764,4.61476432671401,4.61476432671401,53.45535338956217,53.45535338956217,7.590149847180055e-21,7.590149847180055e-21,0.0015300615054521978,0.0015300615054521978,44.436005668142364,44.436005668142364,50.43796413361081,50.43796413361081,26.520027514027465,26.520027514027465,37.08724818708427,37.08724818708427,122.77139734066473,122.77139734066473,3055.9165335990288,3055.9165335990288,18.531629719030086,18.531629719030086,0.3342980930353284,0.3342980930353284,0.17435593457236997,0.17435593457236997,0.0,0.0,,,3,False
AP0005,Reducción,0,0.8029851064280016,15.2977,1.4713072580872366,-0.24455292658837505,-0.14184064118993867,1222.769520265375,1229.450675020637,1229.450675020637,0.005817993012865556,0.005817993012865556,918.5712461492714,918.5712461492714,0.0,1.3283368255658825,1.3283368255658825,-0.5454876423728496,-0.5454876423728496,1445.9610514697413,1445.9610514697413,109.17125588042961,109.17125588042961,-36.75313114102643,-36.75313114102643,-101.62972157153399,-101.62972157153399,-498.178208488339,-498.178208488339,-0.0,-0.0,30.0,30.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,2.6987195381098677e-05,2.6987195381098677e-05,,,15.050070617019488,15.050070617019488,11.192540230598622,11.192540230598622,13.682463359861455,13.682463359861455,25.458645749771804,25.458645749771804,5771.1024169921875,5771.1024169921875,-14.993475228742602,-14.993475228742602,,,0.04709932600140582,0.04709932600140582,0.0,0.0,0.01660439230029096,0.01660439230029096,3,False
AP0005,Reducción,1,0.9545127191856114,4.5169,-0.08499834901063096,0.17675041254147536,0.09855703858210996,1222.2840040143824,1220.2841328827396,1220.2841328827396,0.06134025925015606,0.06134025925015606,480.9440800633589,480.9440800633589,0.0,0.4396932806298657,0.4396932806298657,-2.4853873826353863,-2.4853873826353863,478.62812062964025,478.62812062964025,631.8555409728914,631.8555409728914,-48.06473575509416,-48.06473575509416,-83.2966372957394,-83.2966372957394,-498.178208488339,-498.178208488339,-0.0,-0.0,25.0,25.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,8.93081471569668e-20,8.93081471569668e-20,,,24.628783397185497,24.628783397185497,17.290835565760517,17.290835565760517,17.242519337167604,17.242519337167604,73.90679738356008,73.90679738356008,4434.9168257279825,4434.9168257279825,-5.259214735137692,-5.259214735137692,,,0.2778197406633101,0.2778197406633101,167.24098564099233,167.24098564099233,0.09610201142063816,0.09610201142063816,3,False
AP0005,Reducción,2,0.950470849761829,4.3718,0.3269416629870366,0.027156163611361202,-0.012019064379126032,1217.8252944929257,1224.886444109171,1224.886444109171,0.24779076741690276,0.24779076741690276,250.93959578916144,250.93959578916144,0.0,0.5474668703719403,0.5474668703719403,2.6024400947884896,2.6024400947884896,595.9450617433756,595.9450617433756,320.8577833666326,320.8577833666326,-75.18378108390573,-75.18378108390573,-92.50125974860202,-92.50125974860202,-498.178208488339,-498.178208488339,-0.0,-0.0,20.0,20.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,8.93081471569668e-20,8.93081471569668e-20,,,56.33337881905692,56.33337881905692,24.442741139729815,24.442741139729815,20.9237879050546,20.9237879050546,118.91245008680555,118.91245008680555,2214.7072472205527,2214.7072472205527,-6.116498634671789,-6.116498634671789,,,0.4668768413239572,0.4668768413239572,638.3354215409087,638.3354215409087,0.04880083557393966,0.04880083557393966,3,False
AP0005,Reducción,3,0.9642805120710387,3.0893,0.6069421912685075,-0.12857338260987067,-0.13637367123767463,1215.042651278873,1222.3556914773733,1219.247520601981,0.3102681965105229,0.3012447458738797,-148.69535191824275,-61.37359562430568,87.32175629393707,0.5240030087291785,0.46336200267454625,4.530396984447697,1.4222261090553723,570.4034751521472,504.3927080113773,-103.44997858094017,43.95101492658578,-30.030885516104046,-12.268796066421295,-87.43975448500669,-81.22341273422217,-498.178208488339,-498.178208488339,-0.0,-18.04690127328634,15.0,15.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,8.93081471569668e-20,8.93081471569668e-20,,,28.74533235806945,7.318365524623222,16.792186759174733,13.600012233189455,6.102681372822195,4.4001094534575,119.62390685150588,114.84605577465241,2847.728230794271,2052.712363503196,-7.029077691210288,4.8446893913071,,,0.24775307083979053,0.06307624172397044,79.00264859127134,0.0,-0.01573421514630164,0.0066847256445988785,3,False
