Batch,fase,orden_escalon_fase,avance_reduccion_sn_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,real_d_lnirf,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_sn_dep_hist,pred_sn_dep_rec,pred_dT_hist,pred_dT_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,hist_derivada__v5_dosis_C_sn,rec_derivada__v5_dosis_C_sn,hist_derivada__v5_exceso_C_pos,rec_derivada__v5_exceso_C_pos,pred_feo_ret_hist,pred_feo_ret_rec,fold,es_lockbox
AP0003,Fusión,1,0.7041229903396926,17.9895,0.6570387432838513,,0.16614747007518327,1324.7177930723205,1308.0946068452276,1308.0946068452276,0.21602657441188075,0.21602657441188075,-480.3151639799244,-480.3151639799244,0.0,0.6342410015111721,0.6342410015111721,-0.8140726352717805,-0.8140726352717805,-0.0,-0.0,-146.27183097351408,-146.27183097351408,-103.99623187707972,-103.99623187707972,-206.06414753351783,-206.06414753351783,-23.98295359581275,-23.98295359581275,-0.0,-0.0,35.0,35.0,290.6228117766204,290.6228117766204,0.0,0.0,54.62218198423029,54.62218198423029,7.67340178653184e-06,7.67340178653184e-06,0.006122939723233383,0.006122939723233383,47.743290879991314,47.743290879991314,37.47293034306279,37.47293034306279,25.246926492358007,25.246926492358007,34.02665988498264,34.02665988498264,122.8518572126116,122.8518572126116,18.48085729908485,18.48085729908485,0.2455147284314557,0.2455147284314557,0.19637741777190165,0.19637741777190165,0.0,0.0,,,2,False
AP0003,Fusión,2,0.6488601439221008,19.3599,0.43541657389141036,,-0.06022125350468088,1297.2756323983076,1323.7565567092668,1323.7565567092668,0.24603184266130498,0.24603184266130498,-517.1026491062146,-517.1026491062146,0.0,0.5506553580747187,0.5506553580747187,-0.9612363630538402,-0.9612363630538402,0.0,0.0,-126.99489195598198,-126.99489195598198,-128.73675629282383,-128.73675629282383,-237.38804726159606,-237.38804726159606,-23.98295359581275,-23.98295359581275,-0.0,-0.0,40.0,40.0,290.0059625889227,290.0059625889227,0.0,0.0,54.58774215574175,54.58774215574175,1.3412723871708408e-23,1.3412723871708408e-23,0.007605254704632409,0.007605254704632409,48.1573381129319,48.1573381129319,42.16838875127032,42.16838875127032,25.455165693495008,25.455165693495008,34.63444989522298,34.63444989522298,123.32456651475692,123.32456651475692,18.90044164747052,18.90044164747052,0.27677868029878483,0.27677868029878483,0.17650477207674714,0.17650477207674714,0.0,0.0,,,2,False
AP0003,Fusión,3,0.6124530650041644,22.0339,0.6241957895591198,,0.04201193266159953,1271.1132577657063,1279.6942298862384,1279.6942298862384,0.2663026376821756,0.2663026376821756,-436.7263971642756,-436.7263971642756,0.0,0.4692817489570967,0.4692817489570967,-17.581402512069204,-17.581402512069204,0.0,0.0,-108.22810335323042,-108.22810335323042,-155.2519465996931,-155.2519465996931,-149.26339361553937,-149.26339361553937,-23.98295359581274,-23.98295359581274,-0.0,-0.0,45.0,45.0,291.06719245357783,291.06719245357783,0.0,0.0,54.552533312811335,54.552533312811335,1.3412723871708408e-23,1.3412723871708408e-23,0.004176158646958463,0.004176158646958463,49.38682702105978,49.38682702105978,46.618007228685464,46.618007228685464,25.60709604522328,25.60709604522328,35.09300149799865,35.09300149799865,122.70671419873649,122.70671419873649,18.83700395439087,18.83700395439087,0.30514536932104547,0.30514536932104547,0.16065719974350376,0.16065719974350376,0.0,0.0,,,2,False
AP0003,Fusión,4,0.6935920723880761,17.1834,0.3639658016837513,,-0.04052896960787589,1244.3429600929344,1246.3682882167514,1246.3682882167514,0.05692705086364161,0.05692705086364161,-329.6391099118498,-329.6391099118498,0.0,0.3230852719713775,0.3230852719713775,-24.744969548955048,-24.744969548955048,0.0,0.0,-74.51154084839894,-74.51154084839894,-148.53310519107288,-148.53310519107288,-82.61151027656524,-82.61151027656524,-23.98295359581275,-23.98295359581275,-0.0,-0.0,50.0,50.0,238.67237548290316,238.67237548290316,0.0,0.0,40.592559669637396,40.592559669637396,7.062417650192365e-05,7.062417650192365e-05,0.002194262776563942,0.002194262776563942,36.888189034594035,36.888189034594035,39.32723641296168,39.32723641296168,22.556562068344522,22.556562068344522,32.76034211230376,32.76034211230376,102.6180620415155,102.6180620415155,20.38655309365582,20.38655309365582,0.32017433524936306,0.32017433524936306,0.14968768206040492,0.14968768206040492,0.0,0.0,,,2,False
AP0003,Fusión,5,0.6848937856846595,18.5281,0.48471516877757337,,0.02146520747839964,1220.2218882096201,1213.8459855508825,1213.8459855508825,0.24419626642586453,0.24419626642586453,-360.443783878674,-360.443783878674,0.0,0.5117616336038755,0.5117616336038755,-30.496974542051912,-30.496974542051912,0.0,0.0,-118.02502674989378,-118.02502674989378,-200.86889858813998,-200.86889858813998,-17.566904944827456,-17.566904944827456,-23.98295359581275,-23.98295359581275,-0.0,-0.0,55.0,55.0,290.82661946614587,290.82661946614587,0.0,0.0,54.606401062011635,54.606401062011635,2.5306599947617765e-22,2.5306599947617765e-22,0.0027226958933862905,0.0027226958933862905,49.489878627232144,49.489878627232144,50.123753138950896,50.123753138950896,26.12079311320605,26.12079311320605,36.23503421679094,36.23503421679094,123.40044395500887,123.40044395500887,18.96485527447803,18.96485527447803,0.32823866586600586,0.32823866586600586,0.15728473854462244,0.15728473854462244,0.0,0.0,,,2,False
AP0003,Fusión,6,0.7111324184857795,16.9186,0.8369668202302952,,-0.1407468895885644,1202.6642660254465,1200.9431883193542,1200.9431883193542,0.1537697261987804,0.1537697261987804,-430.1746990331987,-430.1746990331987,0.0,0.7831008952473546,0.7831008952473546,-19.278699890265827,-19.278699890265827,0.0,0.0,-180.60264396642117,-180.60264396642117,-225.58910147096475,-225.58910147096475,-0.0,-0.0,-23.98295359581275,-23.98295359581275,-0.0,-0.0,68.0,68.0,253.20231826673708,253.20231826673708,0.0,0.0,45.22191388890969,45.22191388890969,0.04135988277726156,0.04135988277726156,0.001954103068354856,0.001954103068354856,40.627653083206496,40.627653083206496,44.511821387053,44.511821387053,25.120232493789107,25.120232493789107,33.82887421713935,33.82887421713935,123.1161545364945,123.1161545364945,18.795211558172646,18.795211558172646,0.33828376624069256,0.33828376624069256,0.15331621792304104,0.15331621792304104,0.0,0.0,,,2,False
AP0003,Reducción,0,0.7971195384673917,13.579,1.8195632028725244,-0.024367767880026245,-0.009304144709739948,1200.9196981203777,1188.1938555155143,1188.3089529564618,0.2351979683013917,0.30172964272694425,-23.7315997158413,-20.913682819914015,2.817916895927283,1.52012423039402,1.5490566603784264,-14.47041050993228,-14.35531306898482,1654.7312309954102,1686.225627654936,-1016.6311801327065,-1039.451757268974,-121.85414506754994,-127.47985281298598,-14.026259936268616,-14.256454818163547,-525.9512455747265,-525.9512455747265,-0.0,-0.0,30.0,30.0,,,,,,,1.0079907612957058,1.0079907612957058,1.3018724070004315e-19,1.3018724070004315e-19,,,62.903888267599115,65.62572286313763,23.581612684461803,24.887199083159455,20.91620416711878,22.14263114478678,112.51660011574073,116.59865928303157,-5.552069768376468,-6.320615995361958,,,0.18602928077732786,0.19407871851715175,0.0,0.0,-0.15462442749692032,-0.15809532111478483,2,False
AP0003,Reducción,1,0.9669337937519824,2.4493,0.518196317033772,-0.08818986677139053,-0.10286440284691989,1198.3077566341333,1203.691077881832,1203.4523231122103,0.2976472418588033,0.29810355441967895,-885.8815948245064,-869.8241755911245,16.057419233381893,0.6921505502773937,0.6795803854919488,2.7713797614542615,2.5326249918326638,753.4404815044569,739.7572286272608,-1001.1741345876247,-980.7208500740081,-67.17599149770817,-58.36611343999031,-45.02070466890382,-44.54319512966049,-525.9512455747265,-525.9512455747264,-0.0,-0.0,25.0,25.0,,,,,,,4.2885252968664235e-25,4.2885252968664235e-25,1.3018724070004315e-19,1.3018724070004315e-19,,,37.1235130896935,30.365901021202067,22.257098429361978,21.5784859812752,16.315105254279242,16.899490710125264,123.6762205403646,123.59652162356673,-5.003089908678608,-0.7002616210849338,,,0.5605600097437275,0.45852098456295726,593.0538737701345,424.11357205784867,-0.15227348955117473,-0.14916264909088434,2,False
AP0003,Reducción,2,0.9803031134033411,1.5168,0.31959997070163915,-0.03349960956170251,-0.029713873654098055,1206.069336265779,1194.084649766354,1194.3116615967572,0.3625193933594075,0.3832465018845936,-725.3063527469894,-702.998654455497,22.307698291492443,0.35594594275451436,0.3287847324484519,-4.223106867779277,-3.9960950373761728,387.46495598542657,357.8986205067623,-528.0015002656961,-483.02300480848356,-33.01071445404537,-25.66115248029483,-25.807848437947996,-26.26187209875434,-525.9512455747265,-525.9512455747265,-0.0,-0.0,20.0,20.0,,,,,,,4.288525296866423e-25,4.288525296866423e-25,1.3018724070004313e-19,1.3018724070004313e-19,,,18.422716364784847,13.209818458059111,20.168783365885417,17.77457244650025,12.433640348646374,8.932952771677833,119.68116271972656,119.908175718818,-6.869234900575873,-4.038002108606358,,,0.37359523435596714,0.26788260346188153,168.88022179114617,64.62226365663147,-0.08030634048174787,-0.07346534027866884,2,False
AP0003,Reducción,3,0.9856881018496638,1.0981,,,,1209.245091372915,1204.5644673182046,1204.325712548583,0.3872136478951635,0.3832207970399408,-710.0264693965227,-699.121684272002,10.904785124520686,0.44165751232377715,0.43222250376423527,-1.504868947574286,-1.743623717195884,480.7662850400476,470.4958064725583,-601.4933891906034,-578.0958601620221,-16.580636129591202,-11.294709294960475,-46.7674835416492,-46.28997400240587,-525.9512455747265,-525.9512455747264,-0.0,-7.985701710445436,15.0,15.0,,,,,,,4.288525296866423e-25,4.288525296866423e-25,1.3018724070004315e-19,1.3018724070004315e-19,,,10.610211690266928,3.8525996217754903,16.94755006013093,16.26893761204415,6.643865565547236,7.228251021393257,119.11333523220486,119.033636315407,-6.6010548663761215,-0.9606053693026063,,,0.22209117870058942,0.08064197171923138,14.140536212370534,0.0,-0.09148408268831455,-0.08792543762451205,2,False
