palanca,theta_ln_sn_dep,sig_ln_sn_dep,theta_ln_feo_ret,sig_ln_feo_ret,sd_palanca_aprox,theta_J_w10_por_unidad,theta_J_wanchor_por_unidad,theta_J_w10_por_sd,theta_J_wanchor_por_sd,signo_neto_w10,signo_neto_wanchor,evidencia_batch_exp19
exceso_o2_combustion_pct,-0.00037436860291108296,-,,n/a,11.235309650211446,-0.00037436860291108296,-0.00037436860291108296,-0.004206147177023068,-0.004206147177023068,-,-,
tasa_aire_nm3_min,,n/a,0.000327758490901543,+,10.590088556729988,0.00327758490901543,0.0019797476628984367,0.0347099144386752,0.02096570307007367,+,+,batch: lanza no es palanca (exp19)
tasa_feed_Carbon_kg_min,,n/a,0.0009948973000649456,+,22.051327448301198,0.009948973000649456,0.0060094418887814945,0.21938806141162887,0.13251617087105835,+,+,batch: -f_dross p0.03 (carbon reduce dross)
tasa_gn_nm3_min,0.011047643103444306,+,-0.004304576120009507,-,4.972148121678011,-0.03199811809665076,-0.014953131094400043,-0.15909938279149324,-0.07434918268422623,-,-,batch: +f_dross p0.04 / -f_metal p0.03 (GN sube dross)
tasa_o2_nm3_min,,n/a,0.0007311895833536762,+,8.623796212290197,0.007311895833536762,0.004416577782007683,0.0630562995939148,0.03808766674776289,+,+,batch: lanza no es palanca (exp19)
v5_dosis_C_sn,0.0972797367999498,+,,n/a,0.17709811788121907,0.0972797367999498,0.0972797367999498,0.017228058295251477,0.017228058295251477,+,+,
