fase,target,parametrizacion,palanca,mismo_signo_en_todos,significativo_en_k_periodos,theta_dev_completo,theta_lockbox,ratio_lockbox_dev,signo_dev_tercio1,theta_dev_tercio1,signo_dev_tercio2,theta_dev_tercio2,signo_dev_tercio3,theta_dev_tercio3,signo_dev_completo,signo_lockbox
Fusión,sn_extraido_est_kg,P2P3,exceso_o2_combustion_pct,False,2,82.85085887996304,148.04288648332815,1.7868600094757905,-1.0,-24.201473371849836,1.0,173.0930568472233,1.0,23.65261990788444,1.0,1.0
Fusión,sn_extraido_est_kg,P2P3,relacion_C_Sn_carga,False,0,-5.839081690657391,48.47834135957902,-8.302391356699978,-1.0,-46.347921996298595,1.0,188.28769125714354,-1.0,-179.64156456164116,-1.0,1.0
Fusión,sn_extraido_est_kg,P2P3,tasa_aire_nm3_min,False,0,36.02415995794846,204.61950784425042,5.680063270957763,-1.0,-16.726889475742677,1.0,114.8990414547274,1.0,52.48157932705291,1.0,1.0
Fusión,sn_extraido_est_kg,P2P3,tasa_gn_nm3_min,True,2,267.9977662091465,36.05025831863562,0.1345170104533702,1.0,283.9834427217131,1.0,163.0777879182382,1.0,298.17770246166856,1.0,1.0
Fusión,v5_d_lnirf,P2P3,exceso_o2_combustion_pct,False,1,0.0011840198628416496,0.0004379813402225072,0.3699104668492227,1.0,0.005208114779326703,-1.0,-0.00015344636851626954,1.0,0.00028578320605765,1.0,1.0
Fusión,v5_d_lnirf,P2P3,relacion_C_Sn_carga,False,0,0.002234688783840574,-0.0018608803940832193,-0.8327246315189709,1.0,0.0024505713184375297,-1.0,-0.004626786430417229,1.0,0.008576780025528405,1.0,-1.0
Fusión,v5_d_lnirf,P2P3,tasa_aire_nm3_min,True,0,4.702967517610754e-06,0.0018602801403708967,395.55453730115784,1.0,0.00020674875176691638,1.0,0.003412615267561858,1.0,0.002900581718728933,1.0,1.0
Fusión,v5_d_lnirf,P2P3,tasa_gn_nm3_min,False,0,-0.0014169659958710968,0.002429329752700038,-1.7144587518535184,1.0,0.001737975090594952,1.0,0.0009103410224640941,-1.0,-0.0021673785571330534,-1.0,1.0
Reducción,v5_ln_feo_ret,P2,Cx_av_v4,False,0,-0.0005242625887232335,0.11997509226312059,-228.84541991695946,-1.0,-0.045594591621647244,1.0,0.048069193040527716,1.0,0.12323804051381718,-1.0,1.0
Reducción,v5_ln_feo_ret,P2,exceso_o2_combustion_pct,False,0,-0.0003706134168470693,0.002291225963304869,-6.182253148839254,-1.0,-0.001386930835449569,1.0,0.006121933071528895,1.0,0.00224631863492639,-1.0,1.0
Reducción,v5_ln_feo_ret,P2,tasa_aire_nm3_min,False,2,0.0014171339575977078,-0.011580201684321143,-8.17156460208718,1.0,0.00232628636540581,-1.0,-0.0051039845888260745,-1.0,-4.359823472978031e-05,1.0,-1.0
Reducción,v5_ln_feo_ret,P2,tasa_feed_Carbon_kg_min,False,0,0.02052014378547496,-0.13868465465406396,-6.758464078221076,1.0,0.0647126404267575,-1.0,-0.11652210534819982,-1.0,-0.09586084897954349,1.0,-1.0
Reducción,v5_ln_feo_ret,P2,tasa_gn_nm3_min,False,1,-0.014316897051431769,0.007690281619917764,-0.5371472318541742,1.0,0.007071074670829096,-1.0,-0.012666098523896569,-1.0,-0.0353278879350841,-1.0,1.0
Reducción,v5_ln_feo_ret,P3,exceso_o2_combustion_pct,False,0,-0.00010193877465005448,0.001904719671747254,-18.684937878505643,-1.0,-0.0009721964469148124,1.0,0.005609574024669832,1.0,0.00218848367700353,-1.0,1.0
Reducción,v5_ln_feo_ret,P3,tasa_aire_nm3_min,False,2,0.0017833298376387365,-0.011313233486795858,-6.343881680225478,1.0,0.003531938019109369,-1.0,-0.005278590371873534,-1.0,-0.0006573826792689021,1.0,-1.0
Reducción,v5_ln_feo_ret,P3,tasa_gn_nm3_min,False,0,-0.013231897287853988,0.006031855414660686,-0.4558571823405501,1.0,0.01009543784170363,-1.0,-0.010443309646693561,-1.0,-0.03664121632998197,-1.0,1.0
Reducción,v5_ln_feo_ret,P3,v5_C_x_avance,False,0,0.02153325683474632,0.022119200778167075,1.0272111157135908,1.0,0.00844175217564975,-1.0,-0.03441547147066556,1.0,0.03439161162972828,1.0,1.0
Reducción,v5_ln_feo_ret,P3,v5_exceso_C_pos,False,1,-0.007595336874780893,-0.005384213770286151,0.7088841297037892,-1.0,-0.008070705495597913,-1.0,-0.011380906083891631,1.0,0.029707472638387696,-1.0,-1.0
Reducción,v5_ln_sn_dep,P2,Cx_sn_v4,True,2,0.20588662622558834,0.2389512247223901,1.1605961450870206,1.0,0.028413578985318495,1.0,0.27336700815423237,1.0,0.22374184909185238,1.0,1.0
Reducción,v5_ln_sn_dep,P2,exceso_o2_combustion_pct,False,0,-0.007337138930471009,0.012735818403691293,-1.7358017238571921,1.0,0.027911018327159216,-1.0,-0.03557406278282028,1.0,0.006874787147996818,-1.0,1.0
Reducción,v5_ln_sn_dep,P2,tasa_aire_nm3_min,True,1,0.008854112379189595,-0.0043681641429052865,-0.49334862218058934,1.0,0.02253605028295867,1.0,0.058231747402415934,1.0,0.004514758335729516,1.0,-1.0
Reducción,v5_ln_sn_dep,P2,tasa_gn_nm3_min,True,0,0.029367209764956288,0.063717759379612,2.1696906137690344,1.0,0.03955673348719067,1.0,0.0021147294140371337,1.0,0.06565688870657928,1.0,1.0
Reducción,v5_ln_sn_dep,P3,exceso_o2_combustion_pct,False,0,-0.010215295583759552,0.017456852888290866,-1.7088935650617945,1.0,0.029432052457093263,-1.0,-0.03556015646047332,1.0,0.00811694294096576,-1.0,1.0
Reducción,v5_ln_sn_dep,P3,tasa_aire_nm3_min,True,1,0.017511896843175744,0.003681139571144862,0.21020792916441686,1.0,0.02241287078780468,1.0,0.05602724949961521,1.0,0.006396462768209339,1.0,1.0
Reducción,v5_ln_sn_dep,P3,tasa_gn_nm3_min,True,0,0.032968213634011916,0.09903405850972723,3.003925526846197,1.0,0.052405873493580585,1.0,0.001144749354499715,1.0,0.06720522287884054,1.0,1.0
Reducción,v5_ln_sn_dep,P3,v5_dosis_C_sn,False,2,0.01646893878808427,-0.11873435214973087,-7.209593385315054,-1.0,-0.027160276096570873,1.0,0.060093610709440894,-1.0,-0.0033644018627219806,1.0,-1.0
Reducción,v5_sdi_w10,P2,Cx_av_v4,False,0,-0.05468375899896006,0.7746880466947303,-14.166693381657666,-1.0,-0.523615549748056,1.0,0.04538665351293475,1.0,0.9618873780790306,-1.0,1.0
Reducción,v5_sdi_w10,P2,exceso_o2_combustion_pct,True,0,-0.010412069564568053,0.02937691407294549,-2.821428909091638,1.0,0.006674438525643567,1.0,0.014666564519806973,1.0,0.042028100133914496,-1.0,1.0
Reducción,v5_sdi_w10,P2,tasa_aire_nm3_min,True,1,0.03892279692703533,-0.10294062031462509,-2.6447385193720163,1.0,0.05435540466953523,1.0,0.013322221622088296,1.0,0.004645569825380709,1.0,-1.0
Reducción,v5_sdi_w10,P2,tasa_feed_Carbon_kg_min,False,0,0.30305567351301527,-1.0521532331604575,-3.4718150000754595,1.0,0.7401114272677433,-1.0,-0.3951393839838528,-1.0,-0.5251580700418679,1.0,-1.0
Reducción,v5_sdi_w10,P2,tasa_gn_nm3_min,False,1,-0.11453673950243269,0.1912731000352773,-1.6699715817492324,1.0,0.10653066506907206,-1.0,-0.14792852883050825,-1.0,-0.23226116749259368,-1.0,1.0
Reducción,v5_sdi_w10,P3,exceso_o2_combustion_pct,True,0,-0.007419488838191125,0.029488017372394624,-3.974400125869563,1.0,0.01612474851892953,1.0,0.010473660066041194,1.0,0.04163963153113018,-1.0,1.0
Reducción,v5_sdi_w10,P3,tasa_aire_nm3_min,True,0,0.04428120450577657,-0.10492789700934792,-2.3695809131763763,1.0,0.05647444115311974,1.0,0.01365982601946901,1.0,0.00176791830507942,1.0,-1.0
Reducción,v5_sdi_w10,P3,tasa_gn_nm3_min,False,0,-0.10228896089541838,0.18324773702447442,-1.7914712928976704,1.0,0.13235295990295262,-1.0,-0.13434920172745043,-1.0,-0.24312133128856805,-1.0,1.0
Reducción,v5_sdi_w10,P3,v5_C_x_avance,False,1,0.24473642651572872,0.19243843069326838,0.786308901510829,1.0,0.21070519381789743,-1.0,-0.11837260373023381,1.0,0.5079641982790111,1.0,1.0
