fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__v5_dosis_C_sn,derivada__v5_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,3.294660545117927,1.0846549543164627,0.6982727979827157,1.4710371106502098,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-18.252053662207874,-32.96229525441189,-3.5418120700038553,1067.346833843034,0.0884063777391849,-5.271007860241145,0.17368793824122855,0.007788351275829,0.0,-34.27868284445098,-0.0,-759.8949728405131,1180.7011505211856,-1057.3788244219033,-510.88732399272396,-1181.7386535784058
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,5.916107315446935,1.1026557643063672,0.7162736079726202,1.4890379206401143,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-18.04174683243109,-32.75198842463511,-3.331505240227072,1067.5571406728106,0.09606255598599021,-5.271007860241145,0.3118853878759907,0.013985271419381742,0.0,-38.210852999944485,-0.0,-744.5826163469025,1200.295932235696,-1057.3788244219033,-510.88732399272396,-1150.7636855257783
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,8.537554085775941,1.1206565742962717,0.7342744179625247,1.5070387306300188,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-17.83144000265431,-32.54168159485833,-3.121198410450292,1067.7674475025874,0.10424485947025669,-5.271007860241145,0.45008283751075273,0.02018219156293448,0.0,-42.143023155438,-0.0,-728.2180093783695,1219.8907139502066,-1057.3788244219033,-510.88732399272396,-1118.7364669982283
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,11.15900085610495,1.1386573842861765,0.7522752279524294,1.5250395406199235,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-17.621133172877528,-32.33137476508155,-2.9108915806735087,1067.9777543323642,0.11302607720871521,-5.271007860241145,0.588280287145515,0.026379111706487227,0.0,-46.07519331093151,-0.0,-710.6555739014525,1239.4854956647173,-1057.3788244219033,-510.88732399272396,-1085.511419962294
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,13.780447626433958,1.156658194276081,0.7702760379423339,1.543040350609828,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-17.410826343100744,-32.121067935304765,-2.7005847508967253,1068.188061162141,0.12287788530062353,-5.271007860241145,0.7264777367802772,0.03257603185003997,0.0,-50.007363466425026,-0.0,-690.9519577176359,1259.080277379228,-1057.3788244219033,-510.88732399272396,-1050.1451922194603
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,16.401894396762966,1.1746590042659855,0.7882768479322384,1.5610411605997325,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-17.200519513323965,-31.910761105527982,-2.4902779211199455,1068.3983679919177,0.13360857551216146,-5.271007860241145,0.8646751864150393,0.03877295199359271,0.0,-53.939533621918535,-0.0,-669.4905772945601,1278.6750590937384,-1057.3788244219033,-510.88732399272396,-1013.0212002373676
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,19.02334116709197,1.19265981425589,0.8062776579221429,1.579041970589637,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-16.990212683547185,-31.700454275751206,-2.2799710913431657,1068.6086748216944,0.1454322256415729,-5.271007860241145,1.0028726360498013,0.04496987213714544,0.0,-57.871703777412044,-0.0,-645.8432770357372,1298.269840808249,-1057.3788244219033,-510.88732399272396,-973.7112884195276
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,21.64478793742098,1.2106606242457945,0.8242784679120474,1.5970427805795415,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-16.7799058537704,-31.490147445974422,-2.0696642615663823,1068.8189816514714,0.15849394479711534,-5.271007860241145,1.1410700856845635,0.05116679228069819,0.0,-61.80387393290556,-0.0,-619.7198387246523,1317.8646225227594,-1057.3788244219033,-510.88732399272396,-931.9252385494258
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,24.266234707749987,1.2286614342356992,0.8422792779019521,1.6150435905694462,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-16.56959902399362,-31.27984061619764,-1.8593574317896024,1069.0292884812482,0.17256147331447938,-5.271007860241145,1.2792675353193257,0.05736371242425094,0.0,-65.73604408839907,-0.0,-591.5847816899243,1337.4594042372703,-1057.3788244219033,-510.88732399272396,-888.1275699556804
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,26.887681478078996,1.2466622442256037,0.8602800878918566,1.6330444005593507,-0.16082193677382717,-0.2522581038647394,-0.06938576968291495,-16.359292194216838,-31.069533786420855,-1.649050602012819,1069.239595311025,0.1881492883899236,-5.271007860241145,1.4174649849540877,0.06356063256780367,0.0,-69.66821424389258,-0.0,-560.4091515390357,1357.054185951781,-1057.3788244219033,-510.88732399272396,-841.2893282457746
