variante,w_nombre,w,split,n,rho,p,ci_lo,ci_hi
simple,w10,10.0,dev,286,0.3165201935420164,4.482731126560018e-08,0.2071524052431961,0.41530377422934855
simple,w10,10.0,lockbox,63,0.08688556067588325,0.4983392921653725,-0.14994010524075563,0.3185077218603133
simple,w10,10.0,total,349,0.2755481530622327,1.6877486396734183e-07,0.1804425736420693,0.3618186666277774
simple,w_anchor,6.040263541160686,dev,286,0.2993932896371921,2.4712685282540447e-07,0.19041409349826105,0.40666330918326965
simple,w_anchor,6.040263541160686,lockbox,63,0.1431931643625192,0.26289186401098336,-0.08703612496952168,0.38237933786634076
simple,w_anchor,6.040263541160686,total,349,0.28008327804988215,1.0349493384537366e-07,0.18544928408474784,0.3780689897254966
tiempo_orden,w10,10.0,dev,286,0.3009250056746847,2.1307384856256556e-07,0.2027457407531084,0.41143800927524254
tiempo_orden,w10,10.0,lockbox,63,0.1976766513056836,0.12043308517142429,-0.03991067137145054,0.43968594761831514
tiempo_orden,w10,10.0,total,349,0.29144268635228027,2.924144445423068e-08,0.1926066603880085,0.38347652481284067
tiempo_orden,w_anchor,6.040263541160686,dev,286,0.2630127254004019,6.5414085351463e-06,0.14561299639703756,0.3689546965000188
tiempo_orden,w_anchor,6.040263541160686,lockbox,63,0.2848022273425499,0.02367546981666357,0.04457619964807689,0.5226197937773763
tiempo_orden,w_anchor,6.040263541160686,total,349,0.27671545725295355,1.4893814970006883e-07,0.1804662370447171,0.3768121003456144
tiempo_real,w10,10.0,dev,286,0.2674267965667195,4.505227023612517e-06,0.15961697288576027,0.37711685018476815
tiempo_real,w10,10.0,lockbox,63,0.24198348694316438,0.05603987141599676,0.005006495948604339,0.4901710633799433
tiempo_real,w10,10.0,total,349,0.27363840388442695,2.0682524985547885e-07,0.17548289870236533,0.36916525214945123
tiempo_real,w_anchor,6.040263541160686,dev,286,0.23800461412784907,4.783209137180785e-05,0.11602878882235673,0.34137637200790827
tiempo_real,w_anchor,6.040263541160686,lockbox,63,0.32238863287250386,0.0099708309429843,0.07602883055406195,0.5506581950082874
tiempo_real,w_anchor,6.040263541160686,total,349,0.2619766539161855,6.922518034202084e-07,0.16669690124344222,0.3597086497050942
